,pH,AK,AP,OM,NH4,NO3,Wc,Pb,Salt,Bacillus firmus,Bacillus megaterium,Bacillus thuringiensis,Bacillus subtilis,Bacillus subterraneus,Bacillus asahii,Bacillus pumilus,Candidimonas bauzanensis,Fictibacillus phosphorivorans,Aspergillus niger,Fusarium oxysporum,Chaetomium globosum,Gymnascella hyalinospora,Penicillium chrysogenum,Fusarium solani,Trichocladium asperum,Aspergillus ustus,Aspergillus terreus,Pseudallescheria boydii
pH,2.55751735970538e-147,0.334312296563387,1,1,1,0.0421807152953305,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AK,0.000926072843665893,0,0.0220369495685548,0.0587299587061153,1,1,1,1,1,1,1,0.781154884095584,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0469368081709777
AP,0.027471723215172,5.89223250496118e-05,0,0.0835782768717646,1,1,1,1,1,1,1,0.0167380187827851,1,1,1,1,1,1,1,1,1,0.283449172457687,1,1,1,1,1,1
OM,0.286830254905836,0.000159592279092705,0.000227733724446225,0,1,1,1,1,1,1,1,0.00441584151589066,1,1,1,1,1,1,1,1,1,0.233702408734716,1,1,1,1,1,0.393407182752149
NH4,0.663806686635309,0.194527015766203,0.378451675799604,0.0436842829832084,0,1,7.35105569303997e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NO3,0.000113389019611104,0.0354197866144352,0.339110591511133,0.464422773165394,0.973258183448477,0,1,1,1,1,1,1,0.624087414755132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wc,0.886533541702552,0.548018062488365,0.605955055729875,0.0336992310289656,1.94472372831745e-08,0.836137209921237,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pb,0.33263558605794,0.291470754429199,0.686839784862738,0.570889196068409,0.0549960180098941,0.0151957544925058,0.0558228984072005,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Salt,0.201207708885587,0.590260853646067,0.359984492167687,0.849270580340712,0.977713981507387,0.0170713531418164,0.902156216296043,0.310559898627913,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bacillus firmus,0.303010118421887,0.152742037538263,0.911015437373097,0.540488030023226,0.196592517261687,0.779750903350897,0.594168258005535,0.313347333132429,0.728624014204228,0,0.0349371136323201,1,1,1,1,0.130269174347064,1,1,1,1,1,1,1,1,1,1,1,1
Bacillus megaterium,0.0574828785309902,0.0569918871880502,0.576546560831965,0.473034384893464,0.237321936472352,0.313185752031246,0.605837168297802,0.215691012778266,0.603865557180331,9.36651840008581e-05,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bacillus thuringiensis,0.434528452987902,0.00221919001163518,4.46347167540936e-05,1.1744259350773e-05,0.148226902012694,0.603191956496298,0.103609659450951,0.452479169947255,0.276955436825313,0.736639375509679,0.676982065053319,0,1,1,1,1,1,1,1,1,0.466787797122924,0.39460726542892,1,1,1,1,1,0.10260530749785
Bacillus subtilis,0.00664011444334633,0.00297813546440131,0.0640503483146532,0.0547989615467088,0.141835951999097,0.00176295879874331,0.271294000173206,0.0116409100331297,0.792517324054319,0.220385362461248,0.272428354237865,0.14591251322155,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bacillus subterraneus,0.306693705901932,0.722199627616138,0.235654443253176,0.371334051006817,0.18395990507565,0.519831422113244,0.212132194900966,0.930447049019138,0.497047681016162,0.0372131874561053,0.00470421745076216,0.398786038237659,0.524667128187327,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bacillus asahii,0.552321433085454,0.111075925664309,0.262512894153459,0.13708294725423,0.0876498090716141,0.959133060768489,0.162451044733927,0.813082546825996,0.13708294725423,0.534627376886311,0.786553462367738,0.056290203996195,0.715169019288806,0.592174435460638,0,1,1,1,1,1,1,1,1,1,1,1,0.260321074530305,1
