"","one","Means","SD"
"num.edges",2296,2296,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",471,471,0
"connectance",0.0207435515200795,0.0207435515200795,0
"average.degree",9.74946921443737,9.74946921443737,0
"average.path.length",4.09375638120983,2.94170340310528,0.00352568404924794
"diameter",12,5.04,0.196946385566932
"edge.connectivity",0,1.99,0.758720347464443
"clustering.coefficient",0,0.0205413021770387,0.001753477775867
"no.clusters",9,1.01,0.1
"centralization.degree",0.132447937841623,0.0222990016714099,0.00308186242369043
"centralization.betweenness",0.0549357643353227,0.0119810822513916,0.00220259866110713
"centralization.closeness",1.44546419725379,NA,NA
