"","ID","group","degree"
"1","fun_ASV_311",14,72
"2","fun_ASV_203",14,71
"3","fun_ASV_246",14,70
"4","fun_ASV_68",14,63
"5","fun_ASV_268",14,62
"6","fun_ASV_76",14,62
"7","fun_ASV_256",14,59
"8","fun_ASV_608",14,58
"9","fun_ASV_36",14,52
"10","fun_ASV_233",13,48
"11","fun_ASV_237",13,42
"12","fun_ASV_454",14,40
"13","fun_ASV_847",14,40
"14","fun_ASV_138",14,38
"15","fun_ASV_5",14,37
"16","fun_ASV_317",13,37
"17","fun_ASV_135",2,37
"18","fun_ASV_689",14,35
"19","fun_ASV_174",14,35
"20","fun_ASV_112",14,34
"21","fun_ASV_677",14,33
"22","fun_ASV_578",13,32
"23","fun_ASV_45",13,30
"24","fun_ASV_8",14,29
"25","bac_ASV_364",14,27
"26","bac_ASV_103",14,27
"27","fun_ASV_349",13,27
"28","fun_ASV_314",2,27
"29","fun_ASV_158",14,25
"30","bac_ASV_370",14,24
"31","fun_ASV_100",2,24
"32","bac_ASV_651",2,23
"33","bac_ASV_29",14,23
"34","bac_ASV_313",14,23
"35","fun_ASV_122",13,23
"36","bac_ASV_189",14,22
"37","bac_ASV_292",14,22
"38","fun_ASV_258",14,22
"39","fun_ASV_3",13,22
"40","fun_ASV_334",13,22
"41","bac_ASV_12",2,21
"42","bac_ASV_74",14,21
"43","bac_ASV_47",14,21
"44","bac_ASV_1",14,21
"45","bac_ASV_235",14,21
"46","fun_ASV_297",14,21
"47","fun_ASV_37",14,21
"48","fun_ASV_99",2,21
"49","fun_ASV_85",2,21
"50","fun_ASV_186",13,21
"51","bac_ASV_1159",13,20
"52","bac_ASV_3",14,20
"53","bac_ASV_229",14,20
"54","bac_ASV_152",13,20
"55","bac_ASV_206",14,20
"56","bac_ASV_134",14,20
"57","bac_ASV_316",14,20
"58","fun_ASV_28",14,20
"59","bac_ASV_62",14,19
"60","bac_ASV_148",14,19
"61","bac_ASV_30",13,19
"62","bac_ASV_425",14,19
"63","bac_ASV_619",13,19
"64","bac_ASV_92",2,19
"65","fun_ASV_13",14,19
"66","fun_ASV_103",14,19
"67","bac_ASV_227",13,18
"68","bac_ASV_244",14,18
"69","bac_ASV_34",14,18
"70","bac_ASV_210",14,18
"71","bac_ASV_135",14,18
"72","bac_ASV_28",2,18
"73","bac_ASV_75",14,18
"74","fun_ASV_20",13,18
"75","fun_ASV_24",13,18
"76","fun_ASV_72",14,18
"77","bac_ASV_143",2,17
"78","bac_ASV_294",13,17
"79","bac_ASV_323",14,17
"80","bac_ASV_169",13,17
"81","fun_ASV_247",14,17
"82","bac_ASV_661",14,16
"83","bac_ASV_312",14,16
"84","bac_ASV_133",13,16
"85","bac_ASV_342",13,16
"86","bac_ASV_277",2,16
"87","bac_ASV_213",13,16
"88","bac_ASV_459",14,16
"89","fun_ASV_38",13,16
"90","fun_ASV_267",2,16
"91","fun_ASV_406",14,16
"92","fun_ASV_145",13,16
"93","bac_ASV_440",13,15
"94","bac_ASV_253",13,15
"95","bac_ASV_185",14,15
"96","bac_ASV_268",14,15
"97","bac_ASV_273",2,15
