"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"bac_ASV_1",-10.9236934641127,-35.6105382049946,"bac_ASV_1","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Unassigned","Unassigned","bac",21,0.320141342756184,988.107694028073,21
"bac_ASV_10",18.9437078950258,21.1843004158153,"bac_ASV_10","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia","Ralstonia_pickettii","bac",2,0.226386806596702,16.1792209167444,2
"bac_ASV_101",-0.57589346798734,-8.51028742285133,"bac_ASV_101","bac","Bacteria","Acidobacteria","Acidobacteria_Gp2","Unassigned","Unassigned","Gp2","Unassigned","bac",1,0.178416699487987,0,1
"bac_ASV_103",-15.4463527507589,-25.253798056226,"bac_ASV_103","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas","Terrimonas_lutea","bac",27,0.330898466033601,2033.41983017039,27
"bac_ASV_1032",26.645175240411,9.87842519869834,"bac_ASV_1032","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Unassigned","bac",11,0.28835136855506,593.305069989528,11
"bac_ASV_104",-23.8539503629202,-18.743961311945,"bac_ASV_104","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Pseudolabrys_taiwanensis","bac",6,0.255787690570299,82.6060492372762,6
"bac_ASV_105",-1.27535490440266,-14.4393793835907,"bac_ASV_105","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",2,0.178557351202207,452,2
"bac_ASV_106",26.832223913367,29.1722178556252,"bac_ASV_106","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Pseudolabrys_taiwanensis","bac",0,0,0,0
"bac_ASV_107",25.3797017750754,14.2698309206299,"bac_ASV_107","bac","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","Gaiella_occulta","bac",10,0.294729993493819,259.390732151172,10
"bac_ASV_109",33.4287360947393,-9.47982215945866,"bac_ASV_109","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","bac",1,1,0,1
"bac_ASV_11",-4.69887089451934,25.2000118596747,"bac_ASV_11","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned","bac",12,0.284012539184953,681.986412973149,12
"bac_ASV_111",-5.72667397739978,-1.76444371851036,"bac_ASV_111","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Unassigned","bac",7,0.284012539184953,1121.9545894874,7
"bac_ASV_1111",12.2201798835266,20.48664633097,"bac_ASV_1111","bac","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","bac",3,0.237297014143531,276.4775569117,3
