"","one"
"num.edges",2296
"num.pos.edges",0
"num.neg.edges",0
"num.vertices",471
"connectance",0.0207435515200795
"average.degree",9.74946921443737
"average.path.length",4.09375638120983
"diameter",12
"edge.connectivity",0
"clustering.coefficient",0
"no.clusters",9
"centralization.degree",0.132447937841623
"centralization.betweenness",0.0549357643353227
"centralization.closeness",1.44546419725379
