"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
24,0.286527514231499,457.918021435688,24
27,0.299801455989411,1530.95558037476,27
22,0.290198590647021,1444.57173216283,22
12,0.272727272727273,330.776347141392,12
11,0.272399278412507,294.698537013534,11
32,0.289087428206765,1770.4013526175,32
21,0.2663139329806,1261.72079531349,21
14,0.254637436762226,1341.91471335133,14
4,0.185124642419289,1032.02035559548,4
3,0.155723616363011,537.81894011882,3
1,0.666666666666667,0,1
1,0.666666666666667,0,1
6,0.254637436762226,74.1946003331109,6
37,0.301397205588822,2634.12571015062,37
23,0.295885042455911,1498.1393330244,23
70,0.335307179866765,6717.39973486681,70
7,0.249312052834342,1203.60900348962,7
5,0.243679397525551,27.4909446817468,5
1,0.226840260390586,0,1
2,0.153924566768603,579.304400812843,2
1,0.153299492385787,0,1
2,0.182587666263603,378.134859942777,2
3,0.211188811188811,2384.83548980276,3
22,0.293583927414128,3016.33264027034,22
3,0.209237875288684,19.6376891751141,3
5,0.245262587980509,526.122657958068,5
62,0.335307179866765,5089.2152383121,62
21,0.27672571777642,670.247255087261,21
1,0.151555704248913,0,1
9,0.217057977958793,2165.5287135975,9
7,0.249312052834342,1988.81949926954,7
29,0.305050505050505,4302.41136100448,29
2,0.131647776809067,78.6444349905967,2
21,0.293964957819598,1451.4494831509,21
22,0.288718929254302,489.017993505503,22
4,0.260494537090282,14.0783248431645,4
17,0.291693496458467,467.245901697007,17
21,0.283656856606136,1422.82079479227,21
12,0.266001174398121,242.876019289691,12
34,0.31006160164271,3652.23184249394,34
20,0.279457125231339,1794.10920362594,20
18,0.276051188299817,1721.63730524003,18
35,0.293203883495146,1752.80556789909,35
33,0.303010033444816,2847.38275497265,33
4,0.247135842880524,788.500622204009,4
1,0.169345794392523,0,1
4,0.216022889842632,387.225088837238,4
16,0.288718929254302,1032.7945705584,16
8,0.272727272727273,1236.94412263355,8
11,0.272399278412507,315.253130063856,11
9,0.274711946634324,618.20789201481,9
25,0.299405155320555,2527.27384894528,25
16,0.28508495909377,414.740122301853,16
6,0.262304574406485,42.0404836903269,6
4,0.234836702954899,115.156404803527,4
10,0.264448336252189,1337.33546969409,10
21,0.286527514231499,1516.47040465458,21
12,0.282242990654206,930.699035104379,12
38,0.324266284896206,3229.56414585975,38
18,0.298222514812377,1360.46904603688,18
18,0.28508495909377,2001.81775365054,18
8,0.275379939209726,271.02820214653,8
5,0.221299462628236,1418.5710614307,5
10,0.278769230769231,416.584505468264,10
6,0.23242688558235,3210.95795164003,6
3,0.201781737193764,372.309663505551,3
3,0.186189889025894,48.0959954805282,3
4,0.18634306869601,500.095995480528,4
3,0.186189889025894,48.0959954805282,3
9,0.250414593698176,2410.92582470271,9
9,0.245794899620184,100.916663687596,9
8,0.260794473229706,2645.34861891564,8
7,0.277064220183486,447.303381658898,7
16,0.279802347127857,2071.29236713222,16
8,0.249312052834342,1283.84871445269,8
3,0.191219924018573,1350.5,3
5,0.258414147176269,345.977908950499,5
48,0.324731182795699,4512.80621522439,48
30,0.306702775897089,2104.53660539298,30
12,0.280843149411035,308.98471963212,12
71,0.344486692015209,4352.0804603436,71
4,0.25435148792813,7.26515335770854,4
52,0.33382461311717,2191.89712727653,52
59,0.33831217326363,2868.5129648674,59
72,0.351435221101629,4431.02066606627,72
37,0.304640215198386,769.744020610921,37
19,0.297830374753452,820.090457497784,19
8,0.27672571777642,928.82701679066,8
42,0.321961620469083,4005.80612104998,42
6,0.252086811352254,652.141320711527,6
63,0.342403628117914,3752.79583138222,63
5,0.264757451782583,25.2173062239107,5
58,0.324731182795699,4275.58558140208,58
19,0.271745650869826,3147.4992070216,19
2,0.203962179198559,452,2
15,0.272072072072072,248.552387646218,15
14,0.271095152603232,221.751729937473,14
10,0.256657223796034,121.848531532589,10
6,0.265377855887522,89.0085588600736,6
37,0.296272073250491,1637.79840904824,37
27,0.283656856606136,884.772035084677,27
2,0.23242688558235,2.11835263145221,2
4,0.242116515232496,62.74896941563,4
35,0.30879345603272,1235.45344548292,35
62,0.329454545454545,2514.3648809119,62
40,0.307118644067797,971.371561498011,40
40,0.316120027913468,2067.28482238393,40
10,0.247405789186237,304.603560668802,10
3,0.237545883586786,11.193669108354,3
6,0.258119658119658,19.7543720781236,6
5,0.250691754288877,311.93930365045,5
7,0.246597713663582,500.685681855834,7
4,0.250691754288877,2.9849134464668,4
16,0.269162210338681,349.49400668023,16
9,0.261095100864553,102.490485097172,9
11,0.261698440207972,81.713884450718,11
2,0.235080435910742,0.616067338247096,2
3,0.245262587980509,119.527934164271,3
7,0.260195290063182,1477.40791791203,7
2,0.201243891603732,11.1971622398223,2
14,0.288718929254302,302.346103583104,14
6,0.252649191299498,1340.54532471922,6
8,0.265377855887522,116.328815064964,8
5,0.263525305410122,27.1923222213657,5
