"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"56",0.8,0.0408791208791209,0.0122733400470125,0.00122733400470125,"weighted","OE"
"57",0.85,0.0241758241758242,0.0107584248608844,0.00107584248608844,"weighted","OE"
"58",0.9,0.0106593406593407,0.00842876841408061,0.000842876841408061,"weighted","OE"
"59",0.95,0.00336996336996337,0.00511921151864493,0.000511921151864493,"weighted","OE"
"60",1,0,0,0,"weighted","OE"
"61",0.05,0.566080586080586,0.013739482362395,0.0013739482362395,"unweighted","OE"
"62",0.1,0.521941391941392,0.0190832693748209,0.00190832693748209,"unweighted","OE"
"63",0.15,0.477802197802198,0.0224618372113182,0.00224618372113182,"unweighted","OE"
"64",0.2,0.435567765567766,0.0219292202476723,0.00219292202476723,"unweighted","OE"
"65",0.25,0.393516483516483,0.0246314248516722,0.00246314248516722,"unweighted","OE"
"66",0.3,0.347289377289377,0.0268907454027153,0.00268907454027153,"unweighted","OE"
"67",0.35,0.311098901098901,0.0265843782749875,0.00265843782749875,"unweighted","OE"
"68",0.4,0.278351648351648,0.0245279831403504,0.00245279831403504,"unweighted","OE"
"69",0.45,0.237179487179487,0.0249654648023673,0.00249654648023673,"unweighted","OE"
"70",0.5,0.204029304029304,0.0212857003446357,0.00212857003446357,"unweighted","OE"
"71",0.55,0.173589743589744,0.025595501611587,0.0025595501611587,"unweighted","OE"
"72",0.6,0.136190476190476,0.0218938707916777,0.00218938707916777,"unweighted","OE"
"73",0.65,0.11040293040293,0.0218482621261426,0.00218482621261426,"unweighted","OE"
"74",0.7,0.0859340659340659,0.0179707911327895,0.00179707911327895,"unweighted","OE"
"75",0.75,0.0612454212454212,0.0158694293103855,0.00158694293103855,"unweighted","OE"
"76",0.8,0.0428571428571429,0.0156060787547399,0.00156060787547399,"unweighted","OE"
"77",0.85,0.0226739926739927,0.0116382385689183,0.00116382385689183,"unweighted","OE"
"78",0.9,0.00853479853479854,0.00715861221895743,0.000715861221895743,"unweighted","OE"
"79",0.95,0.00278388278388278,0.00451245145839996,0.000451245145839996,"unweighted","OE"
"80",1,0,0,0,"unweighted","OE"
"81",0.05,0.539352517985612,0.0113615332078238,0.00113615332078238,"weighted","WT"
"82",0.1,0.498345323741007,0.0146889278772661,0.00146889278772661,"weighted","WT"
"83",0.15,0.455719424460432,0.0175083468381755,0.00175083468381755,"weighted","WT"
"84",0.2,0.409136690647482,0.0194996753957496,0.00194996753957496,"weighted","WT"
"85",0.25,0.371762589928058,0.0216937230484789,0.00216937230484789,"weighted","WT"
"86",0.3,0.33705035971223,0.0263516318655107,0.00263516318655107,"weighted","WT"
"87",0.35,0.29658273381295,0.0274204992200669,0.00274204992200669,"weighted","WT"
"88",0.4,0.259280575539568,0.0253205450150435,0.00253205450150435,"weighted","WT"
"89",0.45,0.224568345323741,0.0231897821006564,0.00231897821006564,"weighted","WT"
"90",0.5,0.188597122302158,0.0228719830028466,0.00228719830028466,"weighted","WT"
"91",0.55,0.158309352517986,0.0244209393634967,0.00244209393634967,"weighted","WT"
"92",0.6,0.133057553956835,0.0193710626927119,0.00193710626927119,"weighted","WT"
"93",0.65,0.100755395683453,0.0166967527655328,0.00166967527655328,"weighted","WT"
"94",0.7,0.0799280575539568,0.0189418083352208,0.00189418083352208,"weighted","WT"
"95",0.75,0.0552877697841727,0.0156390538833939,0.00156390538833939,"weighted","WT"
"96",0.8,0.0374460431654676,0.0145878116841759,0.00145878116841759,"weighted","WT"
"97",0.85,0.0212230215827338,0.00993370097285745,0.000993370097285744,"weighted","WT"
"98",0.9,0.00892086330935252,0.00766022333000982,0.000766022333000982,"weighted","WT"
"99",0.95,0.00237410071942446,0.00396755522247958,0.000396755522247958,"weighted","WT"
"100",1,0,0,0,"weighted","WT"
"101",0.05,0.480647482014389,0.0150089672528876,0.00150089672528876,"unweighted","WT"
"102",0.1,0.445035971223022,0.0184347665927524,0.00184347665927524,"unweighted","WT"
"103",0.15,0.409424460431655,0.023581701658056,0.0023581701658056,"unweighted","WT"
"104",0.2,0.373129496402878,0.0250359492969791,0.00250359492969791,"unweighted","WT"
"105",0.25,0.33726618705036,0.0252349206376162,0.00252349206376162,"unweighted","WT"
"106",0.3,0.304712230215827,0.0235312948248658,0.00235312948248658,"unweighted","WT"
"107",0.35,0.272482014388489,0.0247921135779984,0.00247921135779984,"unweighted","WT"
"108",0.4,0.242482014388489,0.0263644995095909,0.00263644995095909,"unweighted","WT"
"109",0.45,0.20726618705036,0.0240883787808293,0.00240883787808293,"unweighted","WT"
"110",0.5,0.178561151079137,0.0236985789517131,0.00236985789517131,"unweighted","WT"
"111",0.55,0.149064748201439,0.0243395878726765,0.00243395878726765,"unweighted","WT"
"112",0.6,0.122589928057554,0.0216835086433372,0.00216835086433372,"unweighted","WT"
"113",0.65,0.0960791366906475,0.022486090757541,0.0022486090757541,"unweighted","WT"
"114",0.7,0.0780935251798561,0.0181360974229792,0.00181360974229792,"unweighted","WT"
"115",0.75,0.0519424460431655,0.0170976196076124,0.00170976196076124,"unweighted","WT"
"116",0.8,0.0349640287769784,0.0129249900631264,0.00129249900631264,"unweighted","WT"
"117",0.85,0.0207553956834532,0.0110942052893529,0.00110942052893529,"unweighted","WT"
"118",0.9,0.00910071942446043,0.00745222712835998,0.000745222712835998,"unweighted","WT"
"119",0.95,0.00334532374100719,0.00509364649892039,0.000509364649892039,"unweighted","WT"
"120",1,0,0,0,"unweighted","WT"
