"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"1",0.05,0.567383512544803,0.0147869345986537,0.00147869345986537,"weighted","KO"
"2",0.1,0.526523297491039,0.0163933702949537,0.00163933702949537,"weighted","KO"
"3",0.15,0.48505376344086,0.0178961847802479,0.00178961847802479,"weighted","KO"
"4",0.2,0.445089605734767,0.0246190888429188,0.00246190888429188,"weighted","KO"
"5",0.25,0.4015770609319,0.0229130314566886,0.00229130314566886,"weighted","KO"
"6",0.3,0.365663082437276,0.0246433230355244,0.00246433230355244,"weighted","KO"
"7",0.35,0.322329749103943,0.0238745161555839,0.00238745161555839,"weighted","KO"
"8",0.4,0.287455197132616,0.0246697427493007,0.00246697427493007,"weighted","KO"
"9",0.45,0.249139784946237,0.0237176824122794,0.00237176824122794,"weighted","KO"
"10",0.5,0.219139784946237,0.0217812935810422,0.00217812935810422,"weighted","KO"
"11",0.55,0.183870967741935,0.0220329197952999,0.00220329197952999,"weighted","KO"
"12",0.6,0.153548387096774,0.0200871947397207,0.00200871947397207,"weighted","KO"
"13",0.65,0.120035842293907,0.0190512579032933,0.00190512579032933,"weighted","KO"
"14",0.7,0.0920430107526882,0.0193914107648947,0.00193914107648947,"weighted","KO"
"15",0.75,0.0682078853046595,0.0153463728767935,0.00153463728767935,"weighted","KO"
"16",0.8,0.0448745519713262,0.013749978330761,0.0013749978330761,"weighted","KO"
"17",0.85,0.0285663082437276,0.0108362968399349,0.00108362968399349,"weighted","KO"
"18",0.9,0.0124014336917563,0.00923225934104291,0.000923225934104291,"weighted","KO"
"19",0.95,0.00308243727598566,0.00435325504067393,0.000435325504067393,"weighted","KO"
"20",1,0,0,0,"weighted","KO"
"21",0.05,0.528351254480287,0.0165477510934593,0.00165477510934593,"unweighted","KO"
"22",0.1,0.484587813620072,0.0244053220085683,0.00244053220085683,"unweighted","KO"
"23",0.15,0.441971326164875,0.0267574696275903,0.00267574696275903,"unweighted","KO"
"24",0.2,0.405304659498208,0.0235980259204294,0.00235980259204294,"unweighted","KO"
"25",0.25,0.366774193548387,0.0284788225710711,0.00284788225710711,"unweighted","KO"
"26",0.3,0.329175627240143,0.0280919193285472,0.00280919193285472,"unweighted","KO"
"27",0.35,0.288351254480287,0.0246559311912063,0.00246559311912063,"unweighted","KO"
"28",0.4,0.259820788530466,0.029254000879188,0.0029254000879188,"unweighted","KO"
"29",0.45,0.223942652329749,0.0264834427765781,0.00264834427765781,"unweighted","KO"
"30",0.5,0.198207885304659,0.0284261230908979,0.00284261230908979,"unweighted","KO"
"31",0.55,0.166881720430108,0.0255397764087264,0.00255397764087264,"unweighted","KO"
"32",0.6,0.138458781362007,0.0250489981550463,0.00250489981550463,"unweighted","KO"
"33",0.65,0.111541218637993,0.0184194859495135,0.00184194859495135,"unweighted","KO"
"34",0.7,0.0882078853046595,0.0191694088982685,0.00191694088982685,"unweighted","KO"
"35",0.75,0.0638709677419355,0.0160484169385404,0.00160484169385404,"unweighted","KO"
"36",0.8,0.04415770609319,0.0144350574636492,0.00144350574636492,"unweighted","KO"
"37",0.85,0.0244444444444444,0.0110488638283146,0.00110488638283146,"unweighted","KO"
"38",0.9,0.013584229390681,0.00901716318391801,0.000901716318391801,"unweighted","KO"
"39",0.95,0.00390681003584229,0.00536958169017287,0.000536958169017287,"unweighted","KO"
"40",1,0,0,0,"unweighted","KO"
"41",0.05,0.57952380952381,0.0122132862743233,0.00122132862743233,"weighted","OE"
"42",0.1,0.538571428571429,0.0151204846637892,0.00151204846637892,"weighted","OE"
"43",0.15,0.488095238095238,0.0182250723607944,0.00182250723607944,"weighted","OE"
"44",0.2,0.442234432234432,0.0188356460885411,0.00188356460885411,"weighted","OE"
"45",0.25,0.404981684981685,0.0265643094614629,0.00265643094614629,"weighted","OE"
"46",0.3,0.362893772893773,0.0218869055118074,0.00218869055118074,"weighted","OE"
"47",0.35,0.327655677655678,0.0248784531698465,0.00248784531698465,"weighted","OE"
"48",0.4,0.284945054945055,0.0257191089704615,0.00257191089704615,"weighted","OE"
"49",0.45,0.245934065934066,0.0234980811888777,0.00234980811888777,"weighted","OE"
"50",0.5,0.213113553113553,0.0194622037579091,0.00194622037579091,"weighted","OE"
"51",0.55,0.174432234432234,0.0210891914939277,0.00210891914939277,"weighted","OE"
"52",0.6,0.141758241758242,0.0190904056501378,0.00190904056501378,"weighted","OE"
"53",0.65,0.112637362637363,0.019510854865857,0.0019510854865857,"weighted","OE"
"54",0.7,0.09,0.01912413371305,0.001912413371305,"weighted","OE"
"55",0.75,0.063040293040293,0.0175578493513824,0.00175578493513824,"weighted","OE"
