TN,TP,TOC,AN,AP,AK,SOM,pH,SM,BD,group
3.14,0.151719876,37.77,159,3.84,87.75261359,56.69628402,7.95,16.05882353,0.9506,A
3.21,0.15663318,38.16,160,3.89,97.79413235,51.26261008,7.97,18.33125,0.9533,A
3.56,0.149692213,41.82,158,3.9,88.68935728,52.38926085,7.91,24.875,0.9675,A
3.26,0.160497142,41.96,155,3.69,72.37539237,51.26261008,8,16.05882353,0.9793,A
3.3,0.156789034,42.24,154,3.67,82.4950503,52.18074638,8.02,18.33125,0.9506,A
2.87,0.151418546,37.86,157,3.71,74.04520655,37.4695451,8.01,24.875,0.9533,A
2.81,0.162710122,37.36,151,3.52,65.37123666,47.37386163,8.13,16.05882353,0.9675,A
2.99,0.154761371,40.46,152,3.51,62.2,42.59986431,8.14,18.33125,0.9793,A
3.29,0.14853059,40.37,150,3.6,65.5,38.63994482,8.1,24.875,0.9675,A
3.52,0.16643054,40.52,165,4.62,99.65814358,46.9993647,7.95,16.72222222,1.1439,B
3.34,0.161834363,39.35,166,4.68,88.40628933,45.03414228,7.9,15.85625,1.1456,B
4.08,0.157258462,47.47,163,4.65,101.00202,65.26953018,7.88,18.35625,1.1372,B
3.22,0.16437653,46.32,159,4.5,87.71053525,40.20571181,8.03,16.72222222,1.0755,B
3.28,0.160497142,40.8,158,4.52,73.980765,40.04568908,7.99,15.85625,1.1439,B
3.4,0.159165239,42.42,158,4.55,85.57946093,59.05048385,7.96,18.35625,1.1456,B
3.07,0.175894955,39.96,153,4.43,74.09555427,43.68620627,8.12,16.72222222,1.1372,B
3.19,0.159701815,41.97,150,4.39,52.49895002,33.77650963,8.04,15.85625,1.0755,B
3.34,0.157838621,40.53,151,4.4,74.03928778,44.50119385,7.99,18.35625,1.1372,B
3.16,0.158187096,41.3,150,4.32,120.9371127,52.38926085,7.97,13.4875,1.0216,C
3.38,0.152530335,41.27,149,4.21,133.3253378,56.92149269,7.99,14.24375,1.0568,C
3.29,0.152987926,40.27,151,4.39,114.3908487,46.9993647,7.96,20.1125,1.1357,C
3.14,0.168955011,40.99,146,4.33,107.6676997,37.4695451,7.97,13.4875,1.0653,C
3.11,0.158658827,38.61,145,4.27,113.2841402,51.01800483,8.01,14.24375,1.0216,C
3.36,0.134004261,43.09,142,4.31,107.9244529,40.20571181,7.98,20.1125,1.0568,C
2.81,0.171323616,37.55,139,4.26,98.65067466,38.63994482,8.07,13.4875,1.1357,C
3.14,0.166595814,37.65,140,4.2,87.76313948,46.25128126,8.03,14.24375,1.0653,C
2.97,0.160684474,37.91,137,4.21,98.68026395,43.68620627,8.04,20.1125,1.0568,C
3.31,0.151308267,43.84,162,3.8,104.9979,45.03414228,7.95,14.875,1.0373,D
3.3,0.121546817,42.15,160,3.76,117.7387758,65.26953018,7.94,16.59375,1.1526,D
3.44,0.150799325,41.04,157,3.72,107.9266099,56.69628402,7.9,16.625,1.1706,D
3.02,0.160497142,39.48,156,3.55,98.65461888,40.04568908,7.99,14.875,1.0538,D
3.43,0.154607532,44.75,156,3.48,107.9697685,59.05048385,8.01,16.59375,1.0373,D
3.39,0.151308267,42.93,157,3.3,97.79217663,51.26261008,7.97,16.625,1.1526,D
3.07,0.153240624,42.36,150,3.26,74.43896005,33.77650963,8.06,14.875,1.1706,D
3.2,0.151101226,44.39,149,3.35,87.78244351,44.50119385,8.04,16.59375,1.0538,D
3.18,0.152430364,42.94,153,3.31,74.5,47.37386163,8.02,16.625,1.0538,D
3.53,0.16658619,39.57,178,4.37,102.4733569,51.26261008,7.88,18.0625,1.0494,E
3.33,0.166078769,41.65,172,4.32,97.74135519,52.38926085,7.99,20.5125,1.0521,E
3.55,0.169125359,45.03,175,4.3,99.74613709,56.92149269,8.04,21.575,1.0255,E
3.47,0.159830528,38.67,168,4.34,97.74330888,52.18074638,7.95,18.0625,1.0295,E
3.35,0.160711627,44.54,166,4.15,84.11084251,37.4695451,8.13,20.5125,1.0494,E
3.33,0.168443997,45.29,167,4.22,77.75490216,51.01800483,8.14,21.575,1.0521,E
3.31,0.156983544,39.43,156,4.15,84.43076677,42.59986431,8,18.0625,1.0255,E
2.83,0.145274524,41.56,159,4.16,65.47250155,38.63994482,8.24,20.5125,1.0295,E
2.65,0.14112944,38.57,155,4.2,68.08910574,46.25128126,8.27,21.575,1.0255,E
2.8,0.156906622,38.48,140,3.61,142.1857814,65.26953018,7.92,15.79375,0.8313,F
3.39,0.170307763,40.19,141,3.57,152.4664574,56.69628402,7.81,16.2,0.9439,F
3.93,0.148741294,46.12,138,3.55,121.9585341,51.26261008,7.96,15.29375,0.9218,F
3.18,0.151969025,44.44,137,3.51,130.9921405,59.05048385,8.03,15.79375,0.9343,F
3.25,0.148678382,43.15,138,3.42,132.1947122,51.26261008,7.93,16.2,0.8313,F
3.35,0.142088478,39.82,135,3.47,107.9870416,52.18074638,8.06,15.29375,0.9439,F
2.48,0.153240624,46.61,130,3.3,103.9916807,44.50119385,8.18,15.79375,0.9218,F
2.53,0.157646003,41.48,131,3.27,114.3451143,47.37386163,8.01,16.2,0.9343,F
3.08,0.140988592,41.06,131,3.34,115.9698478,42.59986431,8.19,15.29375,0.9218,F
