PROGENY	IL17 KEGG signature
9.9991	8.0625
9.7401	7.656
9.7612	7.35
10.015	8.9595
9.9669	8.0605
9.637	7.7585
9.8114	7.817
9.8848	7.992
10.0583	8.0085
9.9466	8.654
9.1972	7.922
9.735	8.5475
9.827	7.65845
9.6247	8.1135
10.2366	9.1615
10.0243	8.2325
9.795	7.6475
9.3321	7.397
9.7367	7.6795
10.0963	8.444
9.5131	8.9285
10.0309	8.17
9.9078	8.56105
9.799	6.9495
