"Healthy01"	"Healthy02"	"Healthy03"	"Healthy04"	"Healthy05"	"Healthy06"	"Healthy07"	"Healthy08"	"Healthy09"	"Healthy10"
"Species1"	" 284.7623"	"  0.0000"	"    4.9600"	"   0.0000"	"  87.8071"	"   9.5300"	" 159.2445"	"  11.3622"	"   0.0000"	"1264.2912"
"Species10"	"  41.3644"	"  0.0000"	"   92.7324"	"   0.0000"	"  21.2408"	"  52.6809"	"  24.9265"	"  51.4224"	"  10.6683"	"   0.0000"
"Species11"	"   0.0000"	"  0.0000"	"    0.0000"	" 147.7471"	"   0.0000"	"   0.0000"	" 128.7516"	"   0.0000"	"   0.0000"	"   0.0000"
"Species12"	"   0.0000"	" 34.1058"	"    0.0000"	"   0.0000"	" 124.8259"	" 147.0927"	" 174.1025"	"  43.0592"	"  92.9221"	" 271.9297"
"Species13"	"   0.0000"	"  0.0000"	"    0.0000"	"   0.0000"	"  98.6846"	"   0.0000"	" 110.1897"	"   0.0000"	"   0.0000"	" 212.7622"
"Species14"	" 454.0975"	" 25.3673"	"    0.0000"	" 835.3221"	"2836.4511"	"  22.5275"	" 551.2040"	" 364.4919"	" 100.9960"	"1391.0089"
"Species15"	"  11.4327"	"  0.0000"	"    0.0000"	"   0.0000"	"   0.0000"	"   0.0000"	"   7.4400"	"   0.0000"	"   0.0000"	"1380.7780"
"Species16"	"  43.9976"	"  0.0000"	"  319.8398"	"   0.0000"	"  72.4148"	"  37.6454"	" 270.4241"	"   4.4400"	"   0.0000"	" 386.5682"
"Species17"	"   2.2200"	"  0.0000"	"    0.0000"	"   0.0000"	"  81.5409"	"   0.0000"	" 261.0154"	"   0.0000"	" 126.9818"	"  48.5908"
"Species18"	"   0.0000"	"  5.9500"	"    0.0000"	"   0.0000"	"   3.6300"	"   0.0000"	"  16.8483"	"   0.0000"	"   0.0000"	"  17.7550"
"Species19"	" 153.1250"	"191.6119"	"    0.0000"	" 694.5351"	" 448.0975"	"   0.0000"	" 317.8824"	"  57.8959"	" 175.8194"	"1290.7508"
"Species2"	"1075.8860"	"  5.3800"	"    9.4200"	" 469.3182"	" 595.0961"	" 125.9648"	" 380.6138"	" 108.1723"	"   2.6900"	" 930.7138"
"Species20"	" 102.6500"	"  4.1900"	"    0.0000"	"   0.0000"	"   0.0000"	"7815.4550"	"1985.4051"	" 262.0860"	"   0.0000"	"2276.2560"
"Species21"	"   0.0000"	"215.3884"	"    0.0000"	"  44.2428"	"   0.0000"	"3426.5503"	"   0.0000"	"  59.9684"	"   0.0000"	"   0.0000"
"Species22"	"   0.0000"	"  0.0000"	"    0.0000"	"   0.0000"	" 130.5458"	"   0.0000"	"   0.0000"	" 155.6692"	"   0.0000"	"   0.0000"
"Species23"	"   0.0000"	"  0.0000"	"    0.0000"	"   0.0000"	"   0.0000"	"   0.0000"	"   0.0000"	"  94.5304"	"   0.0000"	" 283.7465"
"Species24"	"1538.4497"	"272.1997"	"    0.0000"	"   0.0000"	"2364.8795"	"   0.0000"	"1509.5980"	"1786.9708"	"   0.0000"	"   0.0000"
"Species25"	"   0.0000"	"  0.0000"	"    0.0000"	"   0.0000"	" 149.2801"	"   0.0000"	"   0.0000"	"   0.0000"	"   0.0000"	"   0.0000"
"Species26"	"  41.2644"	"  0.0000"	"    0.0000"	"3098.4018"	" 125.2436"	" 861.0474"	" 906.7316"	" 382.3154"	"  49.6263"	" 526.2236"
"Species27"	"   0.0000"	"  0.0000"	"20158.4695"	"   0.0000"	"   0.0000"	"6942.2949"	"  32.6322"	" 181.5023"	"2929.4032"	"1749.6151"
"Species28"	"   0.0000"	" 24.3068"	"    0.0000"	" 100.2936"	"   0.0000"	"   0.0000"	"  42.6901"	"   0.0000"	"   0.0000"	"   6.3900"
"Species29"	" 357.8361"	"287.3013"	"    0.0000"	" 117.1289"	" 174.0879"	"  10.0545"	"   0.0000"	" 214.0771"	"  11.1249"	"   0.0000"
"Species3"	"   0.0000"	"  0.0000"	"    0.0000"	" 236.1377"	" 119.5398"	"  29.0522"	"   0.0000"	"  11.3988"	"   5.2200"	" 104.3361"
"Species30"	"   0.0000"	"  0.0000"	"    0.0000"	"   0.0000"	"   0.0000"	"2650.1072"	"   0.0000"	"   0.0000"	"   0.0000"	"   0.0000"
"Species31"	"   0.0000"	"  0.0000"	" 9351.9159"	"   0.0000"	"   0.0000"	"   0.0000"	"1148.5891"	"   0.0000"	"   0.0000"	"2837.8108"
"Species32"	"   0.0000"	"  0.0000"	"    0.0000"	"   0.0000"	"   0.0000"	"   0.0000"	"   0.0000"	"   0.0000"	"   0.0000"	"   0.0000"
"Species33"	"  31.1983"	"  4.4500"	" 1012.5622"	" 412.0845"	"   0.0000"	"   9.8900"	"  49.7147"	"   0.0000"	"   0.0000"	"  56.4965"
"Species34"	"   0.0000"	"344.1655"	"    0.0000"	"3581.0487"	"   0.0000"	"2607.1928"	"4782.8061"	" 856.8692"	"   0.0000"	"1869.4048"
"Species35"	"  52.8860"	"  0.0000"	"    0.0000"	"   0.0000"	"   0.0000"	"   0.0000"	"   0.0000"	"  27.0157"	"   0.0000"	"   0.3100"
"Species36"	" 367.8689"	"  0.0000"	" 1776.4938"	" 535.7510"	"  39.2200"	" 217.2275"	" 366.9478"	"   0.0000"	"  78.0509"	" 239.2576"
"Species4"	" 129.6485"	"563.0960"	"  914.9213"	" 490.8639"	"   0.0000"	" 128.0745"	" 152.6244"	"   8.6200"	" 166.3134"	" 205.6554"
"Species5"	"   0.0000"	" 25.1764"	"    0.0000"	" 228.8396"	"   0.0000"	" 661.5414"	" 821.2449"	"   0.0000"	"1815.8631"	"1880.1962"
"Species6"	"   0.0000"	"207.3816"	"    0.0000"	"   0.0000"	"1783.5530"	"1107.9033"	" 399.2501"	"  98.2243"	" 904.8753"	"1518.5732"
"Species7"	"   0.0000"	" 30.7970"	"  269.5838"	" 137.9882"	"   0.0000"	"   0.0000"	" 153.3801"	"   0.0000"	" 204.8148"	"   0.0000"
"Species8"	" 286.2178"	"  0.0000"	"    0.0000"	"   0.0000"	"  86.3450"	"   0.0000"	"   0.0000"	"  13.8370"	" 465.2853"	" 250.6213"
"Species9"	"   0.0000"	" 11.2413"	"    0.0000"	"   0.0000"	"2629.5701"	"   0.0000"	"   0.0000"	" 517.4058"	"  14.3420"	"   0.0000"
