Order	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales	16.2444749276025	27.2485736659582	18.6993769470405	20.7573186253712	11.9958581413409	15.1618724707426	16.7599162316757	21.0197107463233	22.6123595505618	18.0726600985222	19.9531658658232	16.214335421016	24.7352496217852	22.4096958174905	21.0460668551472	23.8828967642527	24.8395569877332	20.7246812112607
Bacteria|Actinobacteria|Actinobacteria|Unassigned	0.0762078951379363	0.13144647052243	0.0700934579439252	0.0848536274925753	0.0465959099145742	0.073826971453571	0.131278717219392	0.146457557820223	0.119967228464419	0.110837438423645	0.133811811933581	0.202441956095401	0.143181326993732	0.0765737220109844	0.113642663118798	0.0935505172793308	0.0866527661187684	0.103759932282992
Bacteria|Bacteroidetes|Cytophagia|Cytophagales	0.124980948026216	0.0755118022150129	0.0389408099688473	0.0662918964785744	0.0258866166192079	0.0328119873126982	0.306317006845247	0.22273753585159	0.263342696629214	0.230911330049261	0.200717717900371	0.136015689251597	0.145882861465312	0.168990283058724	0.238372415322357	0.173343605546995	0.0866527661187684	0.182945143762117
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	1.21932632220698	1.01241749636425	6.42523364485981	1.81639796351294	3.88816981620502	1.56130372962922	1.11899478010815	5.94983828644657	5.42778558052434	3.97167487684729	1.77604768566389	1.12292022521668	3.04733088394208	3.3032319391635	2.35323465824048	1.1748844375963	2.96514934062661	3.97291319662507
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales	0.0853528425544886	0.0447477346459335	0.0363447559709242	0.0424268137462877	0.0258866166192079	0.0300776550366401	0.228174913262276	0.13120156221395	0.304307116104869	0.314039408866995	0.188553007724591	0.104384133611691	0.18370434406743	0.258766370933671	0.196795831254504	0.23662777900066	0.113731755530884	0.0982988832154657
Bacteria|Chloroflexi|Chloroflexia|Herpetosiphonales	0.292638317329675	0.327217809598389	0.163551401869159	0.40040305473059	0.499611700750712	0.194137591600131	0.234426280748914	1.03130530298407	0.0555945692883895	0.483374384236453	0.872817955112219	0.534573290314418	2.50162092068295	0.161068863540346	0.335384444814014	0.382456526524323	1.08586747542582	0.764546869453622
Bacteria|Chloroflexi|Unassigned|Unassigned	0.271300106691053	0.173397471752992	0.033748701973001	0.114022061943148	0.0543618949003365	0.0710926391775129	0.153158503422624	0.103740770122658	0.131671348314607	0.123152709359606	0.0821117936865154	0.0885683557917378	0.113464447806354	0.0739332488381918	0.124729752203559	0.0797930882676645	0.0270789894121151	0.0682631133440734
Bacteria|Firmicutes|Bacilli|Bacillales	0.536503581771071	0.416713278890256	0.124610591900312	0.185617310140009	0.144965053067564	0.328119873126982	1.97543212577751	0.74754378470739	1.04166666666667	1.12068965517241	0.532206070190378	2.19206680584551	0.153987464880052	0.060730882974229	0.257774821220689	0.156834690732996	0.102900159766038	0.245747208038664
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales	0.704160951074531	0.629265018458441	0.654205607476636	0.517076792532881	0.704115972042454	0.705457727223012	0.431344356578002	0.268505522670409	0.289676966292135	0.338669950738916	0.526123715102488	0.379578667678876	0.3890209639075	0.541297000422476	0.324297355729253	0.390710983931323	0.471174415770803	0.45599759713841
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	7.09952751105015	6.97784987135026	9.79231568016615	9.04751803139584	10.5384416256795	8.85376790987641	7.16094145594349	6.29157258802709	5.42778558052434	6.12992610837438	8.46967945988687	6.96526855190738	5.18964771990491	6.55365441487115	6.37230445146627	6.19909751265683	7.52254325868559	7.00379542910193
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	0.344459686023472	0.436290412797852	0.254413291796469	0.270470937632584	0.139787729743722	0.25702723394947	0.70640452599006	0.421065478733142	0.365753745318352	0.387931034482759	0.389270725624962	0.534573290314418	0.332288740004322	0.227080692860161	0.443483563390432	0.264142637023993	0.227463511061767	0.335854517652841
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	0.935832952293858	0.769101689226983	2.20145379023884	1.8508697496818	2.00362412632669	1.27146450836706	0.659519269840278	0.756697382071154	0.605688202247191	0.818965517241379	1.02487683230947	0.857215157841463	0.667279014480225	0.976975073933249	0.69017129552636	1.15287255117764	1.15898074683853	0.770007918521148
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	21.2985825331504	14.5961516948205	19.2471443406023	21.8418540517607	29.0499611700751	23.6328338619709	12.0588878817241	10.6059681454812	15.2563202247191	15.7635467980296	14.5337874825132	13.1365850572531	16.287551329155	19.183037600338	14.6571317700538	16.1484701738939	17.0895502179859	15.7605876088797
Bacteria|Proteobacteria|Betaproteobacteria|Unassigned	0.527358634354519	0.332811276429131	0.44392523364486	0.535638523546882	0.52549831736992	0.776550366400525	0.415715937861407	0.335631903338012	0.629096441947566	0.886699507389163	0.425764856152302	0.316315556399064	0.510590015128593	0.528094634558513	0.55712622650923	0.48151001540832	0.408892740122939	0.458728121672173
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales	0.365797896662094	0.416713278890256	0.578920041536864	0.684132371658888	0.603158167227543	0.481242480586241	0.284437220642015	0.21663513760908	0.324789325842697	0.335591133004926	0.380147192993127	0.262541911811223	0.367408688134861	0.509611322348965	0.388048117966628	0.456746643187321	0.565950878713206	0.36315976299047
