Sample	Richness	Chao1	ACE	Shannon	Simpson	Invsimpson
IF_175re	559	554.045454545455	555.38616053146	4.84880819431746	0.981771724087867	54.8598235412048
IF_178	610	609.037037037037	610.662815729621	5.55236612011631	0.993080150938001	144.511822590415
IF_179	244	247.333333333333	245.962039922801	4.8249341578703	0.985685061129377	69.8570918840749
KeioHC_5	476	487.714285714286	485.331546775787	5.40990434778311	0.991525425225028	118.000020833289
KeioHC_6	162	160	160.265090210262	3.9552507318951	0.972199787022478	35.9709474459267
KeioHC_7	253	255.090909090909	255.321878642525	4.54423420896066	0.977118580178882	43.7035816753417
KeioHC_9	380	377.2	376.89732183111	5.15541108166831	0.991885016738262	123.228843208461
IF_187	283	282.75	283.073257776706	4.95517339771921	0.990232557393431	102.380944560397
KeioHC_101	202	196.714285714286	197.993295669649	3.99194289651895	0.945140026796696	18.2282261840362
KeioHC_102	152	152	152.400109772104	4.2883158430317	0.977112130604169	43.69126643925
KeioHC_103	98	96	96	3.7409924828979	0.962650261773182	26.7739493628362
KeioHC_104	137	137	137	4.40122534269069	0.980809361854932	52.1087413790342
KeioHC_10	538	536.206896551724	533.504924154026	5.37153298939794	0.991581773411054	118.789864995212
KeioHC_11	342	340.6	339.36277242571	5.04841335548711	0.98993685387427	99.3725011547976
KeioHC_12	246	240.545454545455	241.359797002408	4.76249215367513	0.986968626642051	76.7378826875551
KeioHC_13	414	410.111111111111	409.299729548557	5.29261726059836	0.991873057457218	123.047504610231
KeioHC_105	126	125	125	4.3873461308959	0.983727798784914	61.4545006408172
KeioHC_106	404	397.8	399.174769667839	5.02438855930643	0.987221508544	78.256498698872
KeioHC_107	228	235.5	231.610289480211	4.64099197367749	0.982319747918434	56.5602795359818
KeioHC_108	142	142	142.303880291306	4.16721966139632	0.976528807652196	42.6054196643133
KeioHC_109	123	119.5	118.824150208171	3.74362328468476	0.958899052823334	24.3303395345525
KeioHC_110	321	324.625	322.673852724779	4.82305128725568	0.986122714217915	72.0602007988458
KeioHC_111	171	174	172.965149911817	4.46486163344221	0.981972982942827	55.4722945470376
KeioHC_112	230	230.6	231.071178773967	4.9097000707883	0.989899283380639	99.0028764972236
KeioHC_14	246	248.857142857143	245.39041332313	4.58294787643824	0.982048201176998	55.7047240702508
KeioHC_15	206	205.111111111111	206.037738605884	4.56664093181891	0.985430629709244	68.6371462900147
KeioHC_17	113	111.333333333333	111.796798719488	3.89068755210237	0.967822503697104	31.0776199175572
KeioHC_18	202	202	201.917694875889	4.47569611334302	0.981769225506219	54.8523048398808
KeioHC_115	177	189	179.539247594051	4.23115114466014	0.976883555223978	43.2592472453745
KeioHC_116	163	163	163	4.40738256772362	0.979733801376048	49.3432448065579
KeioHC_117	360	364.5	364.028659383409	5.0068291994856	0.98504957943071	66.8877504392152
KeioHC_118	133	136.333333333333	137.946844993141	3.82035828204246	0.962685798048645	26.7994476018452
KeioHC_I2	298	296	295.236855224567	4.76554749834525	0.987904694633363	82.6767055223194
KeioHC_K2	270	273.5	274.746419184982	4.6419723353416	0.98540500045258	68.5166174038516
KeioHC_U	186	187	184.697238114356	4.5725336946824	0.984832386886426	65.9299517011744
KeioHC_121	98	97.2	97.7481789802289	3.60644592987443	0.960194817288003	25.122356735185
KeioHC_122	293	294.5	293.976609418104	4.81220326160392	0.986218357865941	72.560293633561
KeioHC_123	172	174	171.888378524334	4.49440819065387	0.983795596024561	61.7116187374549
KeioHC_124	229	226.2	226.602845326936	4.1755613726646	0.949944639003151	19.9778800928625
KeioHC_126	125	124.25	124.781120926537	3.87683411857169	0.969509355835564	32.7969456665794
KeioHC_2	202	199.6	199.950208292006	4.1798290671954	0.972043817757732	35.7702633118508
KeioHC_3	137	138.111111111111	139.113976346271	3.94948908428109	0.974098264935986	38.6074522625055
KeioHC_4	305	310.666666666667	310.215946423075	4.81107143013644	0.986417896517323	73.6262981117347
IF_169	246	245.142857142857	243.608125912401	4.33262214579765	0.975727976639649	41.1996966694395
IF_170	379	381.928571428571	382.793564913639	4.81381480093022	0.977997316337006	45.4490013725858
IF_171	363	361.333333333333	361.397475494308	5.11454926009771	0.989898932381219	98.9994362715356
KWS_10452	278	276.5	275.661020561204	4.6027079366468	0.9790907930211	47.8258214675059
KWS_10466	254	252.2	252.627228998108	4.5449324501419	0.98359688957822	60.9640473231348
KWS_10480	376	376.066666666667	374.097692729551	4.9638134758661	0.987698598356673	81.2915494505835
KWS_10548	265	272.111111111111	268.322532625477	4.37843003611697	0.974959733761615	39.9356776193966
KWS_10486	374	373	375.154210052252	4.86495899267889	0.987499291168468	79.9954637354342
KWS_10639	586	618.045454545455	593.814975926989	5.20908461563094	0.990093895560011	100.947855542811
KWS_10650	283	287.5	288.927498531798	4.91547070197964	0.987837789384345	82.221894653988
KWS_10919	328	329	328.051690015864	5.10060277095662	0.990916285762143	110.087126676934
KWS_10454	201	200.142857142857	200.200582631196	4.39106691111815	0.979395847808257	48.5339066948245
KWS_10467	244	247	242.055884369699	4.60714264102623	0.978672261130559	46.8872957476446
KWS_10549	573	573.75	571.655288032867	5.56471064551115	0.993561642689854	155.319121295752
KWS_10561	163	164.5	164.076542250907	4.71751391290948	0.988480716518523	86.8109550049703
KWS_10631	507	507.344827586207	508.175902329185	5.01187586137352	0.98402120475837	62.5829410088865
KWS_10641	422	417	416.261955416549	5.15936933439582	0.990980539686265	110.871378687388
KWS_10894	301	301.5	301.481345345345	4.97507562041011	0.99019817953372	102.02186455467
KWS_10920	253	251	250.601056834442	4.30213685705319	0.978897367696947	47.3874531688324
