"","hub_sca"
"ASV_66",1
"ASV_165",1
"ASV_272",1
"ASV_440",1
"ASV_1180",1
"ASV_228",1
"ASV_54",1
"ASV_200",1
"ASV_178",1
"ASV_51",1
