id	groupID	group	Samples
Healthy01	Healthy	Healthy	Healthy01
Healthy02	Healthy	Healthy	Healthy02
Healthy03	Healthy	Healthy	Healthy03
Healthy04	Healthy	Healthy	Healthy04
Healthy05	Healthy	Healthy	Healthy05
Healthy06	Healthy	Healthy	Healthy06
Healthy07	Healthy	Healthy	Healthy07
Healthy08	Healthy	Healthy	Healthy08
Healthy09	Healthy	Healthy	Healthy09
Healthy10	Healthy	Healthy	Healthy10
Healthy11	Healthy	Healthy	Healthy11
Healthy12	Healthy	Healthy	Healthy12
Healthy13	Healthy	Healthy	Healthy13
Healthy14	Healthy	Healthy	Healthy14
Healthy15	Healthy	Healthy	Healthy15
Healthy16	Healthy	Healthy	Healthy16
Healthy17	Healthy	Healthy	Healthy17
Healthy18	Healthy	Healthy	Healthy18
Healthy19	Healthy	Healthy	Healthy19
Healthy20	Healthy	Healthy	Healthy20
