Classify	Species	Healthy01	Healthy02	Healthy03	Healthy04	Healthy05	Healthy06	Healthy07	Healthy08	Healthy09	Healthy10	Healthy11	Healthy12	Healthy13	Healthy14	Healthy15	Healthy16	Healthy17	Healthy18	Healthy19	Healthy20
Species01	Species01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species02	Species02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species03	Species03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species04	Species04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species05	Species05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species06	Species06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species07	Species07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02385	0	0	0	0
Species08	Species08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species09	Species09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01785
Species10	Species10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species11	Species11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species12	Species12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species13	Species13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species14	Species14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species15	Species15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species16	Species16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species17	Species17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species18	Species18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species19	Species19	0	0	0	0	0	0	0	0	0	0	0.02025	0	0	0	0	0	0	0	0	0
Species20	Species20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00647	0	0	0
Species21	Species21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species22	Species22	0	0	0	0	0.00045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species23	Species23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species24	Species24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species25	Species25	0	0	0	0	0.00074	0	0	0	0	0	0	0.00044	0	0.00325	0.00032	0.01587	0	0	0	0
Species26	Species26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species27	Species27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species28	Species28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species29	Species29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species30	Species30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species31	Species31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species32	Species32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species33	Species33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01481	0	0	0	0
Species34	Species34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species35	Species35	0	0	0	0.01719	0	0	0	0	0	0	0	0	0	0.01563	0	0.00451	0	0.00548	0	0
Species36	Species36	0	0	0	0	0.0111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species37	Species37	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00149	0	0	0	0	0	0
Species38	Species38	0	0	0.00475	0.01827	0	0	0	0	0.00593	0	0	0.04342	0	0.01979	0.00838	0.00467	0	0.00637	0.00021	0
Species39	Species39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00059	0	0	0	0	0
Species40	Species40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species41	Species41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species42	Species42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species43	Species43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species44	Species44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species45	Species45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species46	Species46	0	0.02984	0	0	0.07151	0	0.00333	0	0	0	0	0.01401	0.01316	0	0	0	0	0	0	0
Species47	Species47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species48	Species48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species49	Species49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species50	Species50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
