"","class.index","n.dist","Mantel.cor","Pr.Mantel.","Pr.corrected.","Group","property","sig"
"D.cl.1",0.0680663888888888,713,0.0135630256984913,0.009,0.009,"Group1","SOC","significant"
"D.cl.2",0.195359166666667,1021,0.00613519934715195,0.271,0.271,"Group1","SOC","non-significant"
"D.cl.3",0.322651944444445,1915,0.0101258905556005,0.159,0.318,"Group1","SOC","non-significant"
"D.cl.4",0.449944722222222,2073,0.00510824829690172,0.298,0.542,"Group1","SOC","non-significant"
"D.cl.5",0.5772375,4801,0.0143568434068993,0.185,0.636,"Group1","SOC","non-significant"
"D.cl.6",0.704530277777778,10999,0.0445611421396545,0.013,0.065,"Group1","SOC","non-significant"
"D.cl.7",0.831823055555556,14428,0.035969436628099,0.024,0.12,"Group1","SOC","non-significant"
"D.cl.8",0.959115833333334,13741,0.00380929617406724,0.391,0.813,"Group1","SOC","non-significant"
"D.cl.9",1.08640861111111,11199,-0.0180015477440297,0.088,0.528,"Group1","SOC","non-significant"
"D.cl.19",0.0680663888888888,713,0.0170285488143224,0.001,0.001,"Group1","TN","significant"
"D.cl.21",0.195359166666667,1021,0.0153596898662847,0.031,0.031,"Group1","TN","significant"
"D.cl.31",0.322651944444445,1915,0.0225681428757747,0.01,0.02,"Group1","TN","significant"
"D.cl.41",0.449944722222222,2073,0.0104850469194434,0.152,0.152,"Group1","TN","non-significant"
"D.cl.51",0.5772375,4801,0.0187766597879716,0.104,0.208,"Group1","TN","non-significant"
"D.cl.61",0.704530277777778,10999,0.0511609290873163,0.006,0.03,"Group1","TN","significant"
"D.cl.71",0.831823055555556,14428,0.0542863442786464,0.001,0.007,"Group1","TN","significant"
"D.cl.81",0.959115833333334,13741,0.0195951637354766,0.048,0.144,"Group1","TN","non-significant"
"D.cl.91",1.08640861111111,11199,-0.0211663866454371,0.06,0.192,"Group1","TN","non-significant"
"D.cl.110",0.0666322222222221,693,0.0184218514421909,0.002,0.002,"Group2","SOC","significant"
"D.cl.22",0.191056666666667,933,0.0183142013226917,0.011,0.011,"Group2","SOC","significant"
"D.cl.32",0.315481111111111,1847,0.00673382030028113,0.231,0.231,"Group2","SOC","non-significant"
"D.cl.42",0.439905555555555,1857,-0.00502393804426021,0.268,0.462,"Group2","SOC","non-significant"
"D.cl.52",0.56433,4095,0.0186277610581705,0.084,0.252,"Group2","SOC","non-significant"
"D.cl.62",0.688754444444444,9802,0.0242975473762651,0.08,0.32,"Group2","SOC","non-significant"
"D.cl.72",0.813178888888889,13851,0.0133561017737721,0.195,0.585,"Group2","SOC","non-significant"
"D.cl.82",0.937603333333333,13464,0.00424931311870608,0.371,0.78,"Group2","SOC","non-significant"
"D.cl.92",1.06202777777778,11484,-0.00570596014007291,0.309,0.975,"Group2","SOC","non-significant"
"D.cl.191",0.0666322222222221,693,0.0233240475894361,0.001,0.001,"Group2","TN","significant"
"D.cl.211",0.191056666666667,933,0.00849631827765014,0.133,0.133,"Group2","TN","non-significant"
"D.cl.311",0.315481111111111,1847,0.00864248075877661,0.173,0.266,"Group2","TN","non-significant"
"D.cl.411",0.439905555555555,1857,-0.00848924465658602,0.169,0.399,"Group2","TN","non-significant"
"D.cl.511",0.56433,4095,-0.0147835872074598,0.158,0.532,"Group2","TN","non-significant"
"D.cl.611",0.688754444444444,9802,-0.00878890485807697,0.3,0.665,"Group2","TN","non-significant"
"D.cl.711",0.813178888888889,13851,0.0249249307424893,0.076,0.456,"Group2","TN","non-significant"
"D.cl.811",0.937603333333333,13464,0.0247401431569995,0.026,0.182,"Group2","TN","non-significant"
"D.cl.911",1.06202777777778,11484,0.00443289326890181,0.382,0.798,"Group2","TN","non-significant"
"D.cl.113",0.0680663888888888,726,0.0197141088291389,0.001,0.001,"Group3","SOC","significant"
"D.cl.23",0.195359166666667,1021,0.0030449712455754,0.389,0.389,"Group3","SOC","non-significant"
"D.cl.33",0.322651944444445,1928,0.00470667188453776,0.302,0.604,"Group3","SOC","non-significant"
"D.cl.43",0.449944722222222,2085,-0.0106830631544429,0.14,0.42,"Group3","SOC","non-significant"
"D.cl.53",0.5772375,4875,-0.0202579010875148,0.08,0.32,"Group3","SOC","non-significant"
"D.cl.63",0.704530277777778,11176,-0.0108957637084161,0.276,0.828,"Group3","SOC","non-significant"
"D.cl.73",0.831823055555556,14636,0.0243713546575061,0.071,0.426,"Group3","SOC","non-significant"
"D.cl.83",0.959115833333334,13890,0.00945270965641732,0.224,0.896,"Group3","SOC","non-significant"
"D.cl.93",1.08640861111111,11271,0.00266930492984377,0.415,1,"Group3","SOC","non-significant"
"D.cl.192",0.0680663888888888,726,0.00984744453960848,0.061,0.061,"Group3","TN","non-significant"
"D.cl.212",0.195359166666667,1021,-0.00601022432806396,0.246,0.246,"Group3","TN","non-significant"
"D.cl.312",0.322651944444445,1928,-0.00593350367477889,0.273,0.492,"Group3","TN","non-significant"
"D.cl.412",0.449944722222222,2085,-0.00858824054878397,0.206,0.618,"Group3","TN","non-significant"
"D.cl.512",0.5772375,4875,-0.00603167713917825,0.344,0.824,"Group3","TN","non-significant"
"D.cl.612",0.704530277777778,11176,0.00274460565926848,0.416,1,"Group3","TN","non-significant"
"D.cl.712",0.831823055555556,14636,0.0109197811416031,0.26,1,"Group3","TN","non-significant"
"D.cl.812",0.959115833333334,13890,0.0222710798864922,0.044,0.352,"Group3","TN","non-significant"
"D.cl.912",1.08640861111111,11271,0.0142282612749101,0.155,1,"Group3","TN","non-significant"
