,Group,process,n_sites,perc,num
1,Group1,Dispersal Limited,12,80,15
2,Group1,Variable Selection,3,20,15
3,Group2,Dispersal Limited,15,100,15
4,Group3,Dispersal Limited,14,93.3333333333333,15
5,Group3,Variable Selection,1,6.66666666666667,15
