"","ratio","group"
"1",0.387482445581302,"Group1"
"2",0.326500991293854,"Group1"
"3",0.313282177521452,"Group1"
"4",0.336849558460845,"Group1"
"5",0.366041628783746,"Group1"
"6",0.342103570066493,"Group1"
"7",0.341159268929504,"Group1"
"8",0.345039589706677,"Group1"
"9",0.335633574163806,"Group1"
"10",0.415011328256325,"Group1"
"11",0.413820342890073,"Group1"
"12",0.306237980176537,"Group1"
"13",0.446726589663822,"Group1"
"14",0.301714612406123,"Group1"
"15",0.322105047901149,"Group1"
"16",0.521634473850221,"Group2"
"17",0.464420177038388,"Group2"
"18",0.415476378894676,"Group2"
"19",0.428948356654203,"Group2"
"20",0.45230994958248,"Group2"
"21",0.454569351148931,"Group2"
"22",0.330351282411777,"Group2"
"23",0.347188468468468,"Group2"
"24",0.304780075321538,"Group2"
"25",0.498021858217694,"Group2"
"26",0.493172884372914,"Group2"
"27",0.433978837814397,"Group2"
"28",0.547634376403653,"Group2"
"29",0.510785151894029,"Group2"
"30",0.599079874853933,"Group2"
"31",0.348270351456894,"Group3"
"32",0.400301119857276,"Group3"
"33",0.368744335479888,"Group3"
"34",0.350738032958409,"Group3"
"35",0.379794999588588,"Group3"
"36",0.313725410804063,"Group3"
"37",0.419197938401171,"Group3"
"38",0.422274655279012,"Group3"
"39",0.389683924485126,"Group3"
"40",0.359080107379275,"Group3"
"41",0.328477020301531,"Group3"
"42",0.354054025493693,"Group3"
"43",0.408398454699107,"Group3"
"44",0.390251728831268,"Group3"
"45",0.420980275876793,"Group3"
