"","Sample_1","Sample_2","bMNTD","mean_bMNTD","sd_bMNTD","bNTI","Group_1","Group_2","Site1","Site2","RCb"
"1","sample10","sample1",0.00467471616769664,0.00363988900441799,0.00140239355238636,0.737900685237577,"Group2","Group1","sample1","sample10",1
"2","sample11","sample1",0.00745572329520428,0.0061429186362969,0.00238618485058492,0.550168885107781,"Group2","Group1","sample1","sample11",1
"3","sample12","sample1",0.00215031466478024,0.00138230822332857,0.000687716048356058,1.11674933759003,"Group2","Group1","sample1","sample12",1
"4","sample13","sample1",0.00282150351703795,0.00109240910425648,0.000873071962954502,1.98047181234655,"Group3","Group1","sample1","sample13",1
"5","sample14","sample1",0.001703275116456,0.00100702774389023,0.000782750978710312,0.889487706183301,"Group3","Group1","sample1","sample14",1
"6","sample15","sample1",0.000923325169178201,0.000493181944982048,0.000329837855041487,1.30410508563988,"Group3","Group1","sample1","sample15",1
"7","sample16","sample1",0.000941885452676819,0.00073385694931995,0.000447048576085278,0.465337581831792,"Group3","Group1","sample1","sample16",1
"8","sample17","sample1",0.000650436593211516,0.000498723085650218,0.000315166448281147,0.481375820264853,"Group3","Group1","sample1","sample17",1
"9","sample18","sample1",0.000552698375622322,0.000419610618518173,0.000273353350922989,0.48687077240785,"Group3","Group1","sample1","sample18",1
"10","sample2","sample1",0.000373514101520268,0.00050519076293696,0.000264337038539231,-0.498139277584248,"Group1","Group1","sample1","sample2",1
"11","sample3","sample1",0.00248014001414824,0.0013879005252199,0.000691811265519736,1.57881136570936,"Group1","Group1","sample1","sample3",1
"12","sample4","sample1",0.000609264758879353,0.000617972180697001,0.000503641526686224,-0.0172889274538967,"Group1","Group1","sample1","sample4",1
"13","sample5","sample1",0.000225594359391893,0.000322479918847853,0.000226983845671927,-0.4268390077239,"Group1","Group1","sample1","sample5",1
"14","sample6","sample1",0.000232526260994915,0.000356936954925855,0.000150134396070125,-0.82866216661524,"Group1","Group1","sample1","sample6",1
"15","sample7","sample1",0.00374609535377264,0.00315924689739859,0.00115757966950728,0.506961612952168,"Group2","Group1","sample1","sample7",1
"16","sample8","sample1",0.00101089861320591,0.000851488394442146,0.000410627392628155,0.38821136053171,"Group2","Group1","sample1","sample8",1
"17","sample9","sample1",0.00671972330855167,0.00442999503743944,0.00147998631044284,1.54712800716859,"Group2","Group1","sample1","sample9",1
"18","sample11","sample10",0.000625843355000601,0.000801802206323995,0.000578012991882757,-0.304420235867441,"Group2","Group2","sample10","sample11",1
"19","sample12","sample10",0.000992987213197902,0.000931008613072436,0.000640018767958868,0.0968387229067142,"Group2","Group2","sample10","sample12",1
"20","sample13","sample10",0.0049721146941445,0.00329210933449901,0.00111646869353926,1.50474918765505,"Group3","Group2","sample10","sample13",1
"21","sample14","sample10",0.00499118624951616,0.00373221989161917,0.00165020283703756,0.762916127424118,"Group3","Group2","sample10","sample14",1
"22","sample15","sample10",0.00642528042871825,0.00254052843328306,0.000903233207373899,4.30094018213734,"Group3","Group2","sample10","sample15",1
"23","sample16","sample10",0.00482338636697321,0.00283152845397152,0.000957441070158902,2.08039739998945,"Group3","Group2","sample10","sample16",1
"24","sample17","sample10",0.00448575946663819,0.00320482729541784,0.0014383648882429,0.890547441536292,"Group3","Group2","sample10","sample17",1
"25","sample18","sample10",0.00350476955726699,0.00254967830114387,0.000818238915767076,1.16725229968773,"Group3","Group2","sample10","sample18",1
"26","sample2","sample10",0.00641003470322073,0.00483431636657279,0.00158849097388024,0.99195926357636,"Group1","Group2","sample10","sample2",1
"27","sample3","sample10",0.005020597762977,0.00364672157272327,0.00123560209771411,1.11190826949503,"Group1","Group2","sample10","sample3",1
"28","sample4","sample10",0.00625059782971397,0.00377120539835293,0.00152287637120141,1.62809830019558,"Group1","Group2","sample10","sample4",1
"29","sample5","sample10",0.00310519293655984,0.00208512406201199,0.000746171698699642,1.36706990673264,"Group1","Group2","sample10","sample5",1
"30","sample6","sample10",0.00822427757237624,0.00279738153922131,0.000996800627070539,5.44431442534685,"Group1","Group2","sample10","sample6",1
"31","sample7","sample10",0.00215558481600619,0.00315573238277652,0.00107916394278442,-0.926780007298784,"Group2","Group2","sample10","sample7",1
"32","sample8","sample10",0.00109805681985024,0.000820299939936733,0.000299775308720276,0.926550225564733,"Group2","Group2","sample10","sample8",1
"33","sample9","sample10",0.00167960792034276,0.00247373873947224,0.000875565273002076,-0.906992138240732,"Group2","Group2","sample10","sample9",1
"34","sample12","sample11",0.00226450361046969,0.0020065203854727,0.000789176635391967,0.326901752316656,"Group2","Group2","sample11","sample12",1
"35","sample13","sample11",0.0058249404038921,0.00383468505959611,0.0011573619839343,1.71964810657628,"Group3","Group2","sample11","sample13",1
"36","sample14","sample11",0.00721325863242616,0.00473832606745772,0.00233015744685589,1.0621310453969,"Group3","Group2","sample11","sample14",1
"37","sample15","sample11",0.00720249129082634,0.00327336408216655,0.00110968401377404,3.54076219886851,"Group3","Group2","sample11","sample15",1
"38","sample16","sample11",0.0054570342093672,0.00313749840632132,0.000852132527287539,2.72203645415261,"Group3","Group2","sample11","sample16",1
"39","sample17","sample11",0.00628322439636417,0.00383733560483709,0.00213546052633025,1.14536829942265,"Group3","Group2","sample11","sample17",1
"40","sample18","sample11",0.00483798574498472,0.00298518394909304,0.000788348679692367,2.35023136794582,"Group3","Group2","sample11","sample18",1
"41","sample2","sample11",0.00838854246472952,0.0060527586951589,0.00163022125008931,1.43280169452008,"Group1","Group2","sample11","sample2",1
"42","sample3","sample11",0.00778376603355534,0.0042863890084222,0.00143782850102038,2.43240207204904,"Group1","Group2","sample11","sample3",1
"43","sample4","sample11",0.00688679449019634,0.00477357748161397,0.00216806150337027,0.974703441437136,"Group1","Group2","sample11","sample4",1
"44","sample5","sample11",0.00411832450180857,0.00286647710588487,0.00101138927486251,1.23775031734827,"Group1","Group2","sample11","sample5",1
"45","sample6","sample11",0.00984849461432709,0.00440601998838777,0.00135925850745856,4.00400262060175,"Group1","Group2","sample11","sample6",1
"46","sample7","sample11",0.00406745979097983,0.00493331860893474,0.00151758180271508,-0.57055166081052,"Group2","Group2","sample11","sample7",1
"47","sample8","sample11",0.00211607279667917,0.00222734645826938,0.00126526549891424,-0.0879449109184564,"Group2","Group2","sample11","sample8",1
"48","sample9","sample11",0.00316434110596495,0.00386685380534163,0.00126702515315746,-0.554458368585654,"Group2","Group2","sample11","sample9",1
"49","sample13","sample12",0.00141427743890231,0.00102121838469855,0.000643000227891622,0.611289136696871,"Group3","Group2","sample12","sample13",1
"50","sample14","sample12",0.00176062425755129,0.00158449036718677,0.00108054760354901,0.163004285776965,"Group3","Group2","sample12","sample14",1
"51","sample15","sample12",0.00136180289905367,0.00068635803045875,0.000373930569838383,1.80633765484019,"Group3","Group2","sample12","sample15",1
"52","sample16","sample12",0.00131496322793342,0.000948890647482014,0.000571246086985819,0.640831663955882,"Group3","Group2","sample12","sample16",1
"53","sample17","sample12",0.00140314704822413,0.00118737766647535,0.000694280907898332,0.310781096374858,"Group3","Group2","sample12","sample17",1
"54","sample18","sample12",0.00101580224503143,0.000752299223849121,0.000423069778047849,0.62283584140229,"Group3","Group2","sample12","sample18",1
"55","sample2","sample12",0.00271289164586698,0.00216123537793142,0.000872005017143528,0.632629694887132,"Group1","Group2","sample12","sample2",1
"56","sample3","sample12",0.00278901636390331,0.0018885684254081,0.000711857035464994,1.2649280594762,"Group1","Group2","sample12","sample3",1
"57","sample4","sample12",0.00277222027201986,0.00200301958729862,0.000957055336459046,0.803715997830555,"Group1","Group2","sample12","sample4",1
"58","sample5","sample12",0.00112449680329948,0.00109307842260514,0.000829565350162981,0.0378733039996894,"Group1","Group2","sample12","sample5",1
"59","sample6","sample12",0.001879492265186,0.00137269009423259,0.000631250524625809,0.802854257038163,"Group1","Group2","sample12","sample6",1
"60","sample7","sample12",0.00104203247420616,0.00147733066763658,0.000595944772593668,-0.730433780861791,"Group2","Group2","sample12","sample7",1
"61","sample8","sample12",7.45603368881889e-05,0.000113319728780983,6.29666185817566e-05,-0.615554602832421,"Group2","Group2","sample12","sample8",1
"62","sample9","sample12",0.00308204542117697,0.00216284326290359,0.000562952661615552,1.63282318558628,"Group2","Group2","sample12","sample9",1
"63","sample14","sample13",0.000458543732731811,0.000185782292681625,0.000155682533619934,1.75203623494512,"Group3","Group3","sample13","sample14",1
"64","sample15","sample13",1.14897024866192e-05,4.46092410672575e-05,5.81044213305705e-05,-0.570000317053551,"Group3","Group3","sample13","sample15",1
"65","sample16","sample13",7.27252038814218e-05,0.000100103336848147,9.9820532975516e-05,-0.274273560264803,"Group3","Group3","sample13","sample16",1
"66","sample17","sample13",0.00015252205656625,0.000217411992632239,0.000194846403621896,-0.333031222849307,"Group3","Group3","sample13","sample17",1
"67","sample18","sample13",2.5515943460445e-05,2.39201625712417e-05,2.28084408161954e-05,0.069964488237626,"Group3","Group3","sample13","sample18",1
"68","sample2","sample13",0.00310879159381215,0.00168197167549819,0.00107962861803762,1.32158400997873,"Group1","Group3","sample13","sample2",1
"69","sample3","sample13",0.00284123163065095,0.00110118755021956,0.000776705242238863,2.24028883262805,"Group1","Group3","sample13","sample3",1
"70","sample4","sample13",0.00264644338703434,0.00106427044086438,0.000850871980733339,1.85947237891926,"Group1","Group3","sample13","sample4",1
"71","sample5","sample13",0.00202293475794504,0.00033402686296232,0.000506355674055113,3.33541812903412,"Group1","Group3","sample13","sample5",1
"72","sample6","sample13",0.00348885899814471,0.00185849159247741,0.000938724235006436,1.73679057690049,"Group1","Group3","sample13","sample6",1
"73","sample7","sample13",0.00323952723535457,0.00342346014535311,0.000962295218887529,-0.191139794096836,"Group2","Group3","sample13","sample7",1
"74","sample8","sample13",0.00118983836307577,0.000881905483776244,0.000347773640446825,0.885440538000212,"Group2","Group3","sample13","sample8",1
"75","sample9","sample13",0.0105832695105511,0.00534395192002242,0.00117206686777206,4.47015245852647,"Group2","Group3","sample13","sample9",1
"76","sample15","sample14",0.000508320430853833,0.000394477519654036,0.000359318852081501,0.316829775393959,"Group3","Group3","sample14","sample15",1
"77","sample16","sample14",0.000310046582400128,0.000146373383297073,0.000103110490440647,1.58735739112084,"Group3","Group3","sample14","sample16",1
"78","sample17","sample14",0.000178910185395283,3.28496983489275e-05,2.4420072937112e-05,5.98116506132062,"Group3","Group3","sample14","sample17",1
"79","sample18","sample14",0.000154245538634028,6.63450307657399e-05,5.10743414891526e-05,1.72103066442778,"Group3","Group3","sample14","sample18",1
"80","sample2","sample14",0.0040740689526301,0.00187586700124131,0.0011120724787844,1.97667147899536,"Group1","Group3","sample14","sample2",1
"81","sample3","sample14",0.00139126226291694,0.000770533905046649,0.000377232570293344,1.64547922621739,"Group1","Group3","sample14","sample3",1
"82","sample4","sample14",0.00119276764858985,0.000993074467105351,0.000825756437035211,0.241830608310453,"Group1","Group3","sample14","sample4",1
"83","sample5","sample14",0.000638742675618318,0.000262495760200745,0.000263689478195459,1.42685600499646,"Group1","Group3","sample14","sample5",1
"84","sample6","sample14",0.00219194277972798,0.00278464808197969,0.00210219095006056,-0.281946462682008,"Group1","Group3","sample14","sample6",1
"85","sample7","sample14",0.00323631685375262,0.0039307407489222,0.0012975981922923,-0.535160960684468,"Group2","Group3","sample14","sample7",1
"86","sample8","sample14",0.00150891485698269,0.00129091792087666,0.000541783961669276,0.402368751253483,"Group2","Group3","sample14","sample8",1
"87","sample9","sample14",0.00798331462473806,0.00539082792408003,0.00133216096246577,1.94607616774737,"Group2","Group3","sample14","sample9",1
"88","sample16","sample15",7.90106912614621e-05,0.000172973771706197,0.000196495352341749,-0.478194925859175,"Group3","Group3","sample15","sample16",1
"89","sample17","sample15",0.000112211329266828,0.000392442393988334,0.000399066755334668,-0.702216010167264,"Group3","Group3","sample15","sample17",1
"90","sample18","sample15",4.60051253987534e-05,0.000210300312996356,0.000284680578637638,-0.577121166409913,"Group3","Group3","sample15","sample18",1
"91","sample2","sample15",0.00132502148930206,0.00140324098784053,0.0008964716905121,-0.0872526141832527,"Group1","Group3","sample15","sample2",1
"92","sample3","sample15",0.00238682045087492,0.000812172497697575,0.000456385654729667,3.45025733578341,"Group1","Group3","sample15","sample3",1
"93","sample4","sample15",0.000379856582266654,0.00029553512833518,0.00023915900469946,0.352574865568777,"Group1","Group3","sample15","sample4",1
"94","sample5","sample15",0.000144679929525767,4.21632739819276e-05,4.05022305629494e-05,2.5311360416189,"Group1","Group3","sample15","sample5",1
"95","sample6","sample15",0.00139469507881635,0.0011329893667997,0.000541836728735196,0.482997364589061,"Group1","Group3","sample15","sample6",1
"96","sample7","sample15",0.0030981649337302,0.00277333627020462,0.000806190736647499,0.402917881289932,"Group2","Group3","sample15","sample7",1
"97","sample8","sample15",0.00128765739912708,0.000762209999866526,0.000351216252437867,1.49607939727536,"Group2","Group3","sample15","sample8",1
"98","sample9","sample15",0.0112817361620907,0.00489689780502129,0.00116886322833185,5.46243410033663,"Group2","Group3","sample15","sample9",1
"99","sample17","sample16",9.11166428638166e-05,0.000129196925428118,9.20777166907051e-05,-0.41356675570285,"Group3","Group3","sample16","sample17",1
"100","sample18","sample16",9.28228400581946e-05,8.40779727980139e-05,8.63387697862937e-05,0.101285520766929,"Group3","Group3","sample16","sample18",1
