Well numbers	ASV number
100	92
100	91
100	92
100	97
100	99
100	97
100	92
100	114
100	97
100	92
100	96
100	99
100	95
100	92
100	94
100	96
100	94
100	94
100	99
100	92
100	91
100	99
100	94
100	92
100	112
100	99
100	111
100	95
100	91
100	95
200	122
200	148
200	122
200	121
200	157
200	125
200	124
200	129
200	127
200	145
200	125
200	128
200	122
200	125
200	121
200	129
200	121
200	125
200	121
200	128
200	121
200	141
200	142
200	122
200	145
200	127
200	145
200	152
200	122
200	152
300	159
300	183
300	181
300	189
300	155
300	143
300	185
300	181
300	159
300	181
300	159
300	154
300	183
300	180
300	153
300	151
300	150
300	188
300	159
300	155
300	183
300	180
300	180
300	158
300	154
300	154
300	184
300	158
300	159
300	153
400	219
400	211
400	185
400	211
400	193
400	215
400	198
400	213
400	215
400	191
400	217
400	211
400	191
400	185
400	187
400	187
400	187
400	194
400	195
400	187
400	211
400	187
400	211
400	191
400	198
400	197
400	224
400	215
400	199
400	192
500	222
500	224
500	208
500	224
500	226
500	220
500	228
500	252
500	228
500	224
500	226
500	222
500	227
500	222
500	224
500	220
500	225
500	224
500	222
500	222
500	240
500	228
500	224
500	242
500	202
500	226
500	226
500	220
500	229
500	208
600	245
600	245
600	227
600	220
600	242
600	221
600	240
600	221
600	229
600	255
600	224
600	255
600	225
600	242
600	222
600	229
600	229
600	241
600	227
600	225
600	250
600	252
600	252
600	241
600	247
600	229
600	240
600	252
600	224
600	249
700	251
700	262
700	270
700	258
700	255
700	251
700	263
700	258
700	253
700	260
700	262
700	273
700	256
700	239
700	253
700	267
700	252
700	253
700	250
700	238
700	263
700	259
700	230
700	256
700	262
700	258
700	263
700	263
700	253
700	251
800	281
800	269
800	281
800	267
800	271
800	261
800	278
800	263
800	268
800	276
800	279
800	276
800	262
800	291
800	276
800	248
800	281
800	272
800	278
800	279
800	281
800	274
800	276
800	272
800	281
800	283
800	269
800	276
800	266
800	266
900	281
900	283
900	281
900	285
900	273
900	287
900	271
900	281
900	277
900	288
900	283
900	282
900	277
900	283
900	282
900	284
900	288
900	275
900	311
900	272
900	283
900	287
900	282
900	273
900	287
900	283
900	281
900	281
900	288
900	284
1000	312
1000	299
1000	292
1000	292
1000	299
1000	293
1000	298
1000	314
1000	311
1000	299
1000	292
1000	299
1000	287
1000	292
1000	293
1000	312
1000	299
1000	316
1000	296
1000	311
1000	292
1000	311
1000	312
1000	294
1000	313
1000	312
1000	312
1000	311
1000	291
1000	292
1100	317
1100	322
1100	317
1100	317
1100	311
1100	311
1100	314
1100	319
1100	319
1100	311
1100	315
1100	318
1100	311
1100	317
1100	319
1100	315
1100	314
1100	315
1100	315
1100	323
1100	319
1100	319
1100	311
1100	315
1100	319
1100	297
1100	318
1100	317
1100	315
1100	319
1200	311
1200	334
1200	313
1200	318
1200	337
1200	333
1200	318
1200	319
1200	317
1200	331
1200	314
1200	333
1200	319
1200	315
1200	317
1200	333
1200	319
1200	335
1200	318
1200	337
1200	331
1200	311
1200	311
1200	331
1200	334
1200	333
1200	338
1200	314
1200	313
1200	314
1300	335
1300	331
1300	331
1300	337
1300	335
1300	338
1300	333
1300	317
1300	338
1300	331
1300	333
1300	331
1300	336
1300	333
1300	334
1300	319
1300	335
1300	333
1300	333
1300	331
1300	337
1300	339
1300	333
1300	334
1300	341
1300	338
1300	335
1300	337
1300	318
1300	335
1400	334
1400	331
1400	336
1400	344
1400	331
1400	339
1400	348
1400	333
1400	345
1400	344
1400	344
1400	343
1400	341
1400	334
1400	336
1400	338
1400	345
1400	343
1400	344
1400	334
1400	346
1400	335
1400	341
1400	338
1400	338
1400	333
1400	334
1400	341
1400	348
1400	332
1500	333
1500	333
1500	335
1500	338
1500	353
1500	333
1500	332
1500	335
1500	351
1500	351
1500	331
1500	335
1500	331
1500	355
1500	338
1500	353
1500	332
1500	338
1500	336
1500	339
1500	337
1500	333
1500	336
1500	331
1500	338
1500	338
1500	335
1500	338
1500	336
1500	331
1600	351
1600	359
1600	353
1600	345
1600	349
1600	357
1600	353
1600	353
1600	354
1600	344
1600	347
1600	357
1600	348
1600	351
1600	354
1600	349
1600	345
1600	353
1600	357
1600	352
1600	355
1600	351
1600	355
1600	358
1600	357
1600	349
1600	359
1600	355
1600	357
1600	351
1700	369
1700	363
1700	367
1700	362
1700	361
1700	362
1700	362
1700	368
1700	372
1700	362
1700	361
1700	366
1700	361
1700	364
1700	369
1700	366
1700	362
1700	368
1700	361
1700	369
1700	364
1700	366
1700	362
1700	361
1700	362
1700	366
1700	363
1700	361
1700	363
1700	369
1800	367
1800	369
1800	363
1800	366
1800	369
1800	361
1800	366
1800	371
1800	371
1800	366
1800	366
1800	368
1800	361
1800	363
1800	368
1800	366
1800	368
1800	368
1800	362
1800	371
1800	366
1800	371
1800	372
1800	363
1800	372
1800	371
1800	371
1800	367
1800	364
1800	364
1900	370
1900	376
1900	368
1900	368
1900	373
1900	370
1900	368
1900	370
1900	378
1900	369
1900	367
1900	366
1900	367
1900	370
1900	374
1900	369
1900	370
1900	370
1900	366
1900	377
1900	369
1900	370
1900	369
1900	370
1900	370
1900	370
1900	370
1900	373
1900	368
1900	368
2000	377
2000	377
2000	377
2000	379
2000	371
2000	377
2000	377
2000	370
2000	375
2000	377
2000	375
2000	377
2000	378
2000	377
2000	380
2000	377
2000	378
2000	378
2000	373
2000	377
2000	378
2000	378
2000	375
2000	380
2000	379
2000	371
2000	379
2000	377
2000	377
2000	377
