Sample	readssum	SampleID	library	plate	well	well2	row	num
L1P01A12	0	L1P01A12	L1	Plate01	Negative	Negative	A	12
L1P02A12	2	L1P02A12	L1	Plate02	Negative	Negative	A	12
L1P03A12	0	L1P03A12	L1	Plate03	Negative	Negative	A	12
L1P04A12	1	L1P04A12	L1	Plate04	Negative	Negative	A	12
L1P05A12	3	L1P05A12	L1	Plate05	Negative	Negative	A	12
L1P06A12	0	L1P06A12	L1	Plate06	Negative	Negative	A	12
L1P07A12	14	L1P07A12	L1	Plate07	Negative	Negative	A	12
L1P08A12	0	L1P08A12	L1	Plate08	Negative	Negative	A	12
L1P09A12	0	L1P09A12	L1	Plate09	Negative	Negative	A	12
L1P10A12	0	L1P10A12	L1	Plate10	Negative	Negative	A	12
L1P11A12	0	L1P11A12	L1	Plate11	Negative	Negative	A	12
L1P12A12	11	L1P12A12	L1	Plate12	Negative	Negative	A	12
L1P13A12	0	L1P13A12	L1	Plate13	Negative	Negative	A	12
L1P14A12	12	L1P14A12	L1	Plate14	Negative	Negative	A	12
L1P15A12	0	L1P15A12	L1	Plate15	Negative	Negative	A	12
L1P16A12	0	L1P16A12	L1	Plate16	Negative	Negative	A	12
L1P17A12	0	L1P17A12	L1	Plate17	Negative	Negative	A	12
L1P18A12	2	L1P18A12	L1	Plate18	Negative	Negative	A	12
L1P19A12	0	L1P19A12	L1	Plate19	Negative	Negative	A	12
L1P20A12	0	L1P20A12	L1	Plate20	Negative	Negative	A	12
L1P21A12	0	L1P21A12	L1	Plate21	Negative	Negative	A	12
L1P22A12	0	L1P22A12	L1	Plate22	Negative	Negative	A	12
L1P23A12	0	L1P23A12	L1	Plate23	Negative	Negative	A	12
L1P24A12	0	L1P24A12	L1	Plate24	Negative	Negative	A	12
L1P25A12	0	L1P25A12	L1	Plate25	Negative	Negative	A	12
L1P26A12	0	L1P26A12	L1	Plate26	Negative	Negative	A	12
L1P27A12	0	L1P27A12	L1	Plate27	Negative	Negative	A	12
L1P28A12	0	L1P28A12	L1	Plate28	Negative	Negative	A	12
L1P29A12	0	L1P29A12	L1	Plate29	Negative	Negative	A	12
L1P30A12	0	L1P30A12	L1	Plate30	Negative	Negative	A	12
L1P31A12	11	L1P31A12	L1	Plate31	Negative	Negative	A	12
L1P32A12	12	L1P32A12	L1	Plate32	Negative	Negative	A	12
L1P33A12	0	L1P33A12	L1	Plate33	Negative	Negative	A	12
L1P34A12	0	L1P34A12	L1	Plate34	Negative	Negative	A	12
L1P35A12	1	L1P35A12	L1	Plate35	Negative	Negative	A	12
L1P36A12	2	L1P36A12	L1	Plate36	Negative	Negative	A	12
L1P37A12	0	L1P37A12	L1	Plate37	Negative	Negative	A	12
L1P38A12	6	L1P38A12	L1	Plate38	Negative	Negative	A	12
L1P39A12	0	L1P39A12	L1	Plate39	Negative	Negative	A	12
L1P40A12	11	L1P40A12	L1	Plate40	Negative	Negative	A	12
L1P41A12	1	L1P41A12	L1	Plate41	Negative	Negative	A	12
L1P42A12	0	L1P42A12	L1	Plate42	Negative	Negative	A	12
L1P43A12	0	L1P43A12	L1	Plate43	Negative	Negative	A	12
L1P44A12	0	L1P44A12	L1	Plate44	Negative	Negative	A	12
L1P45A12	0	L1P45A12	L1	Plate45	Negative	Negative	A	12
L1P01B12	89	L1P01B12	L1	Plate01	Positive	Positive	B	12
L1P02B12	414	L1P02B12	L1	Plate02	Positive	Positive	B	12
L1P03B12	441	L1P03B12	L1	Plate03	Positive	Positive	B	12
L1P04B12	114	L1P04B12	L1	Plate04	Positive	Positive	B	12
L1P05B12	111	L1P05B12	L1	Plate05	Positive	Positive	B	12
L1P06B12	121	L1P06B12	L1	Plate06	Positive	Positive	B	12
L1P07B12	161	L1P07B12	L1	Plate07	Positive	Positive	B	12
L1P08B12	229	L1P08B12	L1	Plate08	Positive	Positive	B	12
L1P09B12	146	L1P09B12	L1	Plate09	Positive	Positive	B	12
L1P10B12	141	L1P10B12	L1	Plate10	Positive	Positive	B	12
L1P11B12	144	L1P11B12	L1	Plate11	Positive	Positive	B	12
L1P12B12	119	L1P12B12	L1	Plate12	Positive	Positive	B	12
L1P13B12	1841	L1P13B12	L1	Plate13	Positive	Positive	B	12
L1P14B12	719	L1P14B12	L1	Plate14	Positive	Positive	B	12
L1P15B12	119	L1P15B12	L1	Plate15	Positive	Positive	B	12
L1P16B12	227	L1P16B12	L1	Plate16	Positive	Positive	B	12
L1P17B12	487	L1P17B12	L1	Plate17	Positive	Positive	B	12
L1P18B12	712	L1P18B12	L1	Plate18	Positive	Positive	B	12
L1P19B12	611	L1P19B12	L1	Plate19	Positive	Positive	B	12
L1P20B12	491	L1P20B12	L1	Plate20	Positive	Positive	B	12
L1P21B12	916	L1P21B12	L1	Plate21	Positive	Positive	B	12
L1P22B12	471	L1P22B12	L1	Plate22	Positive	Positive	B	12
L1P23B12	814	L1P23B12	L1	Plate23	Positive	Positive	B	12
L1P24B12	471	L1P24B12	L1	Plate24	Positive	Positive	B	12
L1P25B12	1114	L1P25B12	L1	Plate25	Positive	Positive	B	12
L1P26B12	21	L1P26B12	L1	Plate26	Positive	Positive	B	12
L1P27B12	787	L1P27B12	L1	Plate27	Positive	Positive	B	12
L1P28B12	414	L1P28B12	L1	Plate28	Positive	Positive	B	12
L1P29B12	484	L1P29B12	L1	Plate29	Positive	Positive	B	12
L1P30B12	782	L1P30B12	L1	Plate30	Positive	Positive	B	12
