gl	count	Percentage	color	Purity
100	897	44.3	blue	100
95	681	33.63	blue	95
90	92	4.54	blue	90
85	55	2.72	blue	85
80	43	2.12	blue	80
75	47	2.32	blue	75
70	34	1.68	blue	70
65	31	1.53	blue	65
60	35	1.73	blue	60
55	30	1.48	blue	55
50	42	2.07	blue	50
45	11	0.54	blue	45
40	7	0.35	blue	40
35	8	0.40 	blue	35
30	2	0.10 	blue	30
25	3	0.15	blue	25
20	2	0.10 	blue	20
15	4	0.20 	blue	15
10	1	0.05	blue	10
5	0	0	blue	5
0	0	0	blue	0
