group	Count
Plate01	24301
Plate02	14279
Plate03	13720
Plate04	22476
Plate05	21750
Plate06	24902
Plate07	21882
Plate08	23132
Plate09	18840
Plate10	23425
Plate11	19979
Plate12	13240
Plate13	29957
Plate14	12484
Plate15	16272
Plate16	26089
Plate17	22238
Plate18	19536
Plate19	19678
Plate20	22493
Plate21	16569
Plate22	25975
Plate23	15224
Plate24	19072
Plate25	22839
Plate26	23402
Plate27	18099
Plate28	19547
Plate29	17098
Plate30	23369
Plate31	19275
Plate32	26999
Plate33	19775
Plate34	16665
Plate35	25776
Plate36	25725
Plate37	17446
Plate38	23242
Plate39	15674
Plate40	18847
Plate41	19843
Plate42	19706
Plate43	20669
Plate44	16444
Plate45	23394
