Wavelength	Amplitude_1	Amplitude_2	Amplitude_3	Amplitude_4	Amplitude_5	Amplitude_6	Amplitude_7
885	322.9643333	243.352	20.2355	1.31	-16.484	-2.892	1.518
886	319.5496667	250.079	27.1	12.411	-14.736	9.357	4.185333333
887	313.918	266.996	26.2525	0.766	-12.958	-3.419	-3.302666667
888	308.667	283.877	27.155	2.258	4.588	7.006	-10.146
889	300.8446667	294.4245	33.008	5.246	-21.828	-7.141	-3.704
890	292.776	307.2095	34.2255	7.486	-2.058	4.189	3.826
891	288.2973333	322.632	42.903	5.963	6.208	-3.014	1.142666667
892	280.2793333	336.3485	42.381	-0.464	14.87	0.533	-1.693333333
893	273.0433333	346.4415	49.637	4.163	23.736	0.011	0.37
894	263.539	363.7815	54.3705	3.171	-2.196	4.421	-2.736
895	256.3736667	374.237	56.9195	5.081	-3.946	4.146	4.863333333
896	241.106	389.487	61.107	3.372	16.338	0.597	-1.538
897	233.5793333	399.4155	68.772	0.599	-3.764	3.371	-1.221333333
898	228.0383333	410.6715	74.0255	7.442	8.978	5.101	-3.341333333
899	217.1686667	421.5455	80.9345	1.819	4.018	2.951	3.327333333
900	208.0776667	429.5655	86.4475	11.155	0.984	-7.099	2.582666667
901	196.6796667	442.8135	95.128	10.87	5.06	-3.306	-1.978
902	189.3326667	447.5305	100.2885	10.638	26.036	-0.475	1.191333333
903	175.7516667	459.346	110.1795	14.765	5.21	4.977	5.669333333
904	170.294	466.506	117.8565	14.435	-1.928	-10.09	-0.428666667
905	156.9596667	475.336	124.3025	11.904	2.328	2.578	-3.752
906	150.3346667	476.494	134.146	21.553	7.832	-2.349	3.938666667
907	139.1963333	479.482	145.241	27.272	18.832	-1.739	2.487333333
908	134.1006667	483.3015	151.865	14.341	2.128	1.159	0.912666667
909	125.4936667	489.523	165.5195	28.323	11.572	-4.563	8.406666667
910	115.42	489.517	176.113	31.374	-6.806	-1.192	4.240666667
911	104.2666667	493.3645	185.7175	36.016	5.3	-9.831	5.906
912	98.722	492.6145	201.41	34.579	-8.406	2.006	-1.661333333
913	89.51866667	488.9895	214.176	40.02	3.36	-8.487	4.152666667
914	85.72766667	486.8705	221.003	29.494	1.888	3.108	2.163333333
915	78.68033333	481.131	233.922	44.262	10.888	0.738	-2.202
916	71.56933333	474.4055	247.7195	48.159	-5.3	1.191	2.362666667
917	64.885	475.13	255.093	63.982	11.086	-4.198	2.357333333
918	58.92233333	465.058	275.8855	55.632	4.972	3.106	-2.16
919	52.492	458.2535	283.8775	67.451	8.19	2.852	-1.056
920	48.659	450.647	296.6835	72.345	18.786	-2.628	-2.654
921	47.81366667	437.858	305.1625	86.665	18.202	2.296	-1.692
922	39.359	427.92	322.1145	91.592	10.65	4.844	-3.176
923	37.44833333	419.985	334.6485	90.601	2.278	-2.461	-3.256666667
