Wavelength	Amplitude_1	Amplitude_2	Amplitude_3	Amplitude_4	Amplitude_5	Amplitude_6	Amplitude_7
1177	-1.862333333	-1.336	2.459	-2.383	-1.084	-4.613	-0.042
1178	0.673666667	0.353	-1.8665	-9.351	-6.044	-7.665	4.522
1179	0.664333333	-0.3685	2.598	2.7	-3.508	-3.274	-2.968666667
1180	0.521666667	-0.7785	1.298	2.369	7.45	-3.428	2.836666667
1181	-0.659666667	-1.6915	-0.309	-1.382	15.134	-3.362	0.712666667
1182	1.526666667	-1.182	-1.4585	-4.888	-16.812	-10.68	3.626
1183	0.202	-3.6855	1.786	-3.235	11.462	-2.021	-0.276666667
1184	-1.167	-0.8825	2.9765	-11.04	-24.108	-12.031	6.179333333
1185	-1.348333333	-0.1685	0.1	-4.074	13.81	-3.242	-1.536666667
1186	-2.007333333	3.138	0.9135	-2.128	-2.468	-1.402	0.598
1187	1.317333333	1.434	-0.7925	7.416	-10.44	3.53	-3.504
1188	-1.373666667	0.71	1.4815	0.404	-4.63	1.937	4.216666667
1189	-1.434333333	-0.0215	2.329	12.997	-6.742	6.365	-0.08
1190	-0.119666667	0.215	2.435	7.269	-3.776	0.773	-1.164666667
1191	0.397333333	-0.336	-0.481	6.408	-3.054	-4.433	3.970666667
1192	1.746	1.041	-0.956	-11.311	-6.788	2.068	2.998
1193	3.019	1.1815	1.3965	3.415	7.812	6.012	0.105333333
1194	-0.839666667	2.6285	-1.1795	4.261	-0.592	-0.392	5.990666667
1195	-0.183	-3.1755	-1.684	1.324	-5.98	-1.265	-1.56
1196	0.112666667	0.6395	-0.5425	-5.58	25.232	-3.57	-1.144
1197	1.372666667	2.8825	-0.082	-4.599	15.12	-7.676	-5.441333333
1198	-3.462	0.8315	-1.8165	-2.048	-11.072	-3.651	2.570666667
1199	-1.828333333	-4.92	-1.6935	-2.526	-7.356	5.666	-3.014
1200	-1.744333333	0.245	1.4705	-10.373	7.112	-3.144	-0.298666667
1201	-2.940666667	2.015	-0.4415	0.928	3.396	6.128	-2.940666667
1202	-1.196333333	-4.376	-1.03	-5.923	15.536	-5.818	2.46
1203	1.087	5.465	2.17	3.513	-2.658	-1.661	-4.4
1204	-0.101333333	-0.1125	2.994	6.19	-0.35	-4.189	1.772
1205	-0.872	-1.203	-2.1615	12.904	2.704	5.496	1.63
1206	0.331	1.398	-0.239	5.19	-5.346	3.788	-0.385333333
1207	2.772666667	-2.056	-0.8405	3.936	-3.42	0.966	3.960666667
1208	-2.76	-0.915	1.3785	1.661	1.908	-3.515	2.503333333
1209	-0.543	-1.275	3.8425	6.201	-10.14	-4.305	-5.842
1210	1.200333333	1.413	-1.184	-0.577	-21.068	-2.136	-3.542
1211	-2.276666667	-0.916	-2.588	2.898	3.584	2.038	4.178666667
1212	0.231	2.1245	-0.843	-11.019	5.026	-4.611	2.026666667
1213	-0.562333333	3.714	-1.2895	-13.392	-4.704	-4.249	-0.417333333
1214	0.192	1.6575	-0.0295	0.417	18.6	2.789	-1.618666667
1215	3.346666667	-2.413	1.827	3.695	1.466	4.937	-1.734
1216	1.643666667	2.7795	0.3775	2.412	4.674	6.942	2.294666667
1217	0.022666667	-6.2565	1.641	2.009	-4.47	-0.483	-1.246666667
1218	-1.74	2.8085	-0.506	0.624	-14.71	-4.878	-2.832666667
1219	0.022666667	-1.357	4.522	7.279	-0.336	-1.913	0.572
1220	0.749333333	-2.7035	-1.5115	-0.5	4.464	1.047	-3.510666667
1221	0.364666667	-0.396	-0.797	0.65	-17.346	3.244	2.429333333
1222	1.417333333	-0.4715	-5.443	-7.91	13.936	-4.563	-1.554666667
1223	-1.446	-1.656	1.819	-4.229	13.776	3.402	8.616666667
1224	0.83	-0.13	2.061	0.143	7.15	0.667	4.091333333
1225	1.075	-0.3785	1.2805	1.433	-13.372	-1.131	-2.623333333
1226	1.570666667	0.279	3.448	-0.815	7.866	-4.53	-1.327333333
1227	-1.638666667	0.9975	-1.389	10.334	5.864	6.078	-4.586
1228	-0.858	2.168	0.3005	-5.903	10.018	2.738	-6.388666667
1229	1.910333333	0.499	2.835	6.588	-3.312	5.114	5.562
1230	-3.116333333	1.638	-1.9845	3.099	-2.344	1.056	-3.179333333
1231	-1.521333333	-2.005	0.5115	2.673	-5.65	4.687	-4.965333333
1232	3.598333333	1.049	2.561	0.382	-1.89	-1.968	2.626
1233	-1.124666667	2.262	0.421	6.467	13.036	9.045	0.751333333
1234	-1.064666667	-0.0745	0.8595	2.661	3.266	6.692	5.258
1235	-1.735333333	0.9685	0.6035	-5.659	12.852	-1.777	0.962
1236	-0.109666667	1.7285	-0.4575	5.434	-17.56	9.351	1.977333333
1237	-0.421333333	1.0825	-1.5785	2.6	1.176	-3.332	-1.665333333
1238	-0.391	3.9685	0.819	-4.978	14.6	-1.117	1.337333333
1239	3.006333333	5.1345	4.114	-6.334	18.836	-2.317	0.968
1240	-2.101333333	-0.255	4.119	2.774	3.224	10.473	-1.003333333
1241	-0.894	2.77	2.485	0.336	-13.9	8.607	0.950666667
1242	0.064666667	1.2205	-1.6145	1.627	-1.292	-9.18	0.978666667
1243	1.922666667	0.7515	4.54	4.04	-12.396	-3.398	2.418
1244	-1.529333333	0.595	1.483	-5.504	-16.098	5.807	-1.096666667
1245	-1.487333333	1.3555	3.948	7.376	-19.708	4.784	-3.328
1246	0.702333333	0.099	-1.2985	-5.975	11.208	-5.29	-2.458666667
1247	-2.275	0.105	-0.0275	-0.667	-8.716	4.256	-0.733333333
1248	-0.666	1.7435	-2.06	-2.693	4.558	-2.821	1.201333333
1249	3.692	-0.6765	-1.8105	0.005	3.78	-5.252	-1.994666667
1250	-0.601	0.453	3.0675	-2.464	5.578	13.4	1.930666667
1251	0.957333333	-2.4525	-0.252	5.613	12.408	1.224	2.934666667
1252	0.293666667	-3.562	1.965	10.523	6.83	-10.928	-1.799333333
1253	1.763333333	0.412	-2.3745	-0.118	8.168	2.495	-3.867333333
1254	0.59	4.189	1.4765	-9.387	-8.714	7.25	-4.027333333
1255	-0.533666667	-1.107	1.2365	4.882	4.096	-1.781	2.594666667
1256	-1.618333333	0.8595	-0.861	6.591	10.73	0.312	1.389333333
1257	-3.347	-0.3575	0.3385	-0.373	-11.774	-4.247	-1.188
1258	0.553	-3.8185	2.0005	-0.831	5.96	-5.955	1.570666667
1259	-2.261333333	0.3225	-4.2335	-1.089	1.1	-2.145	1.78
1260	-2.107	-1.788	3.67	-10.177	-14.452	9.107	-4.966666667
1261	3.348333333	0.128	-4.787	0.109	-2.706	-9.27	2.938666667
1262	-0.580333333	1.8825	0.8075	-1.265	-14.63	1.814	1.867333333
1263	-0.762666667	-0.033	1.7865	-7.197	-4.48	4.491	-6.775333333
1264	0.065	-5.1255	-5.5755	6.383	-3.482	-8.374	-0.325333333
1265	-1.009333333	0.4435	2.0425	2.704	-16.29	-5.41	-1.484666667
1266	1.51	0.4835	0.1925	-4.472	-7.64	-0.053	0.91
1267	-1.669	-0.553	0.232	5.728	0.546	4.86	1.271333333
1268	-0.423333333	0.368	-2.8285	1.487	-5.36	-2.015	2.180666667
1269	-0.084666667	-1.3545	-1.2645	2.588	11.136	-1.325	-2.715333333
1270	0.108	-1.4795	1.036	1.333	-2.914	-8.997	4.131333333
1271	1.138333333	-1.0105	-0.879	0.997	1.238	-4.381	-0.426666667
1272	0.937	3.0045	-0.426	1.793	13.384	-1.94	2.213333333
1273	0.100666667	-0.001	-3.14	-6.819	1.174	0.882	5.932666667
1274	-0.470666667	1.395	-3.677	-7.362	-3.71	-0.379	0.796
1275	0.518333333	-2.5675	0.161	2.655	-7.648	1.83	4.285333333
1276	-0.849	3.6145	-1.5305	4.336	21.434	2.222	-3.69
1277	-1.828333333	-3.8425	1.0545	-8.612	-0.872	-4.063	2.145333333
1278	1.167333333	3.5045	1.655	-3.538	-21.302	2.474	5.925333333
1279	-0.163	-2.866	0.297	-3.366	8.398	6.218	5.462666667
1280	1.048333333	0.2575	5.748	6.595	-2.572	-3.133	4.948
1281	-3.212	2.996	-2.664	-5.497	6.21	-4.384	4.426
1282	-2.624666667	-0.219	0.104	-5.846	8.204	9.684	-0.528
1283	-3.123666667	-1.9685	2.0065	-4.726	-16.746	9.991	-3.24
1284	-0.657666667	-0.8065	1.636	-0.703	-9.106	-2.321	-3.693333333
1285	-1.079666667	1.8015	-1.7895	-0.04	12.262	5.975	-2.183333333
1286	-0.771666667	-3.693	-0.462	3.364	3.998	1.782	-0.121333333
1287	-2.851333333	-0.0565	-3.637	0.133	4.73	-8.01	2.546
1288	1.325666667	-1.2665	1.7965	-1.055	7.44	-1.938	4.965333333
1289	-2.591	-0.7085	-5.374	1.639	-7.802	-4.696	-0.060666667
1290	-1.468333333	0.3445	-1.649	-6.233	-12.012	3.387	-2.462666667
1291	-0.498666667	-0.6435	4.157	-3.028	-1.876	-11.998	1.416
1292	0.537	2.694	0.185	4.609	5.98	-0.865	-0.220666667
1293	-2.999	-1.107	-0.142	-2.339	2.466	-7.393	-2.917333333
1294	1.189666667	0.023	-4.1005	3.908	16.098	3.665	-1.357333333
1295	1.863333333	-0.8345	5.4915	1.181	7.556	3.889	-2.001333333
1296	3.523666667	1.0165	-2.11	-3.499	-11.108	-0.085	2.704
1297	1.458	-0.3055	-2.347	1.922	1.01	1.196	8.161333333
1298	1.333333333	0.6575	0.0265	5.139	9.234	-0.7	0.312666667
1299	-2.84	-3.881	-0.886	-2.515	-3.658	-5.631	1.074
1300	-1.160333333	-0.9745	1.057	-1.382	-12.024	-3.932	-0.167333333
1301	0.428666667	-4.6385	0.951	-4.035	-5.756	-2.329	4.166666667
1302	0.442	1.2795	-6.723	-4.779	-6.576	-2.553	1.052
1303	3.04	-1.103	-5.474	5.753	6.038	1.185	-1.539333333
1304	2.653	-0.1125	-0.4315	2.439	-13.824	-4.164	1.356666667
1305	-2.811	4.402	2.634	0.98	-0.328	1.611	-3.165333333
1306	1.491	3.2775	1.0185	11.313	-2.534	-2.779	0.289333333
1307	-1.585	1.294	-4.132	-1.802	-12.426	2.63	-5.204666667
1308	-2.52	0.652	-1.3905	-7.942	-7.188	2.051	0.942
1309	-2.132333333	-5.433	-0.625	-2.678	-2.992	7.752	1.42
1310	1.089333333	-0.9325	-0.4785	6.879	-4.968	-1.268	-3.814666667
1311	0.527	4.384	0.34	-1.995	10.348	7.541	-3.334666667
