Phylum	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria	52	69	39	45	50	59	196	90	140	55	143	184	117	61	275	120	43	64
Bacteria|Actinobacteria	7771	13581	10242	10116	6305	8058	8130	10355	10470	8324	9156	8308	12152	10622	10622	11674	11579	10648
Bacteria|Armatimonadetes	2	1	1	2	0	4	2	7	2	5	6	2	2	9	4	6	7	5
Bacteria|Bacteroidetes	845	821	2766	1059	1889	782	975	2408	2783	2250	1082	865	1850	2085	1525	1259	1540	1995
Bacteria|Candidatus_Saccharibacteria	1	1	6	0	33	4	0	10	1	0	11	0	2	0	2	0	0	5
Bacteria|Chlamydiae	4	2	0	0	2	9	10	9	11	16	3	3	0	4	41	6	0	23
Bacteria|Chloroflexi	447	605	215	484	489	321	379	780	371	490	573	485	1380	314	552	560	616	609
Bacteria|Firmicutes	421	594	295	1079	204	434	1309	777	687	872	478	1336	233	120	298	245	165	356
Bacteria|Ignavibacteriae	2	3	0	3	0	12	2	2	0	29	0	0	0	0	2	0	1	7
Bacteria|Nitrospirae	18	18	11	14	9	14	25	14	21	13	32	25	18	17	21	27	20	24
Bacteria|Planctomycetes	6	38	21	8	9	17	70	110	72	27	59	75	40	32	48	37	28	31
Bacteria|Proteobacteria	20026	16536	22071	22075	27403	23805	16292	14174	16126	17022	17882	16223	17732	21677	18556	18780	19866	19392
Bacteria|Spirochaetes	20	10	40	21	44	15	31	30	40	54	38	32	32	67	63	49	22	54
Bacteria|Unassigned	563	549	292	547	352	432	478	604	517	522	429	426	645	400	515	453	523	432
Bacteria|Verrucomicrobia	22	28	35	10	15	18	81	49	61	37	77	127	66	57	88	57	34	43
