Species	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp10|Unassigned|Unassigned|Gp10|Unassigned	0.0762078951379363	0.072715068799642	0.04932502596054	0.0875053033517183	0.111312451462594	0.0765613037296292	0.196918075829088	0.079331177152621	0.242860486891386	0.0677339901477833	0.145976522109361	0.126526222559625	0.0999567754484547	0.0501689902830587	0.512777870170187	0.156834690732996	0.0352026862357497	0.0764546869453622
Bacteria|Acidobacteria|Acidobacteria_Gp17|Unassigned|Unassigned|Gp17|Unassigned	0.00914494741655236	0.0251706007383376	0.0155763239875389	0.00530335171828596	0.00517732332384157	0.0136716613802909	0.0812677773262901	0.0396655885763105	0.032186329588015	0.0153940886699507	0.0821117936865154	0.0822420446637566	0.0486276204884374	0.042247570764681	0.055435445423804	0.0577812018489985	0.0135394947060576	0.0245747208038664
Bacteria|Acidobacteria|Acidobacteria_Gp3|Unassigned|Unassigned|Gp3|Unassigned	0.0182898948331047	0.0251706007383376	0.0103842159916926	0.00795502757742893	0.00258866166192079	0.0218746582084655	0.0343825211765074	0.0122047964850186	0.0146301498127341	0.0123152709359606	0.0243294203515601	0.00632631112798127	0.00270153447157986	0.00792141951837769	0.013858861355951	0.00275148580233326	0.00541579788242303	0.0136526226688147
Bacteria|Acidobacteria|Acidobacteria_Gp5|Unassigned|Unassigned|Gp5|Unassigned	0.0121932632220698	0.00839020024611254	0.00259605399792316	0.00265167585914298	0.00258866166192079	0.0109373291042327	0.0187541024599131	0.00305119912125465	0.0146301498127341	0.021551724137931	0.0121647101757801	0.0158157778199532	0.00270153447157986	0.0105618926911703	0.0166306336271412	0.0137574290116663	0.00541579788242303	0.0109220981350517
Bacteria|Acidobacteria|Acidobacteria_Gp6|Unassigned|Unassigned|Gp6|Unassigned	0.0426764212772443	0.0615281351381586	0.0233644859813084	0.0159100551548579	0.00776598498576236	0.0382806518648146	0.281311536898697	0.140355159577714	0.105337078651685	0.0523399014778325	0.170305942460921	0.351110267602961	0.162092068294791	0.0501689902830587	0.163534564000222	0.0990534888839974	0.0568658777654418	0.0491494416077328
Bacteria|Actinobacteria|Actinobacteria|Acidimicrobiales|Acidimicrobiaceae|Ilumatobacter|Ilumatobacter_fluminis	0.0731595793324188	0.0839020024611254	0.0441329179646937	0.0609885447602885	0.0414185865907326	0.0792956360056874	0.140655768449348	0.0762799780313663	0.0819288389513109	0.0954433497536946	0.124688279301746	0.145505155943569	0.0783444996758159	0.0950570342205323	0.0637507622373746	0.085296059872331	0.0595737767066533	0.0737241624115993
Bacteria|Actinobacteria|Actinobacteria|Acidimicrobiales|Acidimicrobiaceae|Ilumatobacter|Unassigned	0.0579180003048316	0.0587314017227878	0.0441329179646937	0.0583368689011455	0.0440072482526534	0.0492179809690474	0.10939893101616	0.0396655885763105	0.0468164794007491	0.0523399014778325	0.0517000182470653	0.0948946669197191	0.0270153447157986	0.0237642585551331	0.0582072176949942	0.0220118864186661	0.0270789894121151	0.0546104906752587
Bacteria|Actinobacteria|Actinobacteria|Acidimicrobiales|Iamiaceae|Aquihabitans|Aquihabitans_daechungensis	0.0121932632220698	0.0587314017227878	0.0363447559709242	0.0291684344505728	0.0103546466476831	0.0109373291042327	0.0531366236364205	0.0640751815463477	0.032186329588015	0.0554187192118227	0.0364941305273402	0.0253052445119251	0.056732223903177	0.0369666244190959	0.0609789899661844	0.0247633722209993	0.0324947872945382	0.043688392540207
Bacteria|Actinobacteria|Actinobacteria|Acidimicrobiales|Iamiaceae|Iamia|Iamia_majanohamensis	0.0243865264441396	0.0671216019689003	0.134994807892004	0.0371234620280017	0.0388299249288118	0.0464836486929892	0.0468852561497828	0.100689571001404	0.0497425093632959	0.0584975369458128	0.0304117754394502	0.0537736445878408	0.0540306894315971	0.0343261512463033	0.0776096235933256	0.0550297160466652	0.0352026862357497	0.0546104906752587
Bacteria|Actinobacteria|Actinobacteria|Acidimicrobiales|Unassigned|Unassigned|Unassigned	0.0762078951379363	0.0783085356303837	0.103842159916926	0.0768985999151464	0.0647165415480197	0.0710926391775129	0.215672178289001	0.137303960456459	0.0907069288389513	0.144704433497537	0.149017699653306	0.132852533687607	0.0972552409768749	0.132023658639628	0.127501524474749	0.121065375302663	0.146226542825422	0.117412554951806
