#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_81	66	22	77	81	63	67	25	33	118	75	47	62	63	93	71	85	67	81
ASV_427	51	65	80	50	30	48	27	71	61	47	49	41	103	87	75	51	127	104
ASV_76	49	41	82	48	58	53	38	27	49	36	56	87	24	144	33	236	28	39
ASV_75	59	58	21	36	86	52	71	52	51	55	85	76	50	34	69	135	86	64
ASV_80	87	28	33	46	103	31	36	86	40	90	187	54	42	18	90	46	61	48
ASV_86	57	77	12	35	24	30	55	115	29	27	49	58	77	103	88	56	146	60
ASV_84	39	86	27	1	8	280	83	17	28	129	25	24	173	0	32	47	21	38
ASV_78	85	64	45	66	36	57	31	63	11	30	120	64	5	0	88	80	118	117
ASV_83	101	29	38	70	92	136	17	17	76	30	25	52	67	121	30	47	61	35
ASV_87	30	61	94	76	89	67	33	59	47	28	136	43	55	33	56	50	49	45
ASV_85	52	90	47	76	66	165	37	20	84	28	49	42	34	21	41	33	111	43
ASV_93	7	8	56	51	52	24	31	73	24	22	69	49	49	33	27	42	186	192
ASV_89	47	61	26	25	19	43	79	55	49	70	71	61	33	75	55	77	64	74
ASV_88	84	125	5	13	1	369	46	40	32	71	27	64	42	12	12	36	0	13
ASV_91	164	65	58	93	0	35	74	84	118	122	76	25	9	14	1	50	15	1
ASV_102	39	60	42	58	89	41	63	46	45	43	54	56	48	39	77	75	43	52
ASV_92	22	93	6	127	9	57	78	26	49	44	68	37	39	102	49	79	38	39
ASV_114	55	44	72	72	68	35	36	35	40	42	51	40	53	56	59	59	47	65
ASV_94	36	15	16	24	277	21	68	90	27	22	28	18	42	27	75	35	43	42
ASV_100	70	13	24	43	233	23	27	51	15	100	68	38	24	6	46	52	29	54
ASV_101	78	81	8	24	27	47	94	50	59	43	66	104	48	28	58	38	46	61
ASV_104	57	60	65	68	87	55	24	26	39	47	50	66	48	56	43	39	60	27
ASV_97	59	21	74	25	148	52	52	21	37	33	44	27	49	93	21	35	48	58
ASV_96	51	39	102	78	94	65	35	29	40	36	49	35	27	35	29	43	37	44
ASV_110	9	30	54	89	111	18	68	35	25	62	40	25	43	100	54	52	44	30
ASV_98	55	41	50	65	72	99	40	25	42	27	46	36	41	29	23	21	115	38
ASV_106	44	24	17	24	15	14	21	41	211	130	41	50	69	25	43	64	20	33
ASV_109	45	48	14	14	2	1	54	93	34	38	30	71	139	20	74	83	0	108
ASV_99	42	22	29	67	32	72	24	19	82	73	42	27	93	76	29	51	32	38
ASV_284	44	60	43	20	25	107	19	74	26	67	56	78	17	14	37	92	25	34
ASV_113	28	81	43	58	40	41	55	55	53	52	40	50	41	39	64	35	31	47
ASV_2325	43	57	51	40	13	37	62	74	58	44	45	48	52	32	61	31	39	58
ASV_105	38	17	33	48	246	47	5	114	1	38	27	19	2	8	25	24	39	82
ASV_193	37	68	24	41	15	26	57	63	46	54	54	34	24	59	50	76	27	72
ASV_103	44	52	11	72	52	123	22	27	33	33	46	36	60	37	41	40	49	30
ASV_108	45	25	50	40	65	41	26	37	47	90	81	68	23	37	34	41	39	40
ASV_621	38	21	43	21	25	43	24	116	148	76	48	21	34	41	44	50	7	29
ASV_107	58	51	44	54	45	62	47	27	37	33	49	55	28	30	53	44	40	39
ASV_658	37	22	9	21	10	10	94	64	80	66	59	42	41	56	71	52	23	60
ASV_111	40	46	29	16	29	21	54	36	31	62	49	54	32	67	61	59	52	64
ASV_874	37	44	52	63	46	59	32	28	42	40	44	45	34	40	29	65	61	38
ASV_150	47	45	35	44	37	55	35	35	35	41	45	49	42	45	63	56	43	48
ASV_122	37	72	31	35	13	40	60	61	60	47	37	58	47	27	46	48	35	47
ASV_112	27	12	12	14	7	7	70	39	90	93	53	33	62	81	53	68	33	31
ASV_116	5	26	6	7	408	11	15	16	9	19	16	11	48	17	22	4	63	14
ASV_115	34	89	11	79	6	54	5	11	1	5	20	433	1	18	18	1	4	20
ASV_352	30	67	32	31	17	39	48	77	60	35	32	66	40	40	64	32	26	52
ASV_119	35	24	50	24	10	20	68	53	48	34	54	43	33	66	53	69	51	34
ASV_125	11	100	44	71	12	24	42	70	30	43	69	17	22	75	51	20	6	53
ASV_126	43	43	36	37	20	34	38	71	42	36	32	55	38	15	65	41	43	62
ASV_118	44	42	27	37	34	90	36	22	27	75	33	69	24	42	29	31	62	17
ASV_120	45	64	78	64	42	67	20	25	31	25	28	30	25	22	39	43	30	24
ASV_129	21	23	82	45	49	40	26	41	25	31	49	27	20	34	30	28	62	62
ASV_708	39	54	23	34	18	51	52	47	42	33	42	50	29	21	47	32	35	33
ASV_123	52	51	28	39	52	48	31	16	35	27	39	37	34	33	47	36	39	31
ASV_127	36	56	27	42	41	38	29	27	21	37	41	29	33	42	39	56	41	31
ASV_137	46	44	67	46	45	39	33	30	32	15	31	25	35	27	34	44	43	29
ASV_135	18	57	17	39	5	48	35	61	31	48	39	39	67	27	40	23	26	43
ASV_971	39	32	49	33	19	38	26	30	54	29	25	17	66	30	27	31	55	60
ASV_124	48	27	98	26	13	24	43	14	24	32	50	30	30	35	50	53	28	58
ASV_121	46	30	34	22	9	35	62	40	37	45	50	71	29	26	37	18	42	40
ASV_133	47	41	32	53	33	46	31	19	40	36	31	50	40	31	42	27	30	35
ASV_140	36	30	46	45	59	52	37	23	19	29	43	17	13	40	37	39	40	33
ASV_156	48	64	50	24	46	59	54	22	21	30	39	41	13	21	31	27	28	23
ASV_128	37	34	31	17	14	30	56	31	38	34	40	52	30	42	51	38	35	46
ASV_132	5	15	171	55	20	47	51	23	36	19	13	3	23	35	30	11	18	34
ASV_142	40	40	26	22	12	36	65	29	37	40	41	35	18	27	52	24	26	68
ASV_206	17	16	45	230	28	29	19	14	14	11	27	16	10	25	14	28	27	20
ASV_141	75	49	63	51	60	62	5	16	14	31	16	10	25	32	22	14	20	23
ASV_130	25	66	11	46	7	103	23	7	19	46	18	20	7	19	79	16	13	103
ASV_154	31	77	16	43	28	27	28	38	21	34	27	46	52	36	27	52	12	26
ASV_153	29	29	79	13	15	19	41	34	33	33	36	33	25	41	41	46	15	24
ASV_461	18	26	13	96	36	52	45	23	17	34	19	26	13	27	42	43	4	24
ASV_163	22	41	22	26	11	21	39	44	32	35	38	63	40	21	33	26	27	31
ASV_964	19	39	54	21	15	18	31	28	43	26	36	27	37	47	33	32	33	40
ASV_162	38	40	43	43	11	38	59	25	35	30	33	49	23	11	39	18	18	26
ASV_157	25	13	77	25	55	22	15	55	18	23	45	15	8	15	16	34	60	28
ASV_145	8	35	22	51	70	23	16	21	10	30	27	15	29	19	35	32	65	51
ASV_1068	48	45	144	21	23	53	29	22	19	32	14	15	14	17	25	24	10	13
ASV_147	42	61	41	16	19	56	42	18	21	24	39	20	16	35	15	24	53	23
ASV_144	38	14	15	42	35	29	51	41	36	42	22	26	41	29	28	28	29	23
ASV_143	31	21	25	26	46	33	26	17	33	41	24	20	42	42	14	28	39	34
ASV_148	52	55	29	16	13	30	44	27	25	19	46	41	23	17	51	33	16	41
ASV_151	80	50	11	39	15	21	48	29	39	39	22	25	29	23	42	23	9	20
ASV_146	31	9	25	24	17	30	22	14	41	26	28	22	28	53	52	66	48	34
ASV_159	48	35	5	9	6	12	31	33	47	44	36	20	27	25	71	50	35	28
ASV_158	40	38	22	69	4	25	31	39	30	19	18	31	24	19	24	32	22	65
ASV_149	6	136	0	24	35	11	43	41	21	5	5	26	61	8	88	15	13	15
ASV_172	28	19	5	10	7	15	90	46	45	70	33	134	7	4	15	7	9	13
ASV_173	2	1	0	447	0	0	6	22	2	4	0	18	2	1	0	1	0	0
ASV_167	29	41	36	51	45	43	27	11	34	22	24	28	22	23	21	32	25	17
ASV_164	39	30	23	13	3	19	76	36	30	33	29	69	28	14	31	14	22	44
ASV_170	29	24	32	20	15	35	49	29	34	28	29	43	17	33	35	24	14	43
ASV_152	13	36	16	17	31	43	19	20	24	33	11	14	42	22	81	40	40	30
ASV_240	23	30	23	20	14	27	33	42	40	34	31	33	36	31	40	23	11	35
ASV_181	39	24	18	14	9	34	37	24	20	29	35	46	33	36	35	38	21	31
ASV_174	8	9	2	3	5	1	16	51	16	35	16	6	6	6	28	237	58	3
ASV_182	39	14	33	23	48	72	23	8	18	21	30	36	9	31	10	42	36	15
ASV_195	27	35	33	43	33	47	38	19	22	27	18	42	12	16	24	26	22	15
ASV_190	24	6	57	19	62	33	15	41	8	7	27	11	72	10	14	22	36	40
ASV_742	18	24	51	44	19	19	31	28	35	14	20	27	24	28	38	21	22	30
ASV_169	33	12	7	10	32	15	53	43	14	23	14	17	72	34	27	19	19	51
ASV_243	22	108	7	9	8	22	9	16	14	23	37	38	79	15	15	11	28	27
ASV_186	23	36	22	13	6	13	29	41	19	37	12	36	45	28	26	24	52	36
ASV_330	20	12	35	29	66	51	14	19	13	25	58	18	29	10	18	26	28	24
ASV_161	4	21	1	3	0	1	9	6	13	296	26	8	21	7	12	63	2	5
ASV_183	52	12	48	1	14	30	27	108	3	78	27	23	3	26	9	0	10	11
ASV_178	29	55	20	20	20	15	19	51	28	28	27	25	24	38	27	24	14	28
ASV_160	26	31	17	27	15	51	20	23	29	17	64	26	25	20	11	23	26	14
ASV_175	80	18	36	25	77	70	4	4	14	12	11	0	17	13	13	9	21	30
ASV_185	43	27	34	56	23	43	12	11	30	19	7	11	49	18	11	9	35	20
ASV_237	47	27	21	33	13	27	16	22	22	22	18	13	19	44	23	50	20	24
ASV_187	45	21	32	50	35	64	8	8	13	13	19	29	15	21	13	20	28	19
ASV_192	30	13	25	34	44	40	12	17	22	22	17	17	18	31	17	37	26	18
ASV_165	7	109	38	2	1	19	14	2	83	7	1	74	50	14	5	13	0	38
ASV_1654	16	45	13	20	9	22	43	28	35	22	25	32	21	20	30	29	16	34
ASV_184	23	21	38	48	43	32	17	5	39	16	22	13	16	22	22	22	26	21
ASV_177	16	4	12	57	5	13	47	17	21	27	5	53	72	63	19	15	11	4
ASV_200	27	14	7	10	20	15	13	7	18	29	4	3	106	12	11	18	86	23
ASV_188	21	40	14	7	29	50	24	28	10	39	13	13	32	22	26	27	24	21
ASV_217	20	3	7	10	26	6	10	73	58	91	12	9	20	13	36	11	10	25
ASV_223	101	16	3	8	78	3	12	8	26	3	8	7	37	8	65	20	4	9
ASV_202	2	8	3	7	27	20	14	92	8	61	30	95	0	4	18	9	22	29
ASV_209	26	33	55	3	12	16	11	46	10	27	16	16	60	8	39	34	8	26
ASV_198	21	56	15	53	6	47	18	19	21	19	23	14	16	22	27	15	11	8
ASV_224	33	81	8	12	5	15	27	45	17	9	10	24	20	31	25	14	10	21
ASV_204	14	7	14	5	6	2	26	19	31	26	15	28	25	51	29	45	37	29
ASV_207	30	22	37	30	21	28	22	28	14	18	22	17	17	23	15	19	24	20
ASV_213	26	24	27	21	16	9	19	13	19	15	28	24	11	34	28	42	15	20
ASV_248	26	34	16	27	9	25	43	28	30	22	18	38	21	12	21	19	9	16
ASV_203	16	10	8	20	5	11	34	13	22	16	26	33	17	30	41	24	29	41
ASV_246	24	19	7	4	12	16	44	26	33	60	17	105	7	4	8	9	4	17
ASV_199	34	24	7	11	23	15	32	12	11	26	30	24	33	36	27	12	17	20
ASV_215	19	35	50	8	1	26	15	14	39	18	9	11	12	14	22	27	48	14
ASV_210	26	28	12	17	22	15	38	34	15	23	23	32	8	13	32	23	19	27
ASV_219	16	24	26	32	10	19	19	28	14	27	21	22	22	13	28	29	22	17
ASV_194	18	33	8	20	30	15	18	22	13	33	17	19	24	12	30	21	16	31
ASV_201	69	17	20	29	82	33	7	4	10	10	7	2	14	15	7	12	9	22
ASV_2195	17	31	14	19	9	15	34	36	12	42	19	32	19	13	24	12	13	23
ASV_235	17	36	31	2	2	6	27	28	15	20	24	14	14	32	43	26	6	40
ASV_218	15	20	1	139	17	31	13	10	9	6	9	9	16	12	52	4	0	15
ASV_227	14	32	19	14	9	21	27	35	15	17	21	20	14	11	24	37	11	47
ASV_212	14	18	22	24	24	21	18	16	20	23	28	16	15	16	42	22	13	26
ASV_191	13	8	4	11	3	2	31	19	27	37	47	7	18	60	24	40	13	23
ASV_208	17	9	6	1	4	39	27	29	10	15	14	24	31	8	7	25	69	52
ASV_238	14	43	28	16	27	40	21	15	10	11	21	19	15	13	24	20	29	21
ASV_245	17	26	59	8	3	18	37	23	21	14	18	34	8	7	22	15	22	34
ASV_216	26	52	8	27	4	9	23	30	18	21	29	21	33	8	19	14	7	16
ASV_279	12	33	17	24	9	15	23	30	21	17	18	21	30	6	27	17	11	23
ASV_222	25	9	36	3	0	12	23	12	28	19	31	25	11	36	30	15	14	41
ASV_225	8	9	20	27	59	11	9	9	11	26	17	9	16	68	12	9	22	8
ASV_345	21	28	5	17	9	15	37	39	26	21	19	30	23	9	29	11	10	23
ASV_1351	25	21	19	19	2	20	11	28	28	20	18	38	39	9	12	33	7	10
ASV_233	25	15	34	30	17	18	17	18	38	10	12	17	17	25	16	31	17	8
ASV_274	25	28	15	26	86	11	6	12	16	5	18	9	33	12	21	12	10	2
ASV_221	17	38	0	1	36	55	3	64	6	8	14	4	2	37	36	14	2	4
ASV_231	18	21	17	14	7	6	5	6	126	11	30	4	12	7	11	16	35	23
ASV_234	21	27	19	14	22	33	13	11	27	20	15	22	20	28	21	22	18	14
ASV_244	35	11	113	4	4	3	19	19	26	10	11	39	14	4	10	7	2	20
ASV_214	28	22	15	6	6	12	36	13	17	24	30	31	10	32	31	19	9	18
ASV_236	9	31	16	27	11	14	20	31	23	11	32	24	17	21	18	13	21	15
ASV_220	23	14	28	13	64	15	21	24	9	11	14	7	21	17	17	15	14	18
ASV_205	17	22	19	14	19	13	15	21	17	25	13	22	34	27	26	30	12	12
ASV_229	13	17	17	8	11	10	25	13	12	16	25	23	20	20	25	22	28	35
ASV_289	16	9	14	5	8	8	18	43	29	24	29	33	10	6	21	42	10	23
ASV_242	20	32	12	16	10	29	17	14	22	16	21	24	20	28	31	11	8	19
ASV_276	26	11	16	32	8	13	36	9	18	12	15	21	13	12	28	28	26	25
ASV_249	12	18	15	19	48	17	14	12	12	17	15	18	23	41	10	13	20	12
ASV_421	17	5	8	10	12	12	5	11	34	35	15	32	13	27	29	41	6	18
ASV_228	21	24	19	7	20	12	17	18	13	25	24	20	19	30	23	9	30	17
ASV_252	6	12	22	36	23	12	25	11	8	13	13	25	8	30	25	13	25	23
ASV_250	25	12	3	7	19	13	19	6	12	16	24	23	21	18	22	24	38	39
ASV_288	13	21	21	14	16	18	22	27	12	12	27	30	22	20	19	16	16	17
ASV_258	11	9	15	59	38	7	0	7	54	27	4	7	15	26	4	5	23	9
ASV_254	76	19	2	0	31	7	37	12	19	28	8	30	12	1	35	5	6	11
ASV_265	17	15	21	28	5	5	23	18	27	18	21	31	19	13	19	12	14	28
ASV_251	37	17	35	26	18	53	9	3	11	5	11	6	19	16	12	19	14	11
ASV_259	22	14	11	5	11	10	29	14	15	16	19	29	30	24	31	17	8	24
ASV_261	11	15	7	7	8	13	12	9	11	5	52	21	81	23	9	6	18	18
ASV_230	15	11	12	17	17	9	9	6	26	25	12	15	27	57	16	17	19	24
ASV_263	7	30	8	18	29	25	13	31	28	17	12	25	18	6	21	12	6	18
ASV_273	11	30	19	26	8	6	28	17	19	10	13	27	35	9	29	20	10	14
ASV_247	11	5	5	3	0	3	26	13	34	30	29	18	25	41	20	26	19	20
ASV_255	22	15	5	14	9	19	36	19	23	9	28	29	15	8	24	26	11	21
ASV_301	26	15	16	39	20	24	18	16	19	12	19	21	13	9	11	10	18	22
ASV_257	25	33	18	19	32	34	9	11	7	12	13	24	14	15	8	21	16	12
ASV_253	20	13	24	34	28	35	7	14	12	10	15	11	16	33	9	18	18	9
ASV_286	21	13	14	18	6	5	46	22	17	18	15	26	13	24	25	21	7	25
ASV_264	14	43	19	9	5	15	17	23	13	31	14	14	26	15	13	20	19	17
ASV_267	18	13	29	15	50	13	10	12	9	8	15	10	20	28	14	18	13	23
ASV_283	23	22	11	10	9	10	22	14	17	14	21	21	17	28	21	13	30	18
ASV_278	18	19	25	17	40	18	8	24	11	9	22	15	18	16	12	9	18	17
ASV_294	15	16	9	7	4	14	29	19	30	20	25	32	15	11	20	17	13	23
ASV_281	19	31	6	18	13	19	25	25	11	18	20	26	17	17	8	10	12	12
ASV_239	19	12	21	10	35	17	12	11	13	4	22	7	28	31	10	24	19	16
ASV_271	27	24	5	9	5	19	42	21	18	18	17	39	13	6	9	13	16	16
ASV_241	10	8	27	10	6	7	30	14	18	23	22	20	14	8	36	19	5	41
ASV_2086	17	21	14	16	19	19	17	17	10	11	21	11	25	17	15	22	16	16
