	Species1	Species2	Species3	Species4	Species5	Species6	Species7	Species8	Species9	Species10	Species11	Species12	Species13	Species14	Species15	Species16	Species17	Species18	Species19	Species20	Species21	Species22	Species23	Species24	Species25	Species26	Species27	Species28	Species29	Species30	Species31	Species32	Species33	Species34	Species35	Species36	Species37	Species38	Species39	Species40	Species41	Species42	Species43	Species44	Species45	Species46	Species47	Species48	Species49	Species50	Species51	Species52	Species53	Species54	Species55	Species56	Species57	Species58	Species59	Species60	Species61	Species62	Species63	Species64	Species65	Species66	Species67	Species68	Species69	Species70	Species71	Species72	Species73	Species74	Species75	Species76	Species77	Species78	Species79	Species80	Species81	Species82	Species83	Species84	Species85	Species86	Species87	Species88	Species89	Species90	Species91	Species92	Species93	Species94	Species95	Species96	Species97	Species98	Species99	Species100	Species101	Species102	Species103	Species104	Species105	Species106	Species107	Species108	Species109	Species110	Species111	Species112	Species113	Species114	Species115	Species116	Species117	Species118	Species119	Species120	Species121	Species122	Species123	Species124	Species125	Species126	Species127	Species128	Species129	Species130	Species131	Species132	Species133	Species134	Species135	Species136	Species137	Species138	Species139	Species140	Species141	Species142	Species143	Species144	Species145	Species146	Species147	Species148	Species149	Species150	Species151	Species152	Species153	Species154	Species155	Species156	Species157	Species158	Species159	Species160	Species161	Species162	Species163	Species164	Species165	Species166	Species167	Species168	Species169	Species170	Species171	Species172	Species173	Species174	Species175	Species176	Species177	Species178	Species179	Species180	Species181	Species182	Species183	Species184	Species185	Species186	Species187	Species188	Species189	Species190	Species191	Species192	Species193	Species194	Species195	Species196	Species197	Species198	Species199	Species200	Species201	Species202	Species203	Species204	Species205	Species206	Species207	Species208	Species209	Species210	Species211	Species212	Species213	Species214	Species215	Species216	Species217	Species218	Species219	Species220	Species221	Species222	Species223	Species224	Species225	Species226	Species227	Species228	Species229	Species230	Species231	Species232	Species233	Species234	Species235	Species236	Species237	Species238	Species239	Species240	Species241	Species242	Species243	Species244	Species245	Species246	Species247	Species248	Species249	Species250	Species251	Species252	Species253	Species254	Species255	Species256	Species257	Species258	Species259	Species260	Species261	Species262	Species263	Species264	Species265	Species266	Species267	Species268	Species269	Species270	Species271	Species272	Species273	Species274	Species275	Species276	Species277	Species278	Species279	Species280	Species281	Species282	Species283	Species284	Species285	Species286	Species287	Species288	Species289	Species290	Species291	Species292	Species293	Species294	Species295	Species296	Species297	Species298	Species299	Species300	Species301	Species302	Species303	Species304	Species305	Species306	Species307	Species308	Species309	Species310	Species311	Species312	Species313	Species314	Species315	Species316	Species317	Species318	Species319	Species320	Species321	Species322	Species323	Species324	Species325	Species326	Species327	Species328	Species329	Species330	Species331	Species332	Species333	Species334	Species335	Species336	Species337	Species338	Species339	Species340	Species341	Species342	Species343	Species344	Species345	Species346	Species347	Species348	Species349	Species350	Species351	Species352	Species353	Species354	Species355	Species356	Species357	Species358	Species359	Species360	Species361	Species362	Species363	Species364	Species365	Species366	Species367	Species368	Species369	Species370	Species371	Species372	Species373	Species374	Species375	Species376	Species377	Species378	Species379	Species380	Species381	Species382	Species383	Species384	Species385	Species386	Species387	Species388	Species389	Species390	Species391	Species392	Species393	Species394	Species395	Species396	Species397	Species398	Species399	Species400	Species401	Species402	Species403	Species404	Species405	Species406	Species407	Species408	Species409	Species410	Species411	Species412	Species413	Species414	Species415	Species416	Species417	Species418	Species419	Species420	Species421	Species422	Species423	Species424	Species425	Species426	Species427	Species428	Species429	Species430	Species431	Species432	Species433	Species434	Species435	Species436	Species437	Species438	Species439	Species440	Species441	Species442	Species443	Species444	Species445	Species446	Species447	Species448	Species449	Species450	group
Healthy01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01833	0	0	0	0	0	0	0	0	0	0	0	0	0.0074	0	1.37013	0	0.21381	0	0.13715	8.3508	0.06609	0	0	0	0	0	0	2.37803	0.54146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42902	0	0	0	0	0	0	0	0	0	0	0	0.01222	0	0	0	0	0.3311	0	0	0	0	0	0.06752	0	0.01359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01982	0	0	0	0	0	0.32779	0	0	0	0	0	0	0	0.32739	7.03927	4.71784	0	0.08686	0	2.27871	0	0	0.87041	0	0	0	0	0	0	0	0	0	0	1.13047	16.36699	0.72651	0	0	0.95997	0	0	0	0	0	0	0	0	0	0.51524	0.08233	0	0	0	0	0	0	0.19355	0	0.00728	0	0.2563	0.00742	0	0	0	0	0.20618	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96835	0	0	0	0	0	0	0	0	0	0.27188	0	0	0	0	0	0	0.24064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07053	0	0	0	0	0	0	0.01049	0.0029	0.00454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02584	0	0	0.01898	0	0	0	0	0	0.01567	0	0	0	0	0	0	0	0	0	0	0.18823	0	0	0	0	0.00146	0	0	0	0	0.13515	0	0	0.00494	0	0	0	0	0.002	0	0.40871	0	0	0	0	0	0	0	0	0	0	0	0	0.00029	0	0	0	0	0	0.03516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03999	0	0	0	0	0.25761	0.3343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00023	0	0	0	0	0	0	0	0	0	0	0.36818	0	0	0	0	0	0	0	0	0	0	0.01784	0	0.13782	0	0	0.00826	0	0	0	0	0	0	1.10367	0	0.02572	0.48965	Healthy
Healthy02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02984	0	0	0	0	0	0	0.04529	0	0	0	0	0	0	2.59553	0	0	0	0	0	0.38695	0	0.69005	0.15097	0.05633	0.92295	0	3.26824	0.0241	0	0	0	0	0	0	0.25264	0.24616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02331	0	0	0	0	0.00889	0	0.10975	0.01336	0.01887	0.02017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18817	0.43329	0	0	0	0	0	0	0	0	1.24029	0.37315	0	0.34823	0	7.91739	0	0	0.00994	0	0	0	0	0	2.33285	0	0	0	0	2.13655	20.61664	0.08942	0	0	0.08246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1894	0	0	0	0	0	0	0	0	0	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00507	0	0	0	0	0	0	0	0	0	0	0	0.02276	0	0	0.1691	0	0.25068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02793	0	0	0.0179	0	0	0	0	0.12396	0	0	0	0	0	0	0	0	0	0	0	0.01734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02392	0	0	0.19555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00823	0	0	0	0	0	0	0	0	0	0	0	0	0.02904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00881	0	0.02759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03216	0.18068	0	0	0	0	0	0	0	0	0	0.5357	0	0.0574	0.42311	Healthy
Healthy03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57256	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22707	0	0	0	0	0	0	0	0	0	0.09698	0	0	0.02912	0	0.58785	0	0	0	0	0	0	0	0	0	0	0	0	0.93847	0.45444	0.18108	0.59525	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00338	0	0	0	0	0	0	0.27163	0	0.13445	0	0.0047	0	3.57444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00892	0	0	0	0	0	0	0	0	1.58874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02429	0	0	0	0	0.8175	0	0	0	0	0	0	0	0	0	0	0.20229	0.01858	0	0	0	0.22228	0	0	0	0	0	0	0	0	0	0	0	0	0.07347	0	0	0	0	0	0	1.28184	0	0	0	0.34195	0.038	0	0.01206	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01654	0	0	0	0	0	0	0.25539	0	0.09131	0	0	0	0	0	0	0	0	0	0	0	0	0.00334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.85953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Healthy
Healthy04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01719	0	0	0.01827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06111	0	0	0	0	12.74272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09756	0	0.22358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0.50726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.77744	0	0	0	0	21.37261	0	0	0	0	0	0	0	0	0	0	0	0	2.12608	2.38599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31631	0	0	0	0	0	0	4.39726	0	0	0	0	0	1.4917	0	0	0	0.06659	0	0.16499	0	0	0	0	0	0	0	0	0	0	0	0.44436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0933	0	0	0	0	1.81317	0	0	0	0	0	0.0345	0	0	0	0	0.00032	0.20471	0	0	0	1.10157	0	0	0.07684	0	0.13989	0	0	0	0	0	0	0	0.06448	0	0	0.7909	0	0	0	0	0	0	0.01598	0.56253	0	0	0.02914	0	0	0	0	0	0	0.01061	0.07993	0	0	0	0	0	0	0	0	0	0	0	0	0.13065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27426	0	0	0	0	0.6576	0	0	0	0	0	0	0	0	0	0	0	0	0.01953	Healthy
Healthy05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00045	0	0	0.00074	0	0	0	0	0	0	0	0	0	0	0.0111	0	0	0	0	0	0	0	0	0	0	0.07151	0	0	0	0	0	0	0.12145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18906	0.03845	0.04809	0.02955	0	2.62584	0	0	0	0	0	0	0	0.40833	0.04288	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0744	0.06716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02441	0	0	0	0.06207	0	0.00168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40483	0	0	0	0	0.35274	0	0	0.33814	0	0	0.04839	0	0.0619	0	0.65908	0	0	0	0	0	0	0	0	0	0	0	0	1.73174	0.43544	7.73249	0.06721	0	0	0.71496	0	0	0	0	0	0	0	0	0	0	0.04635	0	0	0	0	0	0	0.29356	0	0	0.01395	0.05465	0.00735	0	0	0	0	0.18663	0.3094	0	0.10201	0	0	0.00241	0	0	0	0	0	0	0.13691	0.37038	0	0	0	0	0	0	0	0	0.19744	0	0	0	0	0	0	0	0.01596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04207	0.0703	0	0	0	0	0	0	0	0	0	0.00917	0	0.06136	0.05075	0.18376	1.76537	0	0.08125	1.11006	0.6176	0.05852	0	0	0	0	0	0	0	0	0	0	0.01965	0	0	0	0	0	0	0	0	0	0	0	0.05694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09004	0.05374	0.00051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00604	0	0	0	0	0.17687	0	0	0	0	0	0	0	0	0.0121	0.07769	0.27889	0	0.00239	0.03499	0	0	0	0	0	0	0.00824	0	0	0.01032	Healthy
Healthy06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9979	0	0	0	0	0	0	0	0	0.01002	0	0	0	0	0.17021	0	0	0	0	0	0	0.35795	0.05209	0.02823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21108	0	0	0	0.33109	0	0.0113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30011	0.02174	0	0	0	0	0	0	0	0	2.66856	0.02437	0	0	0	1.56119	0	0	0.01935	0	0	0	0	0	0	0	0	0	11.00459	2.11239	2.2227	1.37612	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00187	0	0	0	0	0	0	0.68133	0	0.03419	0	0.00926	0	0	0	0	0	0	0	0.00137	0	0	0	0	0	0	0	0	0	0	0	0.1224	0	0	0	0	0	0	0	0	0	0	0	0.02035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01418	0	0	0	0	1.16982	0	0	0	0	0	0	0	0	0	0	0	0.08182	0	0	0	0.03529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02189	0	0	1.07655	0	0	0	0	1.03593	0	0	0	0	0	0	0	0	0	0	0.0919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14293	0	0.24391	0	0	0	0	0	0	0	0	0	0	0.01444	0.21802	Healthy
Healthy07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24733	0	0	0.10066	0.15039	0.97534	0	0	0.27593	0	0	0	0	0	0	0.17066	0.16101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34477	0	0	0	0	0	0.01315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98481	0.11629	0	0	0	0.03577	0	0	0	0	0	0.04514	0	0.00666	0	1.074	0	0	0	0	0	0	0	0	0	0	0	0	0.33915	0.05311	0.18105	0.82962	0	0	1.05711	0	0	0	0	0	0	0	0	0	0.03547	0.27267	0	0	0	0	0	0	0	0	0	0	0.14962	0	0	0	0	0	0.14972	0.02055	0.00685	0	0	0	0	0	0	0	0	0	0	0	0.35761	0	0	0	0	0	0	0	0	1.69476	0	0	0	0	0	0.08297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76894	0	0	0	0	0	0	0	0	0.00209	0	0	0	0	0	0	2.70022	0	0	0	0	0	0	0.0057	0.00565	0	0	0	0.00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81372	0	0	0	0	0	0.00329	0	0	0	0	0	0.02129	0	0	0	0.11558	0	0	0	0	0.12097	0	0	0	0	0	0	0	0.14582	0.24524	0.01555	0.51789	0	0	0.37512	0.14541	0	0	0	0	0	0	0	0	0	0.05134	0	0	0	0	0.10352	0	0	0	0	0	0.00474	0	0	0.1625	0	0	0	0.14411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01333	0	0	0	0	0	0	0	0	0.00266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5671	0	0	0	0	0	0	0	0	0	0	0.17812	0	0	1.07917	0	0	0	0	1.79722	0	0	0	0.16358	0.29867	0	0	0	0	0	0	0	0	0	0	0	0	0.25546	Healthy
Healthy08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0073	0.00434	0.05121	0	0.01796	0.10054	0	0	0	0	0	0	0.17407	0.07063	0	0	0	0	0.01512	0	0	0	0	0	0	0	0	0.00935	0.01279	0	0	0	0.02658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18938	0	0	0	0.00635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01273	0	0.49084	0.03506	0	0	0.2152	0	0	0	0	0.19479	0.45455	0	0.0014	0	0.12069	0	0	0.006	0	0	0	0	0	0	0	0	0	0.03299	0.39873	1.18334	0.03091	0	0	0.00697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0127	0	0	0	0.00932	0	0	0	0	0	0.01312	0.02359	0	0	0	0	0	0	0	0	0	0	0	0	0.08873	0	0	0	0	0	0	0	0	0	0	0.00844	0	0.01401	0	0.01907	0	0.05801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02133	0	0	0	0	0	0	0.23133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00277	0.00292	0	0	0	0	5.90357	0	0	0	0	0.01791	0	0.03927	0	0.00106	0.29898	0	0.12769	0.08057	0.06592	0.00111	0.07754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0271	0	0	0	0	0.04415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00309	0.01662	0.01135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32752	0	0.05873	0	0	0	0	1.11189	0	0	0	0	0.03532	0.04749	0	0	0	0	0	0	0	0	0.01431	0.4626	0	0.00517	0.07696	Healthy
Healthy09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06869	0.18005	0.01768	5.62211	0	0.00048	0	0	0	0	0	0.18393	0.10319	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00503	0.00703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07521	0	0	0	0.73095	0	0.10456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33447	0	0	0	0	0	0	1.12278	0	5.05836	0.22085	0	0.29288	0	1.25894	0	0	0	0	0	0	0	0	0	0	0	0	0	3.08581	7.69143	0.15393	0	0	0	0	0	0	0	0	0	0	0	0	0.02921	0	0	0	0	0	0	0	0.94112	0	0.05838	0	0	0	0.11889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00259	0	0	0	0	0	0	0	0	0	0	0.03538	0	0	0	0.0454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02303	0	0	0	0.01129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01899	0	0	0	0.03224	0	0	0	0	0	0	0	0	0	0	0.02275	0	0	0.12236	0	0.09732	0.08628	0	0.87194	0	0.05878	0	0	1.02777	0	0	0	0	0	0	0	0	0	0	0.08113	0	0	0	0	0	0	0	0	0	0	0	0	0.19736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02915	0.08954	0.16942	0	0	0	0	0	0	0	0	0	0	0	0	0.40136	Healthy
Healthy10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28328	0	0	0	0	0	0	0.16166	0	0	0	0	0	0	0	0.14226	0.02678	0	0.19463	0	1.74067	0	0.00432	0	0	0	0	0	0.13596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20065	0	0	0	0.00837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00642	2.38951	0	0.00756	0	0	0	0	0	0.84056	0	0.05699	4.28387	0	0.08124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89324	0.30253	1.93548	3.68993	0	0	0.48151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09225	0	0	0	1.06028	0.05682	0	0	0	0	0.1742	0.83878	0	0	0	0	0.008	0	0	0	0.02601	0	0	1.30578	0.78053	0	0	0	0	0	0	0	0	0	0	0	0.02213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03336	0	0	0	0	0	0	0.01459	0	0	0	0	0	0.03677	0.04075	0	1.16655	0	0	1.27353	0.15094	0	0.23796	0	0.23418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43434	0	0.12686	0.21018	0.24856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37989	0	0	0	0	0	0	0	0	0.22805	1.08247	0	0	0.10383	0	0	0	0	0	0	0.03087	0	0.01401	0.00496	Healthy
