Species	Healthy01	Healthy02	Healthy03	Healthy04	Healthy05	Healthy06	Healthy07	Healthy08	Healthy09	Healthy10	Patients01	Patients02	Patients03	Patients04	Patients05	Patients06	Patients07	Patients08	Patients09	Patients10
Species1	0.002847623	0	4.96E-05	0	0.000878071	9.53E-05	0.001592445	0.000113622	0	0.012642912	0.000433447	0	0.004759157	0.001578282	0.000399547	0.001791095	2.40E-06	0.001752255	0	0
Species2	0.01075886	5.38E-05	9.42E-05	0.004693182	0.005950961	0.001259648	0.003806138	0.001081723	2.69E-05	0.009307138	0	0	0.01352363	0.002025731	0.000354649	0.004062425	0.000727927	0.011592537	0.002333583	0
Species3	0	0	0	0.002361377	0.001195398	0.000290522	0	0.000113988	5.22E-05	0.001043361	0	0	0.00088455	0	0.000878853	0.000756141	0.000136525	0.001314622	0	0
Species4	0.001296485	0.00563096	0.009149213	0.004908639	0	0.001280745	0.001526244	8.62E-05	0.001663134	0.002056554	0.003409699	0.000417346	0.00803358	0	0.000396633	0.000299839	0.000552573	0.007526341	0	0
Species5	0	0.000251764	0	0.002288396	0	0.006615414	0.008212449	0	0.018158631	0.018801962	0.005630882	0	0	0	0	0	0	7.89E-05	0	0
Species6	0	0.002073816	0	0	0.01783553	0.011079033	0.003992501	0.000982243	0.009048753	0.015185732	0	6.01E-05	0.000619646	0.003006614	0	0.000183751	0.001176332	0.02017021	0.004225073	0
Species7	0	0.00030797	0.002695838	0.001379882	0	0	0.001533801	0	0.002048148	0	1.74E-05	0.00018756	0.002306182	0.000113949	0	0	0	0	0	0
Species8	0.002862178	0	0	0	0.00086345	0	0	0.00013837	0.004652853	0.002506213	0.00060201	0	0.016304815	0	0	0.001661922	0.000494644	0	0	0
Species9	0	0.000112413	0	0	0.026295701	0	0	0.005174058	0.00014342	0	0	0	0.006389966	0	0	0.002462798	0.000545058	0.000406835	0	0
Species10	0.000413644	0	0.000927324	0	0.000212408	0.000526809	0.000249265	0.000514224	0.000106683	0	0.001929324	0	0.000880453	0	0	0	0.000278479	0.042100104	0.010202283	0
Species11	0	0	0	0.001477471	0	0	0.001287516	0	0	0	0	0	0	0	0	0	0	0	0	0
Species12	0	0.000341058	0	0	0.001248259	0.001470927	0.001741025	0.000430592	0.000929221	0.002719297	0	0	0.006924691	0.000778654	0.001203174	0	0.000189967	0.004619484	0	0
Species13	0	0	0	0	0.000986846	0	0.001101897	0	0	0.002127622	0	0	0.002147915	0	0	0.000826599	0	0.002386091	0	0
Species14	0.004540975	0.000253673	0	0.008353221	0.028364511	0.000225275	0.00551204	0.003644919	0.00100996	0.013910089	0	0	0.002508804	0	0	0.002950638	0.025773986	0.000166266	0	0
