	Species01	Species02	Species03	Species04	Species05	Species06	Species07	Species08	Species09	Species10	Species11	Species12	Species13	Species14	Species15	Species16	Species17	Species18	Species19	Species20	Species21	Species22	Species23	Species24	Species25	Species26	Species27	Species28	Species29	Species30	Species31	Species32	Species33	Species34	Species35	Species36
Species01	1	0.0099	0.0099	0.0099	0.0099	0.0594	0.3663	0.2475	0.802	0.0297	0.0396	0.8218	0.0198	0.0099	0.0099	0.099	0.0495	0.1188	0.4653	0.0396	0.0495	0.2277	0.604	0.1881	0.5149	0.3267	0.5149	0.1683	0.6238	0.2871	0.9703	0.1881	0.0198	0.0099	0.3861	0.1584
Species02	0.0099	1	0.0099	0.0099	0.0198	0.0099	0.0594	0.0099	0.0099	0.0099	0.9505	0.3267	0.0099	0.0099	0.0099	0.0099	0.0099	0.3861	0.2079	0.0099	0.4752	0.3762	0.0792	0.2178	0.0693	0.0099	0.0297	0.0099	0.0099	0.0594	0.8515	0.0495	0.099	0.0099	0.6535	0.0396
Species03	0.0099	0.0099	1	0.0099	0.0099	0.0099	0.0495	0.0099	0.2475	0.0099	0.2277	0.2376	0.0099	0.0297	0.0099	0.0396	0.0099	0.0198	0.2673	0.0495	0.0099	0.0495	0.6337	0.1089	0.0297	0.1089	0.4653	0.1188	0.2574	0.7426	0.0099	0.3663	0.0297	0.0099	0.0099	0.2673
Species04	0.0099	0.0099	0.0099	1	0.0099	0.0099	0.3861	0.0099	0.0198	0.0099	0.9109	0.0099	0.0099	0.0099	0.0099	0.3564	0.0099	0.1089	0.3366	0.0099	0.0495	0.4257	0.9703	0.0198	0.2079	0.0198	0.9406	0.5842	0.6733	0.1485	0.3168	0.505	0.0099	0.0099	0.0693	0.7525
Species05	0.0099	0.0198	0.0099	0.0099	1	0.0099	0.0099	0.0198	0.0099	0.0099	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198	0.0099	0.0792	0.0099	0.0495	0.1881	0.0099	0.0792	0.0099	0.0594	0.1584	0.0198	0.0099	0.1782	0.9901	0.0099	0.0099	0.0099
Species06	0.0594	0.0099	0.0099	0.0099	0.0099	1	0.8812	0.0099	0.0594	0.0099	0.0198	0.3168	0.0099	0.0099	0.0198	0.0099	0.0099	0.0099	0.0396	0.0099	0.0198	0.4554	0.1386	0.5347	0.198	0.3762	0.0099	0.3762	0.297	0.4257	0.0198	0.0297	0.0099	0.0099	0.0297	0.0297
Species07	0.3663	0.0594	0.0495	0.3861	0.0099	0.8812	1	0.9208	0.0198	0.4653	0.0099	0.1089	0.4059	0.1683	0.0396	0.0099	0.2475	0.0594	0.0792	0.198	0.1188	0.0099	0.0396	0.8317	0.0891	0.4455	0.0099	0.0099	0.0099	0.099	0.0099	0.9505	0.099	0.0198	0.0099	0.0099
Species08	0.2475	0.0099	0.0099	0.0099	0.0198	0.0099	0.9208	1	0.0099	0.0099	0.0099	0.9703	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.8317	0.0099	0.4257	0.2079	0.8515	1	0.0693	0.8515	0.0396	0.3069	0.0099	0.1782	0.0099	0.2673	0.1683	0.0099	0.5347	0.1287
Species09	0.802	0.0099	0.2475	0.0198	0.0099	0.0594	0.0198	0.0099	1	0.0594	0.0198	0.0396	0.0594	0.6139	0.0099	0.0792	0.0198	0.0099	0.7327	0.3564	0.9406	0.0099	0.6337	0.2079	0.0495	0.0891	0.5248	0.0891	0.3366	0.0297	0.0495	0.0099	0.1287	0.1485	0.3663	0.4752
Species10	0.0297	0.0099	0.0099	0.0099	0.0099	0.0099	0.4653	0.0099	0.0594	1	0.0693	0.2376	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.099	0.3762	0.2376	0.0891	0.0099	0.2376	0.0099	0.5149	0.0099	0.4653	0.0099	0.8911	0.1485	0.0099	0.1485	0.0099
