,Healthy01,Healthy02,Healthy03,Healthy04,Healthy05,Healthy06,Healthy07,Healthy08,Healthy09,Healthy10,Patients01,Patients02,Patients03,Patients04,Patients05,Patients06,Patients07,Patients08,Patients09,Patients10
Pathway1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0251
Pathway2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75882
Pathway3,419.46,457.23,367.448,436.344,438.773,484.538,397.024,318.815,580.013,401.115,386.068,407.085,391.911,487.653,320.623,425.324,434.025,248.595,335.286,323.534
Pathway4,2.21528,0,0,0,0,0,0,0,0,0,0,0.517257,0,0,1.29516,25.7994,4.70057,0,147.172,50.9176
Pathway5,0,2.68419,0,1.9468,1.90883,0,0,0,0,0,0,0,0,0,0,0,16.3015,0,0.801341,6.66901
Pathway6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pathway7,0.495409,0,3.45262,1.39237,4.65838,4.14388,0,0.914987,1.20034,5.68202,0,13.8068,0.972377,1.21887,4.79913,12.0529,25.2802,6.97747,20.6103,14.4738
Pathway8,226.111,142.83,88.3908,120.366,188.74,179.702,155.285,93.0016,223.995,190.615,234.528,247.931,93.1414,237.052,165.621,290.585,195.693,176.512,376.29,278.728
Pathway9,426.033,453.453,412.626,470.045,362.989,436.568,438.601,346.974,528.041,456.673,448.115,437.545,584.498,398.845,416.665,488.25,343.624,339.936,396.726,408.468
Pathway10,54.4462,52.2774,16.583,78.8724,49.4991,20.4361,19.5456,40.7602,18.3946,65.8048,64.5152,171.679,75.1971,66.3711,125.281,172.663,129.573,84.5772,323.599,196.373
Pathway11,2.30448,3.76902,0,0,0,0,0,1.8175,0,0,0,0,0,0,5.53542,43.6572,28.1074,2.35282,291.872,61.1258
Pathway12,290.022,421.468,116.09,248.032,275.3,321.202,71.9167,48.0787,457.854,229.317,281.778,202.727,70.0037,319.16,141.882,54.8962,296.738,15.9081,323.99,46.7397
Pathway13,211.874,135.412,641.018,220.864,347.643,350.56,564.976,219.916,244.666,342.742,350.468,380.835,492.696,302.491,376.564,504.082,226.894,448.013,443.072,346.03
Pathway14,197.384,116.869,666.511,231.885,351.581,357.201,611.485,211.632,233.599,353.097,331.24,392.753,497.19,290.215,377.254,498.389,231.434,472.927,438.395,349.797
Pathway15,385.775,433.671,653.403,413.996,477.405,524.742,490.278,333.121,496.695,476.721,440.033,514.372,545.57,466.378,442.9,614.607,406.141,459.984,427.442,359.659
Pathway16,333.968,386.761,100.159,244.725,299.465,352.113,126.796,366.456,364.648,245.727,317.671,295.171,234.878,346.99,344.617,278.404,348.791,187.139,461.658,268.246
Pathway17,2.42475,4.51842,0,1.68182,2.71941,0,0,0.981202,0,0,0,41.9554,0,0,13.9605,74.8765,36.8469,5.97102,296.75,134.16
Pathway18,87.1141,173.01,55.8875,67.7057,208.862,127.02,38.4158,34.2741,106.533,83.8558,148.318,287.934,59.1958,160.136,138.333,189.211,266.233,58.5671,407.225,196.707
Pathway19,396.534,395.497,481.748,442.132,328.138,423.396,444.358,506.576,445.787,367.564,431.717,562.048,437.922,427.585,412.68,537.398,341.521,387.018,607.701,381.454
Pathway20,298.57,280.554,491.997,322.473,280.935,417.01,352.639,373.294,409.47,402.998,341.848,451.946,469.807,168.142,394.284,479.633,341.212,339.943,458.789,643.509
Pathway21,0.329983,0.915793,0,0,0.53894,0,0,0,0,0,0,8.42969,0,0,2.66951,5.7817,3.99868,1.62544,51.6772,0
Pathway22,0,2.46779,0,0,0,0,0,0,0,0,0.534123,10.1253,0.737862,0,3.41556,31.3175,9.9228,14.4987,9.23506,57.0347
Pathway23,26.8832,8.30251,10.2422,50.1599,8.6643,22.8781,32.4186,7.07676,16.7331,13.5878,34.2064,102.118,67.3381,11.8815,47.4052,70.8177,3.81085,7.79772,0.811395,35.0384
Pathway24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pathway25,143.319,165.603,162.19,128.573,253.846,246.321,50.5809,27.4882,211.665,201.545,190.691,240.83,133.447,198.395,182.171,78.612,204.663,31.2643,348.183,78.6254
Pathway26,403.595,447.257,569.206,444.646,524.322,482.066,451.845,292.814,533.366,439.274,432.77,438.546,506.95,487.605,488.489,453.574,417.587,405.252,273.996,171.179
Pathway27,392.434,457.377,569.352,453.363,554.741,458.348,421.324,391.957,541.593,418.614,409.971,452.485,468.932,468.417,472.8,420.807,416.177,375.34,286.965,165.719
Pathway28,158.752,148.669,89.3027,133.08,118.624,95.5973,88.9755,37.7898,114.078,136.791,137.654,211.844,190.359,149.721,217.855,161.608,152.846,230.781,239.176,133.888
Pathway29,131.198,101.838,115.654,130.251,146,157.266,125.59,77.1339,166.377,147.938,159.797,186.457,137.392,113.92,150.712,153.109,144.839,122.1,320.246,121.506
Pathway30,324.378,296.03,645.178,352.286,419.826,470.48,437.983,301.204,432.571,433.743,415.473,490.582,508.624,422.148,419.907,549.02,407.501,421.745,398.943,347.742
Pathway31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33295,38.7377
Pathway32,78.3051,32.8504,38.4022,32.9979,33.8152,6.78103,16.2493,11.7524,29.9119,4.96157,72.9912,211.218,41.3367,78.7915,100.996,288.897,122.072,100.104,389.308,261.494
Pathway33,1.3278,1.94938,0,1.10681,0,0,0,1.11555,0,0,0,17.0911,0.470723,0,4.27942,6.50346,8.10938,1.42104,58.3988,7.19776
Pathway34,0,0,0,0,1.11255,0,0,0,0,0,0,0.432344,0,0,0,0,0.600148,0.762807,4.40173,0
Pathway35,8.69456,8.3809,15.9053,10.7942,8.80884,0,0,0,0,5.31155,42.999,88.2562,0,0,33.8552,106.364,53.8703,16.6033,253.776,104.113
Pathway36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9186,0.731653
Pathway37,534.184,832.146,489.177,678.439,655.73,680.201,441.276,1089.89,806.133,492.364,570.133,377.99,445.425,623.998,463.336,424.208,498.921,369.806,170.564,297.744
Pathway38,3.03524,6.6117,0,1.76425,1.29769,0,0,2.37489,0,0,0,20.4234,0,0,9.30772,36.641,19.0345,4.58084,99.8959,66.1886
Pathway39,6.56211,11.3756,0,7.92798,11.2626,0,0,4.71355,0,1.73719,0,176.226,1.53874,1.59233,34.9423,128.079,61.8289,33.8115,529.197,149.071
Pathway40,85.054,169.957,54.2072,64.4942,227.316,124.651,39.0758,39.7945,102.019,83.5977,153.158,288.416,65.3092,158.302,155.275,267.016,279.724,127.409,418.932,328.126
Pathway41,2.54931,0,0,0,0,0,0,0,0,0,1.26192,0,0,0,1.52235,75.2709,0,14.3829,0,0
Pathway42,24.8913,59.2708,32.0671,56.5833,42.8112,25.7604,73.1261,35.861,19.9986,74.6104,87.323,136.915,175.484,22.7465,100.099,159.183,159.564,34.1698,388.441,241.989
Pathway43,7.73052,9.6693,34.4769,65.3154,21.4726,6.19605,6.55391,4.71908,10.4026,18.9569,96.053,71.775,68.8025,0,23.8254,57.9124,26.9322,57.4724,235.139,105.271
Pathway44,77.2971,56.5339,30.0476,92.265,34.632,55.2357,37.1023,17.7645,43.2862,57.4983,68.3125,101.102,37.0227,25.6522,65.7186,92.8335,93.5825,17.1736,250.265,175.517
Pathway45,43.302,28.4606,14.3447,70.1617,17.3187,28.9779,22.9989,16.2696,21.1197,30.6768,36.1173,133.404,20.8207,12.5378,40.0918,66.7063,61.6176,9.6135,247.697,117.988
Pathway46,47.7094,22.5961,27.7635,29.3422,34.3809,18.4459,24.9823,11.8297,20.2117,24.8238,46.0925,94.5207,17.5173,43.1058,96.2838,125.079,69.1945,49.2822,195.205,35.2815
Pathway47,12.0187,17.3926,3.79482,16.3071,17.4832,13.3827,1.81448,9.01246,22.8806,3.40015,21.9844,185.736,1.78175,4.65114,52.0154,131.704,78.0068,25.3978,680.969,146.216
Pathway48,5.6271,2.17181,0,2.86969,4.8545,0,0.920409,3.77881,1.26627,0,0,66.5883,1.34204,0,16.4011,4.34777,22.4119,2.82786,143.172,2.13679
Pathway49,43.3743,22.312,107.419,29.8212,67.456,81.2759,52.2135,29.2821,52.2541,41.4266,118.596,90.8371,64.5958,80.4844,114.564,128.71,60.7459,157.025,171.429,130.169
Pathway50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pathway51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4101
Pathway52,97.4028,42.8075,198.881,46.4033,72.281,231.478,121.735,20.6916,101.086,117.725,116.244,177.889,191.08,37.9562,81.5048,157.568,162.83,182.612,500.021,113.474
Pathway53,7.71857,8.36976,3.64104,13.669,13.1199,1.9831,1.72672,5.85562,11.8709,2.3217,17.4235,92.2526,1.43034,3.62344,23.4137,91.0427,56.7144,13.8606,377.525,125.959
Pathway54,12.0187,17.3926,3.79482,16.3071,17.4832,13.3827,1.81448,9.01246,22.8806,3.40015,21.9844,185.736,1.78175,4.65114,52.0154,131.704,78.0068,25.3978,680.969,146.216
Pathway55,222.449,117.152,78.4066,135.788,69.9572,100.385,91.2331,126.997,234.501,206.74,211.622,230.169,108.699,134.919,183.521,285.799,238.486,217.274,374.356,242.461
Pathway56,105.546,67.7108,74.2237,161.281,88.5861,0,0,221.654,102.162,0,174.892,135.047,341.405,32.2243,193.365,317.699,97.8279,241.904,572.5,321.302
Pathway57,80.291,38.1879,85.3971,65.8032,83.9109,92.9246,65.4209,36.8178,60.2929,47.1612,148.099,124.244,126.076,94.4716,138.864,128.561,76.9019,151.373,188.608,51.3623
Pathway58,9.25522,12.6836,5.65535,4.51311,10.2668,0,0,19.2059,2.97102,2.49025,0,76.6756,1.70381,20.1123,53.4661,34.6414,127.933,5.76525,145.182,45.58
Pathway59,172.963,117.367,585.096,217.201,341.811,345.086,384.856,246.934,216.993,344.525,280.721,510.789,406.404,265.228,387.173,444.338,235.539,440.631,527.924,272.224
Pathway60,198.694,154.538,2.68979,1.21598,88.2264,33.1511,62.0238,34.9188,98.8629,37.9384,85.3656,155.084,27.9449,110.177,46.561,192.621,106.047,35.2594,227.412,68.0732
Pathway61,282.643,165.43,722.958,341.352,383.927,421.018,739.937,234.278,331.697,511.008,409.267,297.449,719.567,285.363,326.795,548.508,267.361,374.029,527.441,361.137
Pathway62,3.19428,1.91999,0,1.05389,0,0,0,4.29715,0,0,0,17.2222,0.419867,0,27.7533,6.74542,8.40839,1.51658,62.8145,7.25854
Pathway63,149.772,61.8653,48.0481,61.6299,50.7578,69.2203,51.4161,58.92,152.688,65.745,157.419,137.739,28.8567,94.8473,123.875,209.402,141.823,54.1498,380.363,179.34
Pathway64,1.07673,0,0,1.40996,1.38635,0,0,0,0,0,0,21.9433,0,0,7.23651,27.4816,29.3765,3.20623,87.4405,39.2629
Pathway65,240.679,323.515,79.3612,101.185,195.599,172.211,148.555,102.102,268.923,173.124,233.142,266.066,83.354,281.887,193.142,332.409,265.338,201.999,455.895,299.062
Pathway66,7.08656,14.7738,0,8.06105,10.5143,1.48939,0,12.4806,2.49019,1.77482,0,110.463,3.14466,2.63742,36.1811,109.513,62.5739,22.6207,303.862,130.374
Pathway67,6.52077,8.52463,28.5502,59.5363,9.96814,25.2748,9.60247,0,21.5538,11.8676,23.7446,75.1425,46.919,2.80045,36.2097,87.5673,27.7528,28.41,68.6999,163.438
Pathway68,3.95073,6.18082,0,0,0.884449,0,0,1.6295,0,0,0,54.015,0.491005,0,29.1664,100.204,27.0693,5.64434,451.161,76.0383
Pathway69,4.60755,3.92062,8.68211,4.25114,4.40613,0,0,2.2995,0.582728,0.914139,25.7533,93.0285,1.53435,0,21.0154,69.4267,40.2513,20.7549,351.728,105.411
Pathway70,6.10125,4.61861,7.70499,5.9907,4.40613,13.2447,0,2.99538,1.65046,4.73729,36.29,93.0285,4.26545,2.34064,32.0259,69.4267,32.6986,20.7549,330.256,105.411
Pathway71,7.13605,6.26734,20.8805,6.33008,8.20367,14.2706,1.89188,2.63628,0.699332,7.00317,45.082,94.3342,8.88779,2.61681,45.17,81.5383,58.898,61.1849,410.241,151.231
Pathway72,16.8297,7.01412,0,8.49677,12.3624,0,3.06176,7.63388,4.11412,0,0,127.28,4.29106,0,40.2887,14.4718,58.8016,8.84602,269.084,7.3254
Pathway73,304.73,355.302,99.4276,289.536,323.985,296.934,56.6676,85.5661,291.693,167.719,262.091,270.573,110.718,406.991,124.561,131.493,377.976,19.548,32.9456,113.132
Pathway74,392.347,500.295,382.874,347.439,386.094,477.126,638.825,419.006,520.551,383.626,409.079,349.444,356.965,488.736,366.557,481.364,363.209,290.931,291.933,300.442
Pathway75,5.21688,6.84813,0,7.46007,6.06145,0,1.51268,2.67062,6.16629,2.55995,2.25493,100.682,0.799877,0,33.8546,65.0518,58.0091,22.0823,316.61,140.839
Pathway76,165.689,104.386,276.928,184.646,360.239,215.509,211.031,268.05,196.239,215.517,268.705,270.445,296.566,133.572,151.267,294.07,177.468,297.664,90.0433,200.237
Pathway77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pathway78,400.954,405.405,514.251,440.642,358.297,445.362,474.207,527.843,467.57,385.24,451.631,602.757,458.034,442.068,455.435,586.934,360.48,421.335,685.547,401.756
Pathway79,1.82895,3.74936,0,2.71256,3.05885,0,0,1.74327,0,0,0,15.9306,0,0,7.30733,11.1541,13.8018,3.3153,83.0443,23.1461
Pathway80,11.4443,1.75143,0,5.86532,6.44897,0,2.10144,5.92999,0,0,0,72.2894,0,0.201598,5.87533,13.6627,39.4449,3.94402,111.553,48.5446
