names,variable,deviance_explained,p
status,Species,0.23,0.001
sex,Species,0.03,0.001
age,Species,0.11,0.001
status,Pathways,0.2,0.001
sex,Pathways,0.41,0.001
age,Pathways,0.13,0.001
