ID	i	index	Group
KO1	200	348	KO
KO2	200	455.142857142857	KO
KO3	200	330.025	KO
KO4	200	373.3	KO
KO5	200	302.125	KO
KO6	200	396.157894736842	KO
OE1	200	436.357142857143	OE
OE2	200	481.058823529412	OE
OE3	200	306.970588235294	OE
OE4	200	426.694444444444	OE
OE5	200	519.657894736842	OE
OE6	200	646.133333333333	OE
WT1	200	456.5	WT
WT2	200	368.3	WT
WT3	200	541.038461538462	WT
WT4	200	566.153846153846	WT
WT5	200	435.28125	WT
WT6	200	568.142857142857	WT
KO1	400	652.851351351351	KO
KO2	400	692.661290322581	KO
KO3	400	513.666666666667	KO
KO4	400	555.806451612903	KO
KO5	400	460.403225806452	KO
KO6	400	617.266666666667	KO
OE1	400	818.191176470588	OE
OE2	400	656.594594594595	OE
OE3	400	714.431034482759	OE
OE4	400	666.907407407407	OE
OE5	400	712.620689655172	OE
OE6	400	805.8	OE
WT1	400	768.204545454545	WT
WT2	400	718.891304347826	WT
WT3	400	700.640625	WT
WT4	400	711.666666666667	WT
WT5	400	525.181818181818	WT
WT6	400	779.155172413793	WT
KO1	600	753.666666666667	KO
KO2	600	864.544444444444	KO
KO3	600	698.5	KO
KO4	600	802.882352941176	KO
KO5	600	638.416666666667	KO
KO6	600	752.487804878049	KO
OE1	600	1019.03846153846	OE
OE2	600	972.628205128205	OE
OE3	600	828.011904761905	OE
OE4	600	1037.65714285714	OE
OE5	600	835.297872340426	OE
OE6	600	1091.10975609756	OE
WT1	600	659.368421052632	WT
WT2	600	798.445945945946	WT
WT3	600	882.765957446809	WT
WT4	600	940.216216216216	WT
WT5	600	671.223684210526	WT
WT6	600	940.297619047619	WT
KO1	800	942.34126984127	KO
KO2	800	882.973684210526	KO
KO3	800	714.603773584906	KO
KO4	800	749.011111111111	KO
KO5	800	712.90243902439	KO
KO6	800	777.633333333333	KO
OE1	800	1174.14285714286	OE
OE2	800	1226.69	OE
OE3	800	834.561403508772	OE
OE4	800	1082.62765957447	OE
OE5	800	946.333333333333	OE
OE6	800	975	OE
WT1	800	979.267441860465	WT
WT2	800	733.039215686274	WT
WT3	800	866.75	WT
WT4	800	895.9375	WT
WT5	800	935.5125	WT
WT6	800	1057.12745098039	WT
KO1	1000	1148.49180327869	KO
KO2	1000	952.457142857143	KO
KO3	1000	736.782258064516	KO
KO4	1000	873.285714285714	KO
KO5	1000	868.047619047619	KO
KO6	1000	861.985074626866	KO
OE1	1000	1418.35	OE
OE2	1000	1300.52054794521	OE
OE3	1000	1088.28571428571	OE
OE4	1000	1144.96376811594	OE
OE5	1000	1038.86428571429	OE
OE6	1000	1053.33838383838	OE
WT1	1000	840.282608695652	WT
WT2	1000	740.408333333333	WT
WT3	1000	924.5	WT
WT4	1000	1007.22307692308	WT
WT5	1000	1118.78260869565	WT
WT6	1000	964.257142857143	WT
KO1	1200	1042.05063291139	KO
KO2	1200	920.547368421053	KO
