X_features	Y_features	q.values
X0	Y0	7.36E-09
X0	Y1	0.003910538
X0	Y2	0.659760963
X0	Y3	0.789749191
X0	Y4	0.571136098
X0	Y5	0.57240992
X0	Y6	0.972167428
X0	Y7	0.285808049
X0	Y8	0.975031475
X0	Y9	0.936224045
X0	Y10	0.789749191
X0	Y11	0.972167428
X0	Y12	0.134288385
X0	Y13	0.811042424
X0	Y14	0.470309657
X0	Y15	0.525580087
X1	Y0	0.002953918
X1	Y1	3.23E-05
X1	Y2	0.295129301
X1	Y3	0.193295877
X1	Y4	0.348621442
X1	Y5	0.194953361
X1	Y6	0.909492921
X1	Y7	0.892878342
X1	Y8	0.965244636
X1	Y9	0.718085938
X1	Y10	0.940298351
X1	Y11	0.471919803
X1	Y12	0.972167428
X1	Y13	0.972167428
X1	Y14	0.268355398
X1	Y15	0.419633015
X2	Y0	0.000971551
X2	Y1	0.000309353
X2	Y2	0.000621359
X2	Y3	0.878431067
X2	Y4	0.936224045
X2	Y5	0.816706846
X2	Y6	0.972167428
X2	Y7	0.936224045
X2	Y8	0.972167428
X2	Y9	0.920183875
X2	Y10	0.972167428
X2	Y11	0.633170381
X2	Y12	0.972167428
X2	Y13	0.918217243
X2	Y14	0.90557821
X2	Y15	0.972167428
X3	Y0	0.965244636
X3	Y1	0.972167428
X3	Y2	0.972167428
X3	Y3	1.56E-05
X3	Y4	0.013213722
X3	Y5	0.087332751
X3	Y6	0.790088315
X3	Y7	0.928997719
X3	Y8	0.940298351
X3	Y9	0.892878342
X3	Y10	0.972167428
X3	Y11	0.972167428
X3	Y12	0.945954544
X3	Y13	0.550105434
X3	Y14	0.972167428
X3	Y15	0.540377309
X4	Y0	0.42164597
X4	Y1	0.560497077
X4	Y2	0.965244636
X4	Y3	0.003754985
X4	Y4	6.09E-05
X4	Y5	0.000409205
X4	Y6	0.940298351
X4	Y7	0.936224045
X4	Y8	0.838590542
X4	Y9	0.432742242
X4	Y10	0.728735191
X4	Y11	0.892878342
X4	Y12	0.96587914
X4	Y13	0.972167428
X4	Y14	0.71432087
X4	Y15	0.965891862
X5	Y0	0.183152941
X5	Y1	0.087332751
X5	Y2	0.42164597
X5	Y3	0.141745947
X5	Y4	0.016383621
X5	Y5	1.60E-05
X5	Y6	0.461797398
X5	Y7	0.816706846
X5	Y8	0.406014985
X5	Y9	0.175917896
X5	Y10	0.728735191
X5	Y11	0.721938912
X5	Y12	0.842813475
X5	Y13	0.937855877
X5	Y14	0.727412242
X5	Y15	0.700831069
X6	Y0	0.920183875
X6	Y1	0.972167428
X6	Y2	0.965244636
X6	Y3	0.035578246
X6	Y4	0.892878342
X6	Y5	0.905388105
X6	Y6	5.58E-06
X6	Y7	0.001349498
X6	Y8	0.179801904
X6	Y9	0.758991007
X6	Y10	0.972167428
X6	Y11	0.972167428
X6	Y12	0.972167428
X6	Y13	0.972167428
X6	Y14	0.173926561
X6	Y15	0.208351206
X7	Y0	0.909492921
X7	Y1	0.936224045
X7	Y2	0.972167428
X7	Y3	0.137546516
X7	Y4	0.892878342
X7	Y5	0.972167428
X7	Y6	0.039228615
X7	Y7	1.88E-05
X7	Y8	0.110438316
X7	Y9	0.393756482
X7	Y10	0.972167428
X7	Y11	0.90557821
X7	Y12	0.901725621
X7	Y13	0.972167428
X7	Y14	0.96587914
X7	Y15	0.721938912
X8	Y0	0.962279868
X8	Y1	0.972167428
X8	Y2	0.975031475
X8	Y3	0.087332751
X8	Y4	0.663327759
X8	Y5	0.965244636
X8	Y6	0.237965933
X8	Y7	0.000409205
X8	Y8	0.000446163
X8	Y9	0.936224045
X8	Y10	0.940298351
X8	Y11	0.892878342
X8	Y12	0.747442361
X8	Y13	0.892878342
X8	Y14	0.972167428
X8	Y15	0.470309657
X9	Y0	0.168716655
X9	Y1	0.892878342
X9	Y2	0.738675184
X9	Y3	0.138602146
X9	Y4	0.087332751
X9	Y5	0.067769952
X9	Y6	0.666928446
X9	Y7	0.972167428
X9	Y8	0.936224045
X9	Y9	0.000179137
X9	Y10	0.026931629
X9	Y11	0.318013509
X9	Y12	0.816706846
X9	Y13	0.90557821
X9	Y14	0.972167428
X9	Y15	0.769092797
X10	Y0	0.551299545
X10	Y1	0.972167428
X10	Y2	0.97914102
X10	Y3	0.972167428
X10	Y4	0.965244636
X10	Y5	0.965244636
X10	Y6	0.972167428
X10	Y7	0.920183875
X10	Y8	0.975031475
X10	Y9	0.000394021
X10	Y10	4.03E-10
X10	Y11	1.56E-05
X10	Y12	0.892878342
X10	Y13	0.90557821
X10	Y14	0.972167428
X10	Y15	0.892878342
X11	Y0	0.878431067
X11	Y1	0.965891862
X11	Y2	0.972167428
X11	Y3	0.892878342
X11	Y4	0.892878342
X11	Y5	0.972167428
X11	Y6	0.972167428
X11	Y7	0.972167428
X11	Y8	0.90557821
X11	Y9	0.041200965
X11	Y10	0.000309353
X11	Y11	3.36E-07
X11	Y12	0.936224045
X11	Y13	0.972167428
X11	Y14	0.972167428
X11	Y15	0.931277497
X12	Y0	0.892878342
X12	Y1	0.972167428
X12	Y2	0.909492921
X12	Y3	0.517403541
X12	Y4	0.892878342
X12	Y5	0.57240992
X12	Y6	0.972167428
X12	Y7	0.938130062
X12	Y8	0.399288869
X12	Y9	0.268355398
X12	Y10	0.441695228
X12	Y11	0.772420482
X12	Y12	1.26E-12
X12	Y13	3.64E-05
X12	Y14	0.972167428
X12	Y15	0.700831069
X13	Y0	0.972167428
X13	Y1	0.972167428
X13	Y2	0.668373686
X13	Y3	0.972167428
X13	Y4	0.972167428
X13	Y5	0.892878342
X13	Y6	0.972167428
X13	Y7	0.965244636
X13	Y8	0.515052493
X13	Y9	0.443724909
X13	Y10	0.892878342
X13	Y11	0.936224045
X13	Y12	5.58E-06
X13	Y13	2.76E-12
X13	Y14	0.245677084
X13	Y15	0.940298351
X14	Y0	0.972167428
X14	Y1	0.892878342
X14	Y2	0.972167428
X14	Y3	0.101650658
X14	Y4	0.501950217
X14	Y5	0.631820198
X14	Y6	0.035578246
X14	Y7	0.728735191
X14	Y8	0.920183875
X14	Y9	0.972167428
X14	Y10	0.928997719
X14	Y11	0.892878342
X14	Y12	0.90557821
X14	Y13	0.063828661
X14	Y14	3.96E-11
X14	Y15	3.94E-05
X15	Y0	0.90557821
X15	Y1	0.742673551
X15	Y2	0.596164172
X15	Y3	0.187210884
X15	Y4	0.878431067
X15	Y5	0.972167428
X15	Y6	0.002468944
X15	Y7	0.134288385
X15	Y8	0.153802516
X15	Y9	0.972167428
X15	Y10	0.878431067
X15	Y11	0.727412242
X15	Y12	0.936224045
X15	Y13	0.268355398
X15	Y14	0.000138028
X15	Y15	1.33E-11
