"","from","to","r","linecolor","linesize"
"149","C00074:Phosphoenolpyruvate","Species06",0.31399093721207,"positive",0.31399093721207
"150","C00079:L-Phenylalanine","Species06",0.331195655162453,"positive",0.331195655162453
"164","C01921:Glycocholate","Species06",0.38753891806217,"positive",0.38753891806217
"183","C00147:Adenine","Species07",-0.32051948628677,"negative",0.32051948628677
"241","C00147:Adenine","Species09",-0.303552440484842,"negative",0.303552440484842
"243","C00174:Acid","Species09",-0.33961467354627,"negative",0.33961467354627
"309","C01921:Glycocholate","Species11",0.398714586557961,"positive",0.398714586557961
"344","C06561:Naringenin_chalcone","Species12",0.306487351285116,"positive",0.306487351285116
"351","C00026:2-Oxoglutarate","Species13",0.336734528546447,"positive",0.336734528546447
"352","C00074:Phosphoenolpyruvate","Species13",0.350237105896222,"positive",0.350237105896222
"353","C00079:L-Phenylalanine","Species13",0.583322132193074,"positive",0.583322132193074
"356","C00123:L-Leucine","Species13",0.323823494731067,"positive",0.323823494731067
"367","C01921:Glycocholate","Species13",0.372421738965717,"positive",0.372421738965717
"372","C05852:2-Hydroxyphenylacetate","Species13",0.413208340630053,"positive",0.413208340630053
"373","C06561:Naringenin_chalcone","Species13",0.623470837970577,"positive",0.623470837970577
"389","C00214:Thymidine","Species14",0.372571956897496,"positive",0.372571956897496
"399","C05145:3-Aminoisobutyric_acid","Species14",-0.30019290498667,"negative",0.30019290498667
"447","C00214:Thymidine","Species16",0.330972346968692,"positive",0.330972346968692
"496","C00026:2-Oxoglutarate","Species18",0.309219918474299,"positive",0.309219918474299
"498","C00079:L-Phenylalanine","Species18",0.458731806504666,"positive",0.458731806504666
"501","C00123:L-Leucine","Species18",0.492352945913389,"positive",0.492352945913389
"510","C01194:1-Phosphatidyl-D-myo-inositol","Species18",0.346188909963718,"positive",0.346188909963718
"512","C01921:Glycocholate","Species18",0.543944935006989,"positive",0.543944935006989
"517","C05852:2-Hydroxyphenylacetate","Species18",0.303622489417601,"positive",0.303622489417601
"518","C06561:Naringenin_chalcone","Species18",0.376098566491094,"positive",0.376098566491094
"541","C01921:Glycocholate","Species19",0.399767913676546,"positive",0.399767913676546
"555","C00074:Phosphoenolpyruvate","Species20",0.387056928621973,"positive",0.387056928621973
"556","C00079:L-Phenylalanine","Species20",0.396562672973484,"positive",0.396562672973484
"565","C00526:Deoxyuridine","Species20",-0.314312588295443,"negative",0.314312588295443
"568","C01194:1-Phosphatidyl-D-myo-inositol","Species20",0.315908957182046,"positive",0.315908957182046
"569","C01733:Methionine","Species20",-0.325069313379763,"negative",0.325069313379763
"570","C01921:Glycocholate","Species20",0.415902410152219,"positive",0.415902410152219
"575","C05852:2-Hydroxyphenylacetate","Species20",0.451775325611818,"positive",0.451775325611818
"576","C06561:Naringenin_chalcone","Species20",0.444352028166026,"positive",0.444352028166026
"578","C08493:Indole-3-carboxaldehyde","Species20",-0.31344535408706,"negative",0.31344535408706
"585","C00079:L-Phenylalanine","Species21",0.401509198889548,"positive",0.401509198889548
"588","C00123:L-Leucine","Species21",0.3079848078649,"positive",0.3079848078649
"591","C00174:Acid","Species21",-0.328092746635443,"negative",0.328092746635443
"599","C01921:Glycocholate","Species21",0.488510325894487,"positive",0.488510325894487
"605","C06561:Naringenin_chalcone","Species21",0.410404690314056,"positive",0.410404690314056
"729","C00074:Phosphoenolpyruvate","Species26",0.385878380085438,"positive",0.385878380085438
"730","C00079:L-Phenylalanine","Species26",0.409537680809693,"positive",0.409537680809693
"744","C01921:Glycocholate","Species26",0.445397108479919,"positive",0.445397108479919
"750","C06561:Naringenin_chalcone","Species26",0.458830789144888,"positive",0.458830789144888
"965","C00123:L-Leucine","Species34",0.380551520010779,"positive",0.380551520010779
"976","C01921:Glycocholate","Species34",0.309750812738536,"positive",0.309750812738536
"1023","C00123:L-Leucine","Species36",0.460711908021937,"positive",0.460711908021937
"1081","C00123:L-Leucine","Species38",0.320884981300247,"positive",0.320884981300247
"1257","C00156:4-Hydroxybenzoate","Species44",-0.314254973824868,"negative",0.314254973824868
"1258","C00174:Acid","Species44",-0.302546886938068,"negative",0.302546886938068
"1287","C00174:Acid","Species45",-0.312877269672286,"negative",0.312877269672286
"1294","C01733:Methionine","Species45",-0.324953234807145,"negative",0.324953234807145
"1295","C01921:Glycocholate","Species45",0.308551074178202,"positive",0.308551074178202
"1298","C05145:3-Aminoisobutyric_acid","Species45",-0.34084561836544,"negative",0.34084561836544
"1429","C00123:L-Leucine","Species50",0.357151419837988,"positive",0.357151419837988
"1440","C01921:Glycocholate","Species50",0.443692547246111,"positive",0.443692547246111
"1458","C00123:L-Leucine","Species51",0.375809493022175,"positive",0.375809493022175
"1467","C01194:1-Phosphatidyl-D-myo-inositol","Species51",0.335829207084308,"positive",0.335829207084308
"1469","C01921:Glycocholate","Species51",0.478462497010982,"positive",0.478462497010982
"1588","C05145:3-Aminoisobutyric_acid","Species55",0.317668504716351,"positive",0.317668504716351
"1662","C00147:Adenine","Species58",0.369839769314019,"positive",0.369839769314019
"1663","C00156:4-Hydroxybenzoate","Species58",0.324917390791388,"positive",0.324917390791388
"1664","C00174:Acid","Species58",0.370363541229919,"positive",0.370363541229919
"1667","C00526:Deoxyuridine","Species58",0.305547858490534,"positive",0.305547858490534
"1671","C01733:Methionine","Species58",0.401942991989896,"positive",0.401942991989896
"1674","C02918:1-Methylnicotinamide","Species58",0.309755948197321,"positive",0.309755948197321
"1675","C05145:3-Aminoisobutyric_acid","Species58",0.352353065881153,"positive",0.352353065881153
"1680","C08493:Indole-3-carboxaldehyde","Species58",0.379497571570152,"positive",0.379497571570152
"1682","C11766:Rivastigmine","Species58",0.309755948197321,"positive",0.309755948197321
"1712","C00049:L-Aspartate","Species60",0.573196134110665,"positive",0.573196134110665
"1713","C00037:Glycine","Species60",0.718946382313171,"positive",0.718946382313171
"1717","C00084:Acetaldehyde","Species60",0.693284760504279,"positive",0.693284760504279
"1718","C00106:Uracil","Species60",0.683060733031447,"positive",0.683060733031447
"1720","C00147:Adenine","Species60",0.787387445650341,"positive",0.787387445650341
"1721","C00156:4-Hydroxybenzoate","Species60",0.850453632050609,"positive",0.850453632050609
"1722","C00174:Acid","Species60",0.872945696103212,"positive",0.872945696103212
"1724","C00431:C00431","Species60",0.509227250991637,"positive",0.509227250991637
"1725","C00526:Deoxyuridine","Species60",0.844759186870209,"positive",0.844759186870209
"1726","C00815:Citramalate","Species60",0.589223423102079,"positive",0.589223423102079
"1729","C01733:Methionine","Species60",0.905218569567721,"positive",0.905218569567721
"1730","C01921:Glycocholate","Species60",-0.302232224263429,"negative",0.302232224263429
"1731","C02359:2-Fluorobenzoate","Species60",0.593012844250279,"positive",0.593012844250279
"1732","C02918:1-Methylnicotinamide","Species60",0.788270037171963,"positive",0.788270037171963
"1733","C05145:3-Aminoisobutyric_acid","Species60",0.862513855720646,"positive",0.862513855720646
"1738","C08493:Indole-3-carboxaldehyde","Species60",0.916388366379616,"positive",0.916388366379616
"1739","C09981:Zearalenone","Species60",0.589214375387038,"positive",0.589214375387038
"1740","C11766:Rivastigmine","Species60",0.788270037171963,"positive",0.788270037171963
"1890","C00079:L-Phenylalanine","Species66",0.324972708337693,"positive",0.324972708337693
"1893","C00123:L-Leucine","Species66",0.401586369878543,"positive",0.401586369878543
"1910","C06561:Naringenin_chalcone","Species66",0.300724213899686,"positive",0.300724213899686
"1975","C00026:2-Oxoglutarate","Species69",0.342631577311326,"positive",0.342631577311326
"1976","C00074:Phosphoenolpyruvate","Species69",0.342555357119099,"positive",0.342555357119099
"1977","C00079:L-Phenylalanine","Species69",0.355688499900084,"positive",0.355688499900084
"1989","C01194:1-Phosphatidyl-D-myo-inositol","Species69",0.306963515267785,"positive",0.306963515267785
"1991","C01921:Glycocholate","Species69",0.37893141673668,"positive",0.37893141673668
"2223","C01921:Glycocholate","Species77",0.303670527319487,"positive",0.303670527319487
"2337","C01194:1-Phosphatidyl-D-myo-inositol","Species81",0.310400308587884,"positive",0.310400308587884
"2345","C06561:Naringenin_chalcone","Species81",0.347574022990282,"positive",0.347574022990282
"2350","C00049:L-Aspartate","Species82",0.355995063473874,"positive",0.355995063473874
"2351","C00037:Glycine","Species82",0.403766665229015,"positive",0.403766665229015
"2355","C00084:Acetaldehyde","Species82",0.480620138144742,"positive",0.480620138144742
"2362","C00431:C00431","Species82",0.577282316776266,"positive",0.577282316776266
"2386","C00123:L-Leucine","Species83",0.363128736843353,"positive",0.363128736843353
"2403","C06561:Naringenin_chalcone","Species83",0.317347978114542,"positive",0.317347978114542
"2473","C00123:L-Leucine","Species86",0.31160012919262,"positive",0.31160012919262
"2484","C01921:Glycocholate","Species86",0.412433736299292,"positive",0.412433736299292
