"","rules","support","confidence","coverage","lift","count"
"1","{Zirantong} => {Moyao}",0.111002921129503,0.797202797202797,0.139240506329114,2.33255633255633,114
"2","{Zirantong} => {Ruxiang}",0.109055501460565,0.783216783216783,0.139240506329114,2.17395577395577,112
"3","{Xiejie} => {Moyao}",0.132424537487829,0.834355828220859,0.1587147030185,2.44126334923881,136
"4","{Xiejie} => {Ruxiang}",0.129503407984421,0.815950920245399,0.1587147030185,2.26481512187034,133
"5","{Husuibu} => {Danggui}",0.100292112950341,0.746376811594203,0.134371957156767,1.53921483033584,103
"6","{Taoren} => {Danggui}",0.110029211295034,0.904,0.121713729308666,1.86427309236948,113
"7","{Honghua} => {Danggui}",0.142161635832522,0.858823529411765,0.165530671859786,1.77110796125679,146
"8","{Shengdihuang} => {Danggui}",0.147030185004869,0.803191489361702,0.183057448880234,1.65638084251901,151
"9","{Rougui} => {Danggui}",0.117818889970789,0.817567567567568,0.144109055501461,1.68602789536524,121
"10","{Wuchuan} => {Caowu}",0.105160662122687,0.705882352941177,0.148977604673807,4.53088235294118,108
"11","{Dahuang} => {Danggui}",0.132424537487829,0.772727272727273,0.171372930866602,1.59355604235122,136
"12","{Gancao} => {Danggui}",0.139240506329114,0.74869109947644,0.185978578383642,1.5439874681974,143
"13","{Fangfeng} => {Danggui}",0.103213242453749,0.757142857142857,0.136319376825706,1.56141709695927,106
"14","{Qianghuo} => {Danggui}",0.124634858812074,0.831168831168831,0.149951314508277,1.71407708757106,128
"15","{Chishao} => {Danggui}",0.15968841285297,0.881720430107527,0.181110029211295,1.81832707172777,164
"16","{Chuangong} => {Danggui}",0.190847127555988,0.924528301886792,0.206426484907498,1.90660756232477,196
"17","{Baizhi} => {Danggui}",0.167478091528724,0.788990825688073,0.212268743914314,1.62709553811577,172
"18","{Moyao} => {Ruxiang}",0.308666017526777,0.903133903133903,0.341772151898734,2.50680680680681,317
"19","{Ruxiang} => {Moyao}",0.308666017526777,0.856756756756757,0.360272638753651,2.50680680680681,317
"20","{Moyao,Zirantong} => {Ruxiang}",0.100292112950341,0.903508771929825,0.111002921129503,2.50784732100522,103
"21","{Ruxiang,Zirantong} => {Moyao}",0.100292112950341,0.919642857142857,0.109055501460565,2.69080687830688,103
"22","{Moyao,Xiejie} => {Ruxiang}",0.122687439143135,0.926470588235294,0.132424537487829,2.57158187599364,126
"23","{Ruxiang,Xiejie} => {Moyao}",0.122687439143135,0.947368421052632,0.129503407984421,2.7719298245614,126
"24","{Danggui,Moyao} => {Ruxiang}",0.182083739045764,0.89047619047619,0.204479065238559,2.4716731016731,187
"25","{Danggui,Ruxiang} => {Moyao}",0.182083739045764,0.899038461538462,0.20253164556962,2.63051994301994,187
