"","X.comp1","X.comp2","Y.comp1","Y.comp2"
"g1",0,0,-0.25452354665873,-0.786128545294835
"g2",0,0,0.918343845924221,0.0144446605258005
"g3",0,0,-0.166003434519697,0.340004179861764
"g4",0,0,-0.253584708878586,0.51593644931469
"g5",0,0,-0.25452354665873,-0.786128545294835
"g6",0,0,0.918343845924221,0.0144446605258005
"g7",0,0,-0.166003434519697,0.340004179861764
"g8",0,0,-0.253584708878586,0.51593644931469
"g9",0,0,-0.25452354665873,-0.786128545294835
"g10",0,0,0.918343845924221,0.0144446605258005
"g11",0,0,-0.166003434519697,0.340004179861764
"g12",0,0,-0.253584708878586,0.51593644931469
"g13",0,0,-0.25452354665873,-0.786128545294835
"g14",0,0,0.918343845924221,0.0144446605258005
"g15",0,0,-0.166003434519697,0.340004179861764
"g16",0,0,-0.253584708878586,0.51593644931469
"g17",0,0,-0.25452354665873,-0.786128545294835
"g18",0,0,0.918343845924221,0.0144446605258005
"g19",0,0,-0.166003434519697,0.340004179861764
"g20",0,0,-0.253584708878586,0.51593644931469
"g21",0,0,-0.25452354665873,-0.786128545294835
"g22",0,0,0.918343845924221,0.0144446605258005
"g23",0,0,-0.166003434519697,0.340004179861764
"g24",0,0,-0.253584708878586,0.51593644931469
"g25",0,0,-0.25452354665873,-0.786128545294835
"g26",0,0,0.918343845924221,0.0144446605258005
"g27",0,0,-0.166003434519697,0.340004179861764
"g28",0,0,-0.253584708878586,0.51593644931469
"g29",0,-0.0727901699605243,-0.25452354665873,-0.786128545294835
"g30",0,0,0.918343845924221,0.0144446605258005
"g31",0,0,-0.166003434519697,0.340004179861764
"g32",0,0,-0.253584708878586,0.51593644931469
"g33",0,0,-0.25452354665873,-0.786128545294835
"g34",0,0,0.918343845924221,0.0144446605258005
"g35",0,0,-0.166003434519697,0.340004179861764
"g36",0,-0.0832451307406769,-0.253584708878586,0.51593644931469
"g37",0,0,-0.25452354665873,-0.786128545294835
"g38",0,0,0.918343845924221,0.0144446605258005
"g39",0,0,-0.166003434519697,0.340004179861764
"g40",0,0,-0.253584708878586,0.51593644931469
"g41",0,0,-0.25452354665873,-0.786128545294835
"g42",0,0,0.918343845924221,0.0144446605258005
"g43",0,0,-0.166003434519697,0.340004179861764
"g44",0,0,-0.253584708878586,0.51593644931469
"g45",0,0,-0.25452354665873,-0.786128545294835
"g46",0,0,0.918343845924221,0.0144446605258005
"g47",0,0,-0.166003434519697,0.340004179861764
"g48",0,0,-0.253584708878586,0.51593644931469
"g49",0,0,-0.25452354665873,-0.786128545294835
"g50",0,0,0.918343845924221,0.0144446605258005
"g51",0,0,-0.166003434519697,0.340004179861764
"g52",0,-0.0341023066621821,-0.253584708878586,0.51593644931469
"g53",0,0,-0.25452354665873,-0.786128545294835
"g54",0,0,0.918343845924221,0.0144446605258005
"g55",0,0,-0.166003434519697,0.340004179861764
"g56",0,0,-0.253584708878586,0.51593644931469
"g57",0,0,-0.25452354665873,-0.786128545294835
