SampleID	richness	chao1	ACE	shannon	simpson	invsimpson
KO1	2125	2432.41176470588	2443.64187291288	6.03614007089716	0.989772335555556	97.7740329116086
KO2	2089	2429.51204819277	2419.50909953429	6.07425059475108	0.991335026666667	115.407164168999
KO3	1756	2060.86206896552	2072.54124085386	5.72645043076205	0.988204742222222	84.7798343062918
KO4	1816	2178.55254237288	2180.87639676164	5.73475149824174	0.988824393333333	89.4806009039927
KO5	1643	2019.89824561404	2055.43229178321	5.46585067263713	0.98490846	66.2622899982374
KO6	1944	2241.16923076923	2254.11683293315	5.955793096623	0.991475648888889	117.310982028479
OE1	2297	2470.50285714286	2474.15566529275	6.46193988673766	0.994692591111111	188.415858083501
OE2	2253	2457.67098445596	2481.63130425343	6.21029495503228	0.990729435555556	107.868297123944
OE3	2150	2404.34126984127	2434.03583430309	5.97919188625746	0.989356277777778	93.9520948707376
OE4	2169	2462.45811518325	2493.67594427942	6.08465989741955	0.99189952	123.449474599036
OE5	2194	2440.02313624679	2471.69977813174	6.18772968397927	0.993066966666667	144.237010255251
OE6	2304	2500.83149171271	2509.42272931694	6.44331952051394	0.994845251111111	193.995870905663
WT1	2078	2424.75749318801	2440.97248142814	5.83481274062397	0.98834212	85.7788894721853
WT2	1904	2237.4375	2286.59577221332	5.6261829806275	0.985627426666667	69.5769627893126
WT3	2206	2470.37096774194	2494.3328477489	6.19442974086745	0.99251544	133.608388469062
WT4	2113	2446.18131868132	2460.13262590391	6.00955788380423	0.990806728888889	108.775210467946
WT5	1946	2327.31907894737	2298.72551273354	5.7324844517687	0.988499133333333	86.9499689878444
WT6	2148	2418.6	2436.77428766034	6.07122003147731	0.991459084444444	117.083466461571
