#sample,Soiltype,Bacteria_richness,Fungi_richness,pH,OM,AN,AP,AK,status,Withered,Normal,FAPROTAX,FunGuild
DSN1TBS,Bulk,2462,467,85.3159,85.3159,351.8314835,8.767134779,253.9996,1,0,1,220.4722222,0.838336924
DSN1TRS,Rhizosphere,2466,396,85.3159,85.3159,351.8314835,8.767134779,253.9996,1,0,1,77.29444444,0.939773092
DSN2TBS,Bulk,2444,482,121.6473,121.6473,613.2212331,24.36617182,217.7339,1,0,1,209.8055556,0.764766208
DSN2TRS,Rhizosphere,2925,522,121.6473,121.6473,613.2212331,24.36617182,217.7339,1,0,1,87.23888889,0.749444676
DSN3TBS,Bulk,2559,474,111.5471,111.5471,561.7925618,24.21325343,225.197,1,0,1,75.38888889,0.752799294
DSN3TRS,Rhizosphere,2722,520,111.5471,111.5471,561.7925618,24.21325343,225.197,1,0,1,82,0.860552642
DSN4TBS,Bulk,2823,470,96.3851,96.3851,443.1713766,38.12915127,325.6423,1,0,1,86.38888889,0.697478235
DSN4TRS,Rhizosphere,2684,482,96.3851,96.3851,443.1713766,38.12915127,325.6423,1,0,1,79.83333333,0.862977093
DSN5TBS,Bulk,2305,525,131.9173,131.9173,537.8538949,14.26229941,291.8547,1,0,1,80.77777778,0.593089859
DSN5TRS,Rhizosphere,2389,483,131.9173,131.9173,537.8538949,14.26229941,291.8547,1,0,1,86.44444444,0.782299032
DSN6TBS,Bulk,2025,383,187.4515,187.4515,666.2377936,49.76696473,270.0628,1,0,1,52.33333333,0.732294834
DSN6TRS,Rhizosphere,2054,497,187.4515,187.4515,666.2377936,49.76696473,270.0628,1,0,1,64.23888889,0.649776248
DSN7TBS,Bulk,2282,303,84.1714,84.1714,413.7349198,11.88342412,164.6953,1,0,1,79.36222222,0.865767585
DSN7TRS,Rhizosphere,2720,445,84.1714,84.1714,413.7349198,11.88342412,164.6953,1,0,1,96.22222222,0.865228044
DSW1TBS,Bulk,2574,427,64.5372,64.5372,326.5177216,11.71141669,229.999,2,2,0,77.44444444,0.922859384
DSW1TRS,Rhizosphere,2722,425,64.5372,64.5372,326.5177216,11.71141669,229.999,2,2,0,208.75,0.943346583
DSW2TBS,Bulk,2652,492,94.4116,94.4116,487.2946185,24.17713316,225.7556,2,2,0,55.69444444,0.928970078
DSW2TRS,Rhizosphere,2908,525,94.4116,94.4116,487.2946185,24.17713316,225.7556,2,2,0,92.63888889,0.759284049
DSW3TBS,Bulk,2562,242,99.766,99.766,458.4289186,5.991178525,213.3653,2,2,0,77.22222222,0.872826054
DSW3TRS,Rhizosphere,2742,489,99.766,99.766,458.4289186,5.991178525,213.3653,2,2,0,73.42666667,0.883740083
DSW4TBS,Bulk,2756,573,123.8183,123.8183,552.7656477,31.69632735,415.8657,2,2,0,82.58333333,0.704042323
DSW4TRS,Rhizosphere,2784,576,123.8183,123.8183,552.7656477,31.69632735,415.8657,2,2,0,72.23888889,0.798220207
DSW5TBS,Bulk,2622,454,77.5365,77.5365,396.3195475,13.63418535,177.1355,2,2,0,65.02777778,0.77265828
DSW5TRS,Rhizosphere,2833,458,77.5365,77.5365,396.3195475,13.63418535,177.1355,2,2,0,76.38888889,0.902553587
DSW6TBS,Bulk,2972,502,123.5586,123.5586,551.6159915,87.19583126,254.2826,2,2,0,72.38888889,0.730926649
DSW6TRS,Rhizosphere,2662,480,123.5586,123.5586,551.6159915,87.19583126,254.2826,2,2,0,98.58333333,0.894878235
DSW7TBS,Bulk,2533,433,114.1327,114.1327,493.5718192,11.35923227,121.1487,2,2,0,66.58333333,0.809824609
DSW7TRS,Rhizosphere,2553,450,114.1327,114.1327,493.5718192,11.35923227,121.1487,2,2,0,64.47222222,0.840463003
ZPN1TBS,Bulk,2623,438,44.17,44.17,197.6151476,24.19996117,110.6808,1,0,1,67.62222222,0.82295904
ZPN1TRS,Rhizosphere,2533,422,44.17,44.17,197.6151476,24.19996117,110.6808,1,0,1,93.33333333,0.787225667
ZPN2TBS,Bulk,2727,350,47.825,47.825,173.9715212,6.618525833,83.8768,1,0,1,70.97222222,0.724729997
ZPN2TRS,Rhizosphere,2648,368,47.825,47.825,173.9715212,6.618525833,83.8768,1,0,1,82.02777778,0.770400636
ZPN3TBS,Bulk,2343,383,41.6985,41.6985,198.9162141,12.54859768,113.769,1,0,1,52.55555556,0.604222742
ZPN3TRS,Rhizosphere,2372,403,41.6985,41.6985,198.9162141,12.54859768,113.769,1,0,1,66.69444444,0.762429932
ZPN4TBS,Bulk,2543,422,41.1274,41.1274,211.2161924,112.316138,233.4233,1,0,1,55.08333333,0.782429893
ZPN4TRS,Rhizosphere,2244,426,41.1274,41.1274,211.2161924,112.316138,233.4233,1,0,1,95.30555556,0.962552044
ZPN5TBS,Bulk,2043,426,38.8699,38.8699,216.859913,11.72841516,165.233,1,0,1,50.22222222,0.926702223
ZPN5TRS,Rhizosphere,2620,425,38.8699,38.8699,216.859913,11.72841516,165.233,1,0,1,200.9266667,0.853598893
ZPN6TBS,Bulk,2623,363,29.4311,29.4311,115.9212985,3.244781741,250.6747,1,0,1,36.23888889,0.949048569
ZPN6TRS,Rhizosphere,2702,393,29.4311,29.4311,115.9212985,3.244781741,250.6747,1,0,1,67.44444444,0.928379826
ZPN7TBS,Bulk,2606,427,46.5642,46.5642,237.9916853,64.88913297,239.2395,1,0,1,52.86222222,0.860225708
ZPN7TRS,Rhizosphere,2597,362,46.5642,46.5642,237.9916853,64.88913297,239.2395,1,0,1,87.75,0.93654373
ZPW1TBS,Bulk,2593,387,51.7321,51.7321,245.1776112,21.75716294,155.8862,2,2,0,69.88888889,0.652722584
ZPW1TRS,Rhizosphere,2600,402,51.7321,51.7321,245.1776112,21.75716294,155.8862,2,2,0,92.69444444,0.777827302
ZPW2TBS,Bulk,2672,384,37.1638,37.1638,144.9463223,12.2834345,228.851,2,2,0,55.66666667,0.792708292
ZPW2TRS,Rhizosphere,2622,382,37.1638,37.1638,144.9463223,12.2834345,228.851,2,2,0,78.80555556,0.800026028
ZPW3TBS,Bulk,2682,450,35.7945,35.7945,173.6381195,36.31394512,111.6642,2,2,0,57.75,0.738283866
ZPW3TRS,Rhizosphere,2777,422,35.7945,35.7945,173.6381195,36.31394512,111.6642,2,2,0,77.36222222,0.827863323
ZPW4TBS,Bulk,2888,479,58.1943,58.1943,277.1164448,16.16445632,163.5057,2,2,0,63.52777778,0.725403294
ZPW4TRS,Rhizosphere,2006,436,58.1943,58.1943,277.1164448,16.16445632,163.5057,2,2,0,203.2222222,0.844673292
ZPW5TBS,Bulk,2660,379,72.4147,72.4147,356.2175253,192.3193334,235.2906,2,2,0,30.5,0.906522722
ZPW5TRS,Rhizosphere,2600,442,72.4147,72.4147,356.2175253,192.3193334,235.2906,2,2,0,79.38888889,0.862099209
ZPW6TBS,Bulk,2793,439,51.7764,51.7764,237.1264253,9.621721135,138.586,2,2,0,58.22222222,0.872695752
ZPW6TRS,Rhizosphere,2220,402,51.7764,51.7764,237.1264253,9.621721135,138.586,2,2,0,97.22222222,0.928522336
ZPW7TBS,Bulk,2679,469,52.9519,52.9519,291.2598791,7.856148473,244.5909,2,2,0,47.52777778,0.822879833
ZPW7TRS,Rhizosphere,2720,427,52.9519,52.9519,291.2598791,7.856148473,244.5909,2,2,0,92,0.697200936
