X_features	Y_features	association	p-values	q-values
X0	Y0	0.75875150060024	1.72514752935411e-10	7.360629458577536e-09
X0	Y1	0.47515006002400956	0.0004888172137947008	0.0039105377103576065
X0	Y2	0.16398559423769507	0.25514193499628157	0.6597609632227079
X0	Y3	0.12921968787515006	0.37112486503493036	0.7897491914951426
X0	Y4	0.18136854741896757	0.2074830356872076	0.5711360982357543
X0	Y5	0.18021608643457382	0.21043410218481773	0.5724099195863718
X0	Y6	-0.03279711884753902	0.8211191874364518	0.9721674283495674
X0	Y7	-0.25330132052821125	0.07591776313339742	0.2858080494433785
X0	Y8	0.0052340936374549825	0.9712227578351469	0.9750314745325396
X0	Y9	-0.06948379351740695	0.6315987410557464	0.9362240451170357
X0	Y10	-0.12864345738295319	0.37327989129262595	0.7897491914951426
X0	Y11	0.018103241296518604	0.9006963927911024	0.9721674283495674
X0	Y12	-0.3153421368547419	0.025703636157753368	0.13428838482418087
X0	Y13	-0.12432172869147658	0.3896805398051253	0.8110424243098543
X0	Y14	-0.2053781512605042	0.15248320921458566	0.4703096573365534
X0	Y15	-0.19241296518607443	0.18066815479989504	0.5255800866906037
X1	Y0	0.48600240096038416	0.00034616222922012244	0.002953917689345045
X1	Y1	0.617671068427371	1.76616740825935e-06	3.229563260817097e-05
X1	Y2	0.25032412965186074	0.07954656945356582	0.2951293011610558
X1	Y3	0.2844177671068427	0.0453037212343839	0.19329587726670464
X1	Y4	0.23755102040816325	0.09668797802947016	0.3486214419090755
X1	Y5	0.28297719087635054	0.04645373054759285	0.19495336098661917
X1	Y6	-0.0811044417767107	0.5755384891432878	0.9094929211153189
X1	Y7	-0.09656662665066026	0.5046953555630573	0.89287834235078
X1	Y8	-0.049219687875150055	0.7342792173788053	0.9652446357780742
X1	Y9	0.15034813925570228	0.29733245851279005	0.7180859375403231
X1	Y10	0.058439375750300115	0.6868585612891065	0.9402983512834827
X1	Y11	0.20422569027611043	0.15484868543635927	0.47191980323461874
X1	Y12	0.007923169267707083	0.9564499314163795	0.9721674283495674
X1	Y13	-0.03683073229291716	0.7995483749133704	0.9721674283495674
X1	Y14	-0.25896758703481393	0.06937352960893627	0.2683553978062863
X1	Y15	-0.22103241296518605	0.12293935979895934	0.4196330147804479
X2	Y0	0.5216326530612244	0.00010246825721050404	0.0009715508831810754
X2	Y1	0.5581272509003601	2.5376617182070332e-05	0.0003093530475528574
X2	Y2	0.5347899159663866	6.310673631790082e-05	0.0006213586345147157
X2	Y3	0.11087635054021608	0.4433477830200857	0.8784310665023163
X2	Y4	0.06439375750300119	0.6568419236628033	0.9362240451170357
X2	Y5	0.1221128451380552	0.39822437393950594	0.8167068460754802
X2	Y6	-0.019927971188475387	0.8907450376619869	0.9721674283495674
X2	Y7	-0.07015606242496998	0.6282948246159519	0.9362240451170357
X2	Y8	0.016086434573829533	0.9117128093624183	0.9721674283495674
X2	Y9	0.07611044417767106	0.5993517372477798	0.9201838754859198
X2	Y10	0.019543817527010805	0.8928387273266257	0.9721674283495674
X2	Y11	0.16840336134453782	0.24238553640911495	0.6331703808238105
X2	Y12	0.029531812725090034	0.8386785296382457	0.9721674283495674
X2	Y13	0.07918367346938776	0.5846461351085562	0.9182172428698797
X2	Y14	-0.0875390156062425	0.5455109665291389	0.9055782102048121
X2	Y15	-0.030684273709483793	0.8324717662389532	0.9721674283495674
X3	Y0	0.04816326530612245	0.7397800145409038	0.9652446357780742
X3	Y1	0.03423769507803121	0.8133993948322712	0.9721674283495674
X3	Y2	0.011956782713085232	0.9343193556460773	0.9721674283495674
X3	Y3	0.6365906362545017	6.719077139251794e-07	1.5637124978622357e-05
X3	Y4	0.4326050420168067	0.0017033314014406687	0.013213722386933672
X3	Y5	0.34232893157262906	0.01495656533199683	0.08733275112189287
X3	Y6	-0.12777911164465786	0.3765264623849276	0.790088314512635
X3	Y7	-0.0739015606242497	0.6100205018611946	0.9289977191756884
X3	Y8	0.058439375750300115	0.6868585612891065	0.9402983512834827
X3	Y9	0.10127250900360144	0.484055476875917	0.89287834235078
X3	Y10	0.036350540216086434	0.8021089117393997	0.9721674283495674
X3	Y11	0.009267707082833133	0.9490686391608111	0.9721674283495674
X3	Y12	-0.05690276110444177	0.6946853683372958	0.9459545441188708
X3	Y13	-0.1870348139255702	0.193396441571529	0.5501054338034602
X3	Y14	-0.0319327731092437	0.8257591788134113	0.9721674283495674
X3	Y15	-0.18933973589435774	0.1878655489621013	0.5403773093741341
