,module1,module2,Both,P1A2,P2A1,A1A2,p_raw,p_adj
Var1,KO,OE,165,114,108,59,0.896503118926896,0.896503118926896
Var11,KO,WT,160,119,118,49,0.998311995221111,0.998311995221111
Var12,OE,WT,174,99,104,69,0.251565027329233,0.251565027329233
