ASV.name,igraph.degree.KO,igraph.closeness.KO,igraph.betweenness.KO,igraph.cen.degree.KO,Group.KO,igraph.degree.OE,igraph.closeness.OE,igraph.betweenness.OE,igraph.cen.degree.OE,Group.OE,igraph.degree.WT,igraph.closeness.WT,igraph.betweenness.WT,igraph.cen.degree.WT,Group.WT
ASV_180,2,1,0,2,KO,3,1,0,3,OE,1,1,0,1,WT
ASV_378,2,1,0,2,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_20,4,1,0,4,KO,NA,NA,NA,NA,NA,4,1,0,4,WT
ASV_193,4,1,0,4,KO,NA,NA,NA,NA,NA,2,1,0,2,WT
ASV_309,4,1,0,4,KO,NA,NA,NA,NA,NA,2,1,0,2,WT
ASV_417,4,1,0,4,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_39,3,1,0,3,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_60,3,1,0,3,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_143,3,1,0,3,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
ASV_140,2,1,0,2,KO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV_260,2,1,0,2,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_148,2,1,0,2,KO,NA,NA,NA,NA,NA,4,1,0,4,WT
ASV_186,2,1,0,2,KO,2,1,0,2,OE,2,1,0,2,WT
ASV_62,6,1,0,6,KO,NA,NA,NA,NA,NA,2,1,0,2,WT
ASV_55,6,1,0,6,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_122,6,1,0,6,KO,3,1,0,3,OE,1,1,0,1,WT
ASV_224,6,1,0,6,KO,3,1,0,3,OE,NA,NA,NA,NA,NA
ASV_248,6,1,0,6,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_395,6,1,0,6,KO,1,1,0,1,OE,NA,NA,NA,NA,NA
ASV_135,4,1,0,4,KO,1,1,0,1,OE,1,1,0,1,WT
ASV_344,4,1,0,4,KO,NA,NA,NA,NA,NA,1,1,0,1,WT
