,module1,module2,Both,P1A2,P2A1,A1A2,p_raw,p_adj,m1,m2,cross
KOmodel_32-OEmodel_4,KOmodel_32,OEmodel_4,1,2,4,380,0.0383590783638981,0.0383590783638981,KO,OE,KO_Vs_OE
KOmodel_40-OEmodel_4,KOmodel_40,OEmodel_4,1,2,4,380,0.0383590783638981,0.0383590783638981,KO,OE,KO_Vs_OE
KOmodel_1-OEmodel_12,KOmodel_1,OEmodel_12,2,5,2,378,0.00165785308197045,0.00165785308197045,KO,OE,KO_Vs_OE
KOmodel_19-OEmodel_9,KOmodel_19,OEmodel_9,1,3,3,380,0.0408633515973255,0.0408633515973255,KO,OE,KO_Vs_OE
KOmodel_25-OEmodel_8,KOmodel_25,OEmodel_8,1,3,3,380,0.0408633515973255,0.0408633515973255,KO,OE,KO_Vs_OE
KOmodel_28-OEmodel_8,KOmodel_28,OEmodel_8,1,2,3,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_42-OEmodel_6,KOmodel_42,OEmodel_6,1,2,3,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_38-OEmodel_6,KOmodel_38,OEmodel_6,1,2,3,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_26-OEmodel_10,KOmodel_26,OEmodel_10,1,2,3,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_3-OEmodel_15,KOmodel_3,OEmodel_15,1,5,2,379,0.0459112321987369,0.0459112321987369,KO,OE,KO_Vs_OE
KOmodel_22-OEmodel_15,KOmodel_22,OEmodel_15,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_5-OEmodel_17,KOmodel_5,OEmodel_17,1,5,2,379,0.0459112321987369,0.0459112321987369,KO,OE,KO_Vs_OE
KOmodel_27-OEmodel_17,KOmodel_27,OEmodel_17,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_19-OEmodel_27,KOmodel_19,OEmodel_27,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_37-OEmodel_27,KOmodel_37,OEmodel_27,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_6-OEmodel_18,KOmodel_6,OEmodel_18,1,5,2,379,0.0459112321987369,0.0459112321987369,KO,OE,KO_Vs_OE
KOmodel_21-OEmodel_14,KOmodel_21,OEmodel_14,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_16-OEmodel_21,KOmodel_16,OEmodel_21,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_21-OEmodel_21,KOmodel_21,OEmodel_21,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_11-OEmodel_30,KOmodel_11,OEmodel_30,1,4,2,380,0.0383590783638982,0.0383590783638982,KO,OE,KO_Vs_OE
KOmodel_23-OEmodel_30,KOmodel_23,OEmodel_30,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_44-OEmodel_30,KOmodel_44,OEmodel_30,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_19-OEmodel_29,KOmodel_19,OEmodel_29,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_12-OEmodel_22,KOmodel_12,OEmodel_22,1,4,2,380,0.0383590783638982,0.0383590783638982,KO,OE,KO_Vs_OE
KOmodel_44-OEmodel_22,KOmodel_44,OEmodel_22,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_16-OEmodel_23,KOmodel_16,OEmodel_23,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_41-OEmodel_16,KOmodel_41,OEmodel_16,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_37-OEmodel_19,KOmodel_37,OEmodel_19,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_29-OEmodel_28,KOmodel_29,OEmodel_28,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_12-OEmodel_34,KOmodel_12,OEmodel_34,1,4,2,380,0.0383590783638982,0.0383590783638982,KO,OE,KO_Vs_OE
KOmodel_38-OEmodel_34,KOmodel_38,OEmodel_34,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_17-OEmodel_31,KOmodel_17,OEmodel_31,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_41-OEmodel_31,KOmodel_41,OEmodel_31,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_3-OEmodel_13,KOmodel_3,OEmodel_13,1,5,2,379,0.0459112321987369,0.0459112321987369,KO,OE,KO_Vs_OE
KOmodel_6-OEmodel_13,KOmodel_6,OEmodel_13,1,5,2,379,0.0459112321987369,0.0459112321987369,KO,OE,KO_Vs_OE
KOmodel_11-OEmodel_20,KOmodel_11,OEmodel_20,1,4,2,380,0.0383590783638982,0.0383590783638982,KO,OE,KO_Vs_OE
KOmodel_40-OEmodel_41,KOmodel_40,OEmodel_4,1,2,4,380,0.0383590783638981,0.0383590783638981,KO,OE,KO_Vs_OE
KOmodel_1-OEmodel_121,KOmodel_1,OEmodel_12,2,5,2,378,0.00165785308197045,0.00165785308197045,KO,OE,KO_Vs_OE
KOmodel_19-OEmodel_91,KOmodel_19,OEmodel_9,1,3,3,380,0.0408633515973255,0.0408633515973255,KO,OE,KO_Vs_OE
KOmodel_25-OEmodel_81,KOmodel_25,OEmodel_8,1,3,3,380,0.0408633515973255,0.0408633515973255,KO,OE,KO_Vs_OE
KOmodel_28-OEmodel_81,KOmodel_28,OEmodel_8,1,2,3,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_42-OEmodel_61,KOmodel_42,OEmodel_6,1,2,3,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_38-OEmodel_61,KOmodel_38,OEmodel_6,1,2,3,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_26-OEmodel_101,KOmodel_26,OEmodel_10,1,2,3,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_3-OEmodel_151,KOmodel_3,OEmodel_15,1,5,2,379,0.0459112321987369,0.0459112321987369,KO,OE,KO_Vs_OE
KOmodel_22-OEmodel_151,KOmodel_22,OEmodel_15,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_5-OEmodel_171,KOmodel_5,OEmodel_17,1,5,2,379,0.0459112321987369,0.0459112321987369,KO,OE,KO_Vs_OE
KOmodel_27-OEmodel_171,KOmodel_27,OEmodel_17,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_19-OEmodel_271,KOmodel_19,OEmodel_27,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_37-OEmodel_271,KOmodel_37,OEmodel_27,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_6-OEmodel_181,KOmodel_6,OEmodel_18,1,5,2,379,0.0459112321987369,0.0459112321987369,KO,OE,KO_Vs_OE
KOmodel_21-OEmodel_141,KOmodel_21,OEmodel_14,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_16-OEmodel_211,KOmodel_16,OEmodel_21,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_21-OEmodel_211,KOmodel_21,OEmodel_21,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_11-OEmodel_301,KOmodel_11,OEmodel_30,1,4,2,380,0.0383590783638982,0.0383590783638982,KO,OE,KO_Vs_OE
KOmodel_23-OEmodel_301,KOmodel_23,OEmodel_30,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_44-OEmodel_301,KOmodel_44,OEmodel_30,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_19-OEmodel_291,KOmodel_19,OEmodel_29,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_12-OEmodel_221,KOmodel_12,OEmodel_22,1,4,2,380,0.0383590783638982,0.0383590783638982,KO,OE,KO_Vs_OE
KOmodel_44-OEmodel_221,KOmodel_44,OEmodel_22,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_16-OEmodel_231,KOmodel_16,OEmodel_23,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_41-OEmodel_161,KOmodel_41,OEmodel_16,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_37-OEmodel_191,KOmodel_37,OEmodel_19,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_29-OEmodel_281,KOmodel_29,OEmodel_28,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_12-OEmodel_341,KOmodel_12,OEmodel_34,1,4,2,380,0.0383590783638982,0.0383590783638982,KO,OE,KO_Vs_OE
KOmodel_38-OEmodel_341,KOmodel_38,OEmodel_34,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_17-OEmodel_311,KOmodel_17,OEmodel_31,1,3,2,381,0.0307671763509816,0.0307671763509816,KO,OE,KO_Vs_OE
KOmodel_41-OEmodel_311,KOmodel_41,OEmodel_31,1,2,2,382,0.0231354218340603,0.0231354218340603,KO,OE,KO_Vs_OE
KOmodel_3-OEmodel_131,KOmodel_3,OEmodel_13,1,5,2,379,0.0459112321987369,0.0459112321987369,KO,OE,KO_Vs_OE
KOmodel_6-OEmodel_131,KOmodel_6,OEmodel_13,1,5,2,379,0.0459112321987369,0.0459112321987369,KO,OE,KO_Vs_OE
KOmodel_11-OEmodel_201,KOmodel_11,OEmodel_20,1,4,2,380,0.0383590783638982,0.0383590783638982,KO,OE,KO_Vs_OE
KOmodel_29-WTmodel_2,KOmodel_29,WTmodel_2,1,2,4,390,0.0374026912623351,0.0374026912623351,KO,WT,KO_Vs_WT
KOmodel_38-WTmodel_6,KOmodel_38,WTmodel_6,1,2,4,390,0.0374026912623351,0.0374026912623351,KO,WT,KO_Vs_WT
KOmodel_19-WTmodel_1,KOmodel_19,WTmodel_1,1,3,4,389,0.0496183931498688,0.0496183931498688,KO,WT,KO_Vs_WT
KOmodel_42-WTmodel_8,KOmodel_42,WTmodel_8,1,2,3,391,0.0299980965797373,0.0299980965797373,KO,WT,KO_Vs_WT
KOmodel_34-WTmodel_8,KOmodel_34,WTmodel_8,1,2,3,391,0.0299980965797373,0.0299980965797373,KO,WT,KO_Vs_WT
KOmodel_9-WTmodel_9,KOmodel_9,WTmodel_9,1,4,3,389,0.0496183931498685,0.0496183931498685,KO,WT,KO_Vs_WT
KOmodel_26-WTmodel_9,KOmodel_26,WTmodel_9,1,2,3,391,0.0299980965797373,0.0299980965797373,KO,WT,KO_Vs_WT
KOmodel_25-WTmodel_15,KOmodel_25,WTmodel_15,1,3,3,390,0.0398458316398416,0.0398458316398416,KO,WT,KO_Vs_WT
KOmodel_29-WTmodel_15,KOmodel_29,WTmodel_15,1,2,3,391,0.0299980965797373,0.0299980965797373,KO,WT,KO_Vs_WT
KOmodel_32-WTmodel_12,KOmodel_32,WTmodel_12,1,2,3,391,0.0299980965797373,0.0299980965797373,KO,WT,KO_Vs_WT
KOmodel_30-WTmodel_14,KOmodel_30,WTmodel_14,1,2,3,391,0.0299980965797373,0.0299980965797373,KO,WT,KO_Vs_WT
