gene_id,logFC,logCPM,LR,PValue,FDR,log10FDR,DEG
ATP2A1,-6.38030077670782,6.14197246326083,172.55544299181,2.04670851166403e-39,3.48758021811511e-38,37.4574757943609,down
DES,-6.35010103702372,6.70437598147249,208.798229546201,2.51224249186109e-47,6.43215859971108e-46,45.1916432555951,down
TNNT3,-6.26933404946166,5.63208136681316,227.415547534292,2.18264017520219e-51,7.21848724434806e-50,49.1415538066226,down
ASB11,-6.21039526266976,0.460112694222576,129.785272373729,4.56593182410976e-30,4.51356528472877e-29,28.3454802714733,down
TRDN,-6.20700571522349,4.86685744508076,177.82293956164,1.44802679696245e-40,2.63133129429249e-39,38.5798244691985,down
TNNI2,-5.97648262421937,5.03337650568034,189.960656965499,3.24278967619588e-43,6.71724531444427e-42,41.1728087909355,down
APOBEC2,-5.95838008992061,2.70641583260554,158.820385632518,2.04826269082041e-36,2.93903508566523e-35,34.5317952293681,down
LEP,-5.94567833801602,7.54611783224837,245.9714139214,1.96216634497969e-55,8.01685106663129e-54,53.0959961844506,down
ACTN2,-5.88114098231212,6.56352287597166,106.533915944425,5.63203214415378e-25,4.10503866215066e-24,23.386682748245,down
TNNI1,-5.85477162173847,5.8474252586592,161.512607023762,5.28653773632811e-37,7.86356866122375e-36,35.1043803167919,down
CA3,-5.83937551172297,6.43670335960987,204.460375387578,2.22090688583538e-46,5.4057818667993e-45,44.2671414828616,down
MYBPC2,-5.8239263991446,4.3839257048102,121.292258023365,3.29787919889637e-28,2.9153854470609e-27,26.5353040184469,down
SMPX,-5.75161001139331,1.89537168293932,71.5967371923846,2.63992852317064e-17,1.19499498329422e-16,15.9226339179227,down
FBXO40,-5.69314544832207,1.81366212808486,93.3146602809933,4.46075706359244e-22,2.72827056564993e-21,20.5641125624093,down
MYOZ1,-5.66954809172013,4.81272446184558,191.348616108503,1.61421960060034e-43,3.39972208434388e-42,41.4685565835957,down
C4orf54,-5.61415605993539,1.8315672667627,79.85214602409,4.03501767531529e-19,2.045796229902e-18,17.6891376260668,down
UNC45B,-5.61218724108931,2.07721007218015,183.526496040251,8.23158435775366e-42,1.59486154823667e-40,39.7972770125734,down
LDB3,-5.50949337990385,5.58465020113918,216.307977100281,5.77747803385288e-49,1.63931868270586e-47,46.7853366115991,down
HHATL,-5.46496310210077,0.869326408024261,144.729777755658,2.46058636327968e-33,2.9701696686342e-32,31.5272187412394,down
CAV3,-5.42464618281881,0.322080827569585,166.317491145693,4.71534714441761e-38,7.42187973300203e-37,36.1294860874053,down
RPL3L,-5.37185611618151,2.65139930572899,162.123660595,3.88751956469275e-37,5.83081599548195e-36,35.2342706635023,down
CSN1S1,-5.30794985066029,3.52799823735091,89.2388711779246,3.4990573718061e-21,2.02400082587028e-20,19.6937893146233,down
MYL3,-5.29367966856537,4.09276465734079,207.874682614991,3.99540496205861e-47,1.01265208544905e-45,44.9945397385714,down
GLYAT,-5.29352830849766,3.74931868340317,238.198599011718,9.7162211622792e-54,3.67173955273638e-52,51.4351281321606,down
FP325317.1,-5.28079478120695,0.863836685591391,198.376897546889,4.72102425165496e-45,1.06851383422349e-43,42.9712198505818,down
PLIN4,-5.23156083714499,10.054456648994,280.081040614585,7.21001209852062e-63,4.36205731960497e-61,60.3603086318741,down
SMYD1,-5.20523510844645,4.17975995113908,181.670761234435,2.09235060513512e-41,3.96239879834768e-40,39.4020418167314,down
C14orf180,-5.18598148366132,2.84467436027599,210.120348381589,1.29303188764387e-47,3.389898598773e-46,45.4698132925497,down
SLC36A2,-5.17687317811376,-0.492869043610788,162.206004060308,3.72977805138465e-37,5.59755837789201e-36,35.252001368394,down
LINCADL,-5.14462924934586,3.09285365293322,184.628373376486,4.73072527679462e-42,9.25119609684281e-41,40.0338021132419,down
CA4,-5.14153705093837,3.61831921089035,276.022164229308,5.52659038644811e-62,3.2197506214381e-60,59.4921777643065,down
ENO3,-5.11619589030519,5.98536519013432,176.955308697456,2.23991063193507e-40,4.02959762577139e-39,38.3947383180355,down
MYOZ2,-5.11488745454382,1.59015324947463,188.756405879412,5.93998501092231e-43,1.21148738050966e-41,40.9166811053429,down
LMOD3,-5.09161477226361,3.31512877153614,174.310440398009,8.46818664429349e-40,1.48210932867579e-38,37.8291197591844,down
AL356218.2,-5.03214262435516,0.869008623838088,257.150824868509,7.17102462507371e-58,3.31156601401569e-56,55.4799665831395,down
HSPB7,-4.98818581493362,6.17099805726313,335.399828711402,6.40804981897008e-75,7.29763791148592e-73,72.1368176889222,down
GPD1,-4.98151175581898,8.57475505844081,250.801040634605,1.73702750003109e-56,7.46032561788098e-55,54.1272422166342,down
CIDEC,-4.95016923227355,7.35639046014298,195.952342544892,1.59648760930274e-44,3.52459650446767e-43,42.4528905938253,down
MYLK2,-4.93589978410666,2.46549426816392,100.58318444857,1.13527484616986e-23,7.6397319059901e-23,22.1169218814494,down
PLIN1,-4.9326851378083,9.25182535180575,247.137449629025,1.09273685443424e-55,4.48646022062006e-54,53.3480961785854,down
KCNIP2,-4.92725194464993,5.80992684184166,337.822133844654,1.90184675769391e-75,2.22631066035536e-73,72.6524142341323,down
CASQ1,-4.9220998583642,4.81744457407002,129.828141369542,4.46837784255386e-30,4.41938554532674e-29,28.354638109118,down
ACTN3,-4.9160644653405,3.2698790312609,83.6034611212898,6.04671083407022e-20,3.21741264845411e-19,18.4924932351957,down
AQP7,-4.90347786767368,6.0056894273747,266.752607067315,5.79001898428164e-60,3.04223794982047e-58,57.5168068204433,down
CSF3,-4.87645398092858,0.601405657903122,166.450401434497,4.41043202247815e-38,6.95499706401817e-37,36.1577030490049,down
AL845331.1,-4.8729540993299,0.635357247722783,197.26417912727,8.25789488395705e-45,1.84741954168383e-43,42.7334344667971,down
FABP4,-4.86056711024316,9.78165100046167,244.02761066572,5.2063862690081e-55,2.07990999394279e-53,52.6819554582967,down
PCK1,-4.85420082912382,5.53427409478959,181.885048264792,1.8786651609163e-41,3.57386581783383e-40,39.4468617572776,down
HSD17B13,-4.8496377695326,2.06531355821857,336.670572711092,3.38821516190418e-75,3.91167886214699e-73,72.4076368067787,down
KCNA7,-4.84618062088966,-0.0676867253259372,108.391493783322,2.20602477359021e-25,1.64800330963842e-24,23.7830419204567,down
SPX,-4.8421183736342,4.4731728645528,188.89134743964,5.55046771302193e-43,1.13480236719201e-41,40.9450797669391,down
TRARG1,-4.83610459077011,7.244623915244,187.738195767454,9.9094428137053e-43,1.99680429732054e-41,40.699664497352,down
FHL1,-4.83143086739026,9.39983541376578,389.554490538477,1.03482127724219e-86,2.45701716090863e-84,83.6095918102021,down
CIDEA,-4.80017330369954,5.46341151000087,176.991958372266,2.19901322150208e-40,3.95885298703607e-39,38.4024306255791,down
SCARA5,-4.7859273229507,5.92660193909701,265.650913648942,1.00647206353095e-59,5.18014087831227e-58,57.2856584290884,down
HEPACAM,-4.77954634164009,2.05979738679601,226.896598726495,2.83245002094383e-51,9.23408058641377e-50,49.0346063396525,down
SLC7A10,-4.76874005789009,3.56712958709086,227.381569625134,2.22020216064844e-51,7.33307716262465e-50,49.1347137450977,down
ALDH1L1,-4.7067888812993,5.06009714973697,269.462767657224,1.48592580114419e-60,7.95697458791423e-59,58.0992520289373,down
ASB15,-4.67020014134818,0.316994771586751,75.8296291584858,3.09226120692485e-18,1.48522958121917e-17,16.8282064095453,down
VEGFD,-4.65839144911556,4.12849094583573,456.19377379063,3.23742139566535e-101,2.46907338442744e-98,97.6074660020169,down
CD300LG,-4.65531622274891,5.50487950363203,288.818076816989,8.99680818241481e-65,6.07055411085834e-63,62.2167716653819,down
LVRN,-4.63836949960206,3.44814188960453,286.381275573964,3.05534619358269e-64,2.01300924084003e-62,61.6961542314518,down
MYOM1,-4.60646331339677,5.34580617195918,330.940447049329,5.9973252941952e-74,6.62020539492565e-72,71.1791285361647,down
ADIPOQ,-4.60435379735285,8.85838159659146,161.821332461471,4.5260856171681e-37,6.76440159221417e-36,35.1697706169073,down
AC002546.1,-4.58892703218948,1.16860648490563,145.923688139413,1.34903762572222e-33,1.65058721264837e-32,31.7823615237594,down
PCOLCE2,-4.57570471577023,6.1286632130362,244.664510222676,3.78158564090938e-55,1.52036657205124e-53,52.8180516876965,down
TRHDE-AS1,-4.57409384568883,4.28583197970813,164.076701742872,1.45547846294875e-37,2.23362694850573e-36,35.6509893593019,down
EPB42,-4.57200885444141,-0.463808147463859,199.33568956401,2.91608702501367e-45,6.65386022171751e-44,43.1769263266374,down
LYVE1,-4.54081094746634,5.80245860200217,380.599486469469,9.21390834703538e-85,1.94870290149736e-82,81.710254368207,down
AMPD1,-4.53998832449396,2.81060155682613,156.133820877514,7.91452369269163e-36,1.10172971403575e-34,33.9579249373358,down
HBA2,-4.51062491976128,4.39349062839819,215.75636357071,7.62200276133745e-49,2.13382164068233e-47,46.6708418846795,down
HBB,-4.498365457011,7.05192396550795,218.674101832475,1.76035265358847e-49,5.15768982369205e-48,47.2875447792802,down
TTN,-4.48935016775494,7.6434756704428,139.069374301166,4.25328771715344e-32,4.78956354654666e-31,30.3197040602728,down
APOB,-4.48100993484814,3.15910342479554,193.731820463556,4.87299281346259e-44,1.05363817121329e-42,41.9773085041368,down
DEFB132,-4.47648217733792,3.13910829961899,180.972123490786,2.9728254490465e-41,5.5877573488874e-40,39.2527624616,down
ACVR1C,-4.47444360084308,5.43366724500991,261.854059019423,6.76676300056642e-59,3.34589177206789e-57,56.4754881110586,down
ALDH1L1-AS2,-4.47139544253621,0.424603693296791,178.241310106888,1.17334000189772e-40,2.14300589025848e-39,38.6689766352562,down
DUSP26,-4.46075863854869,1.32985493463839,134.524741804639,4.19461397084275e-31,4.47012400809824e-30,29.3496804287057,down
HSPB6,-4.45635870388076,4.77676787689581,297.909145825545,9.40379818989654e-67,7.08607164201546e-65,64.1495944611512,down
TNMD,-4.45237717892326,2.83544173243469,309.420548776793,2.92048254518203e-69,2.51721591428566e-67,66.5990795312291,down
HSD11B1-AS1,-4.44745090240968,1.72781445499808,280.802270001345,5.0207486947828e-63,3.05961750969234e-61,60.5143328623461,down
ITLN1,-4.44573938605248,-0.692305104249076,84.929326981732,3.09222465711471e-20,1.67437844600394e-19,18.7761463752342,down
ADRA1A,-4.44216384431338,1.88011667767708,320.339499746726,1.22166172144231e-71,1.16465084110833e-69,68.9338042553315,down
FRMD1,-4.43838720287723,1.87768630147851,283.727596697501,1.15692991639295e-63,7.40906161215721e-62,61.1302367937034,down
NPY2R,-4.43556616704846,2.80636977206777,108.581841063514,2.0040230815013e-25,1.50245019109993e-24,23.8231999167222,down
LIPE,-4.42481958211164,7.78062540059752,297.002224063756,1.48216497956594e-66,1.09073474285718e-64,63.9622808531881,down
XIRP1,-4.41381992367163,4.83857877818766,79.4575411424272,4.9270059035762e-19,2.48303733642783e-18,17.6050167500859,down
CPA1,-4.40421558511935,0.319404171246988,326.914286480083,4.51719998268035e-73,4.73703704850413e-71,70.324493218629,down
ADH1B,-4.39422791970653,9.493568113193,171.050847272375,4.36169206240569e-39,7.26025567636419e-38,37.139048084964,down
ADGRD2,-4.38908170764617,1.94728906267235,123.564223423715,1.04934232701385e-28,9.54112994446698e-28,27.0204001892804,down
MYOM2,-4.3749481643709,4.71010418875583,162.791185478587,2.77868821713607e-37,4.1926873530504e-36,35.3775075215476,down
TMEM132C,-4.36705114795347,4.8946043508682,235.467305486963,3.82889823400401e-53,1.39256807447129e-51,50.8561835655297,down
SLC2A4,-4.34113552682801,4.28413194570412,305.657753182202,1.92830248129817e-68,1.60170022604991e-66,65.7954187631299,down
LPL,-4.33704877289031,9.17817329518215,290.939392168304,3.1036474799004e-65,2.15186225273094e-63,62.6671855326309,down
FBP2,-4.33075637582733,1.02098997736727,67.4180212139463,2.19632184079709e-16,9.35788523602185e-16,15.0288222852464,down
ANGPTL7,-4.32891413731878,2.31624617087359,204.620658398162,2.04907002247817e-46,4.99235182243278e-45,44.3016948165233,down
OXTR,-4.32764555180483,6.95266401624478,345.846850266671,3.40065073697124e-77,4.41626335951682e-75,74.3549450357828,down
AL591686.1,-4.32306070926416,-0.210912310647099,193.074774402482,6.77956428618216e-44,1.45711420968943e-42,41.8365064065732,down
AC084866.1,-4.29488336815672,-0.758951685889224,103.21830006059,3.00180482230156e-24,2.0870006565659e-23,22.6804774143064,down
G0S2,-4.29103966603735,6.87524358291559,266.159428154655,7.79770854842467e-60,4.05480844518083e-58,57.3920296576467,down
RBP4,-4.27223414439067,7.0296110937594,185.986166079447,2.39063028450603e-42,4.74506175082395e-41,40.3237581314206,down
MYOG,-4.27137703958837,-0.469984562302774,36.9335099882909,1.22227068396447e-09,3.20572202730489e-09,8.49407413863859,down
AP005233.2,-4.23959715406785,-0.500039676356332,203.393047367402,3.7968490206642e-46,9.12694328100063e-45,44.039674648366,down
SLC19A3,-4.22959120747891,6.35467336205571,191.946103956173,1.19550026934202e-43,2.53268945949495e-42,41.5964180570691,down
AUXG01000058.1,-4.22611306069861,4.62795976678674,369.3654916948,2.57244765611253e-82,4.46505949027863e-80,79.3501727504087,down
AQP7P1,-4.21096313336858,0.619631020382465,175.860114960172,3.88492145707293e-40,6.88561290363461e-39,38.162057396174,down
AP001360.1,-4.20079271427701,-1.1319432493515,189.853781942313,3.42174269519808e-43,7.0646776171243e-42,41.1509076515505,down
RDH5,-4.16325979260117,2.39208544972023,339.754786303818,7.21562304730317e-76,8.60676781301072e-74,73.0651599129503,down
PENK,-4.14419141037087,2.4035931658604,163.419553899043,2.02565154832969e-37,3.08026775189405e-36,35.5114115308645,down
BTN1A1,-4.14212628189613,0.64742106661344,134.607624532192,4.02311470049456e-31,4.292231911066e-30,29.3673168209616,down
KLB,-4.13990068859513,4.66346457786217,287.273379980236,1.95286248452959e-64,1.29341165817476e-62,61.888263228855,down
GPAM,-4.11054038255356,8.35088778196577,373.071181365488,4.01337823951109e-83,7.48212618755667e-81,80.1259749716127,down
MYH1,-4.10401825876492,3.42199387913559,113.222611430517,1.92859597186622e-26,1.55225146849789e-25,24.8090379206202,down
LINC01697,-4.09423952853655,1.59745920201663,271.819827733015,4.55292579898463e-61,2.52953722977583e-59,58.5969589242541,down
NGF-AS1,-4.09204935348683,-0.631332412861637,176.090984820467,3.45913693387678e-40,6.1396021404662e-39,38.2118597711713,down
TIMP4,-4.06759057944664,5.65541576934619,200.353505288295,1.74859593334549e-45,4.06358840724278e-44,43.3910902873176,down
ANGPTL8,-4.06496041881853,0.894583064812459,199.847744675043,2.25453758142244e-45,5.19617233051648e-44,43.2843164540287,down
ATP1A2,-4.05649854729312,5.91313273971736,187.872299926768,9.26350713549027e-43,1.87264214928529e-41,40.7275452057743,down
CHRDL1,-4.05492145446683,7.55485709456914,264.457610656301,1.83186960977697e-59,9.35182440950646e-58,57.0291036561125,down
LGALS12,-4.03840875543273,5.05916718757193,174.518709686112,7.62621272395876e-40,1.33866428600519e-38,37.8733283229251,down
CYP1A1,-4.03442685439432,1.24348721145606,94.1613774911291,2.90820208985488e-22,1.80191113238473e-21,20.7442666315959,down
AC097713.1,-4.0242124673117,-0.421225370314688,144.27015223032,3.10117650513099e-33,3.72733573453375e-32,31.4286014870185,down
AL160412.1,-4.0238955590789,-1.5517780436857,256.636152505578,9.28480137690456e-58,4.24101417520751e-56,55.3725302759477,down
LINC02660,-4.01823504339414,-0.275678437045443,341.937481710291,2.41504390988524e-76,2.93632005429911e-74,73.5321966087558,down
TRIM63,-4.00320397886017,1.48719123089789,113.869374683345,1.39181784453762e-26,1.1310710852865e-25,24.9465100997805,down
ADH1A,-3.99521529609577,0.338788423891358,180.56643264465,3.64540799556284e-41,6.83154344246654e-40,39.1654811655982,down
CDH12,-3.98921347614004,0.0366785223563123,229.107865263124,9.3304782055101e-52,3.14363420985647e-50,49.5025679937659,down
LINC01230,-3.98295059322469,1.59556550167973,129.450928478324,5.40359848872209e-30,5.33324575545716e-29,28.2730084036076,down
SRL,-3.98003454302764,3.47297595232757,162.393927837058,3.39334046462012e-37,5.10481726321334e-36,35.292019799708,down
MLIP,-3.96561285939003,1.57334870608256,128.252823963351,9.8818234046975e-30,9.56560505574718e-29,28.0192875542241,down
LINC00968,-3.96298084814888,1.68419721005628,299.306871575084,4.66424421036466e-67,3.61629971268957e-65,64.4417355831267,down
LHCGR,-3.94946169984154,-0.461340317165687,131.141078114292,2.30619814205339e-30,2.33101987306023e-29,28.6324540238953,down
LINC02511,-3.91879408182139,-0.0201538520963266,326.180987186148,6.52511128748218e-73,6.75818933676343e-71,70.1701696452395,down
FSD2,-3.91562951676645,0.562511798590531,101.324368946864,7.80891522980379e-24,5.30744743461253e-23,22.2751142984282,down
AADAC,-3.89621942160899,1.5760948467593,104.497500239872,1.57391853702541e-24,1.11301999831007e-23,22.953497032361,down
OPRPN,-3.88764538789363,3.72985500168708,68.1741557159895,1.49674652984785e-16,6.44815417035443e-16,15.1905645874353,down
FAM180B,-3.87906264189145,1.02585865371199,170.870320178175,4.77620162864639e-39,7.92925083045992e-38,37.1007678436492,down
CLCA4,-3.87703294895994,1.02138904163696,210.091158404535,1.31213235883849e-47,3.43639409024424e-46,45.463897036516,down
AP000821.2,-3.86840999279794,-1.68703049833922,259.294312867233,2.44534349389925e-58,1.17004572346875e-56,55.9317971664058,down
BTNL9,-3.86663642318266,5.92680512918393,386.46650276244,4.865559177412e-86,1.09336065515273e-83,82.9612365583551,down
CLEC3B,-3.86359717328373,4.77260441837916,373.774215272361,2.82124992966843e-83,5.37918319923447e-81,80.2692836646675,down
NOS1,-3.84490114387419,1.09060321070281,120.45678732905,5.0249522223326e-28,4.40348180820567e-27,26.3562037934873,down
ITIH5,-3.83890836282943,7.48989490202109,439.91147698543,1.13165029718653e-97,6.62357550688156e-95,94.1789075084886,down
MIR145,-3.82413110354438,0.0102365888919018,324.059183171151,1.89121271470993e-72,1.88881117475474e-70,69.7238114565096,down
LINC02082,-3.82388791132455,-1.87848782033534,219.028222563104,1.47351688214199e-49,4.34256122830791e-48,47.3622540494661,down
LRRC38,-3.80711715497914,-1.44743407990952,139.864268534298,2.85033021815467e-32,3.25043547487615e-31,30.4880584508161,down
GYG2,-3.8027118365306,7.17473237764012,266.985263237235,5.15194747106011e-60,2.71264045923935e-58,57.5666077649984,down
ABCD2,-3.7982098001845,3.76208135830888,245.834625143644,2.1016430591708e-55,8.57279619338911e-54,53.0668775009133,down
LRRC3B,-3.7966389595075,0.417495416256385,391.65230209033,3.6155221073211e-87,8.92112356833896e-85,84.0495804450857,down
BMP3,-3.78307441850239,1.91397139969484,111.077509425421,5.69019016649583e-26,4.44615666284902e-25,24.3520152387553,down
AC016924.1,-3.78083466620364,-0.738845129519585,252.81365773778,6.32485193886162e-57,2.78780864443554e-55,54.5547370395833,down
LINC02587,-3.77440114891499,1.48938175291018,264.327092351489,1.95588198824983e-59,9.96470402434649e-58,57.0015355963616,down
NMUR1,-3.769766671197,1.90219972833444,306.553993683627,1.23006288534814e-68,1.03194075661473e-66,65.986345234699,down
AC104212.2,-3.76584281621573,-1.65258095172013,191.327082562008,1.63178432060553e-43,3.43384178770904e-42,41.4642197185833,down
ACADL,-3.76434784418219,2.77189480189026,216.873417906326,4.34903212577052e-49,1.24382318797037e-47,46.9052413511133,down
CES1,-3.75495685744853,6.44610443753357,248.702031465845,4.9820882266099e-56,2.0933087894377e-54,53.6791667030243,down
LINC01612,-3.75019147555036,-1.34402473391917,143.127221620101,5.51333771773134e-33,6.52679603385994e-32,31.185299959045,down
SMTNL1,-3.74251257317996,1.8735583993385,109.657656100574,1.16463309535551e-25,8.87688847483573e-25,24.0517392363625,down
DPP6,-3.73565021762014,1.0033460521284,394.261745934513,9.77468474019562e-88,2.48494207617418e-85,84.6046837301866,down
TNXB,-3.73515725110243,7.25381406506907,310.465738419365,1.72888837570559e-69,1.51085634165828e-67,66.8207768281766,down
AP005264.6,-3.73404496435522,-1.44875487757264,245.558350298954,2.41431260765263e-55,9.80055156603246e-54,53.0087494819255,down
SGCA,-3.72545906730269,1.7508224146776,181.198462107273,2.65309077540991e-41,4.99797819128119e-40,39.301205643253,down
CXCL2,-3.71427117611792,3.91334531106312,299.197192096387,4.92807082943285e-67,3.80459161457565e-65,64.4196919536253,down
GLP2R,-3.71208296662831,0.873793571070907,219.252870027264,1.31629406033646e-49,3.89746928359388e-48,47.4092172988507,down
MASP1,-3.71020806372052,2.21201253897217,251.558284781722,1.18774629185425e-56,5.12747833162741e-55,54.2900961662545,down
LINC00377,-3.70712328545797,-1.82864886549385,335.327659246873,6.6442158751125e-75,7.53250563715457e-73,72.1230605346385,down
TMOD4,-3.70651299531233,1.91079878335919,139.599348468179,3.25707560509094e-32,3.70253291910248e-31,30.4315010714912,down
KIAA0408,-3.70288791753182,-1.72511508445499,193.909538359081,4.45664167569105e-44,9.65273302011982e-43,42.0153497055671,down
AC087482.1,-3.70244539593777,0.416697650376421,278.907988943362,1.2988706339095e-62,7.74643983749629e-61,60.1108978477095,down
LINC01485,-3.70015364413437,1.24292087133411,190.773740125345,2.15497406994058e-43,4.50468333822795e-42,41.3463357328301,down
MLXIPL,-3.69656366988824,4.16849960551626,230.398120663087,4.8811193562315e-52,1.66913059725047e-50,49.7775096816273,down
ANKRD2,-3.69525795651079,1.06852945665725,96.4468285935416,9.16730269048245e-23,5.87080595710082e-22,21.2313022737618,down
PI16,-3.69407609352758,5.99880245480168,161.161019095651,6.30935848890099e-37,9.35733261335651e-36,35.028847932928,down
AC092155.1,-3.68485945254545,-1.32969243131715,207.840860818184,4.06387289155202e-47,1.02793520537268e-45,44.9880342596948,down
RNF186,-3.68333745786148,-0.906545340964193,144.947797811062,2.20482264771333e-33,2.66783540373313e-32,31.5738409684045,down
FXYD1,-3.67365162320237,-2.45500662049284,243.362306123181,7.27098905686516e-55,2.8863762237095e-53,52.5396470615891,down
AC093496.1,-3.67226202745105,-1.61725077432678,141.123497550584,1.51195046599116e-32,1.7455398774342e-31,30.7580702251358,down
AC009951.6,-3.67065744696478,-0.140999502747367,294.667706144183,4.7811553886373e-66,3.41852610287567e-64,63.4661610996044,down
AF001548.3,-3.66338357706226,-1.61029737602248,205.934874401659,1.05876953402959e-46,2.62357859713419e-45,44.5811059206822,down
BOK-AS1,-3.65797705171162,-1.59822483670854,203.100919215926,4.39710927833886e-46,1.05497088958277e-44,43.9767595239378,down
HBA1,-3.65510012265926,-0.71784223707852,100.831671246589,1.00142204711945e-23,6.7715717576309e-23,22.1693105150018,down
CRHBP,-3.64616654140519,1.94020824648278,258.469316467433,3.69974947632324e-58,1.75358370659328e-56,55.7560734984201,down
LRRC2,-3.64247986535435,2.55022938638942,250.937600491106,1.62194386295039e-56,6.97796293038212e-55,54.1562713420208,down
KLHL31,-3.6288932753866,4.0858692563911,253.773037456315,3.90757750910696e-57,1.74992723753032e-55,54.7569800090257,down
ANGPTL5,-3.62005847066939,0.225294323654234,154.392467232238,1.90090299883354e-35,2.60293398665084e-34,33.5845368459502,down
GPX3,-3.61806860061271,8.97588753488303,280.947378953217,4.66817442779535e-63,2.85166538831926e-61,60.5449014355285,down
PPP1R1A,-3.61176089810437,6.5426429161423,166.880007636975,3.55336747617897e-38,5.62106553365633e-37,36.2501813514195,down
AOC3,-3.59357343504254,8.21058494854411,305.937938715709,1.67546733442417e-68,1.39629675075455e-66,65.8550222726016,down
ATOH8,-3.58246016612405,3.91338066136657,421.27824438344,1.28594458774686e-93,5.22010538458273e-91,90.2823207292811,down
CAVIN2,-3.57349402779492,6.15242336226091,363.343265131605,5.26752740641505e-81,8.33793268960088e-79,78.0789416151647,down
SACS-AS1,-3.55629578836154,-2.21723892170255,342.295323722403,2.01834222493453e-76,2.47793351790987e-74,73.6059103497728,down
ACSM5,-3.55590838965652,3.3863055847422,297.045750919226,1.45015091284042e-66,1.0734528874814e-64,63.9692170114568,down
GPIHBP1,-3.55527197791904,4.44790274150253,327.809461653931,2.88332953047594e-73,3.06192563810204e-71,70.5140053607815,down
PGM5-AS1,-3.5426689503306,-0.778451807313121,225.177449918971,6.71595720700846e-51,2.15321287880241e-49,48.6669130312453,down
CLEC4GP1,-3.54199190258215,-2.02824605366647,164.985329125794,9.21541297595333e-38,1.43523213972026e-36,35.8430778488632,down
ACACB,-3.53506014541358,7.710759014716,311.335218998054,1.11778481399043e-69,9.8710204205302e-68,67.0056379496507,down
CLDN19,-3.52938521017545,2.18411718529024,168.063732289451,1.95920797314744e-38,3.13672686184317e-37,36.5035232969092,down
SYPL2,-3.52374776729437,2.65705895892292,155.341669124973,1.17904155502643e-35,1.62955067857799e-34,33.7879321285499,down
GRIA4,-3.50635608438785,2.92179677326207,170.363554863179,6.16258559047059e-39,1.01838446579753e-37,36.992088233932,down
PRRT4,-3.50562650961178,2.5041091921481,184.008586882207,6.46003864435914e-42,1.255492298079e-40,39.9011859471582,down
IGFBP6,-3.50387400088037,5.72913667323293,419.33286569701,3.40922926328746e-93,1.26181591321204e-90,89.8990039998524,down
ITGA7,-3.50056404270196,6.60575430962255,282.065608934989,2.66360588464949e-63,1.68436263580046e-61,60.7735644010951,down
CCL14,-3.49972807120898,0.761368086999883,319.08318234702,2.29406044228473e-71,2.13840419301563e-69,68.6699102026794,down
ADH4,-3.49878918313492,-0.0492784728728775,172.284243929339,2.34576133208802e-39,3.97563105764252e-38,37.4005939253473,down
