gene_id,logFC,logCPM,LR,PValue,FDR,log10FDR,DEG
MYH2,-10.4567397516079,8.11757966252753,213.188545854392,2.76846991886775e-48,7.59007090610713e-47,46.1197541669257,down
MYH7,-8.866369827778,7.999009600845,53.7506775576708,2.27615695908609e-13,7.81212578020982e-13,12.1072307729096,down
CKM,-8.84282932036187,7.82260918512683,140.248879994326,2.34849572719714e-32,2.68912376988615e-31,30.5703892084344,down
MYL2,-8.80425589112754,6.6427933573925,122.805571607649,1.53805829342515e-28,1.38447250103448e-27,26.8587156659694,down
NRAP,-8.73224245723453,5.82157762335301,144.330434338387,3.00847836843777e-33,3.6176485225438e-32,31.4415736298849,down
CACNA1S,-8.31435761085399,3.33768395317113,111.669423772592,4.2214339021877e-26,3.32847896147432e-25,24.477754183776,down
LMOD2,-8.30870199773345,4.30289000791487,148.838882420127,3.10998843511392e-34,3.95913955159065e-33,32.4023991899837,down
ACTA1,-7.72145029000197,8.84310115980056,150.896742138545,1.10396933249681e-34,1.44186300779864e-33,32.8410760002153,down
ABRA,-7.67973908752112,1.78953578536341,153.772399857484,2.59698081715454e-35,3.52349397337711e-34,33.4530264669881,down
HJV,-7.4978315828206,1.6812027660612,103.871187934743,2.15906494205624e-24,1.512788041806e-23,22.8202219171338,down
MYLPF,-7.49303405274501,4.92258484599584,185.960340253863,2.42186684949771e-42,4.80327382727803e-41,40.3184626541926,down
TNNC2,-7.36920842525456,5.42044907081183,230.329817487625,5.05143897432214e-52,1.72269127514552e-50,49.7637925458335,down
PYGM,-7.05420562963174,6.39024247455501,285.720049851616,4.25737855941041e-64,2.77589905656065e-62,61.5565963307157,down
TNNC1,-6.99393487487573,5.30884457834977,194.85144874955,2.77608525576851e-44,6.04922196685558e-43,42.2183004794351,down
KLHL41,-6.96404530553921,5.29397634785884,200.042175798452,2.04469341927883e-45,4.72985698312587e-44,43.3251519908432,down
SLN,-6.7331834124281,4.23048325112474,124.526049810975,6.46251590464439e-29,5.96656640822047e-28,27.224275521291,down
MYOC,-6.71983545861813,3.76190003734265,240.503179281105,3.05485395123076e-54,1.18466200685017e-52,51.9264055395255,down
NEB,-6.56165322651252,7.45008904946873,187.407194195017,1.17031972163267e-42,2.34511200271106e-41,40.6298364105191,down
MYOT,-6.53929752449422,3.13640093641723,155.502628448113,1.0873144519764e-35,1.50442716477966e-34,33.8226288333144,down
TCAP,-6.40215881416859,5.10263945940839,146.819777546948,8.59268540456296e-34,1.06742698056289e-32,31.9716618240531,down
