"","%IncMSE","%IncMSE.pval","rownames(frimp.scaled1)","lab"
"ME34",1.416,0.163,"ME34",""
"ME3",1.147,0.182,"ME3",""
"ME8",1.08,0.214,"ME8",""
"ME23",1.001,0.3,"ME23",""
"ME41",1.001,0.36,"ME41",""
"ME1",1.001,0.379,"ME1",""
"ME2",1.001,0.417,"ME2",""
"ME13",1.001,0.417,"ME13",""
"ME15",1.001,0.373,"ME15",""
"ME21",1.001,0.418,"ME21",""
"ME24",1.001,0.469,"ME24",""
"ME26",1.001,0.489,"ME26",""
"ME28",1.001,0.318,"ME28",""
"ME44",1.001,0.354,"ME44",""
"ME17",0.883,0.39,"ME17",""
"ME39",0.603,0.477,"ME39",""
"ME16",0.274,0.415,"ME16",""
"ME40",0.112,0.453,"ME40",""
"ME5",0,0.692,"ME5",""
"ME7",0,0.644,"ME7",""
"ME11",0,0.619,"ME11",""
"ME19",0,0.644,"ME19",""
"ME20",0,0.619,"ME20",""
"ME22",0,0.659,"ME22",""
"ME25",0,0.616,"ME25",""
"ME29",0,0.619,"ME29",""
"ME32",0,0.632,"ME32",""
"ME36",0,0.659,"ME36",""
"ME42",0,0.622,"ME42",""
"ME27",-0.218,0.659,"ME27",""
"ME12",-0.277,0.604,"ME12",""
"ME18",-1.001,0.762,"ME18",""
"ME30",-1.001,0.729,"ME30",""
"ME35",-1.001,0.865,"ME35",""
"ME37",-1.001,0.786,"ME37",""
"ME38",-1.001,0.732,"ME38",""
"ME43",-1.001,0.826,"ME43",""
"ME4",-1.001,0.805,"ME4",""
"ME33",-1.635,0.964,"ME33",""
"ME6",0,1,"ME6",""
"ME9",0,1,"ME9",""
"ME10",0,1,"ME10",""
"ME14",0,1,"ME14",""
"ME31",0,1,"ME31",""
