Alpha_diversity	richness	chao1	ACE	shannon	simpson	invsimpson
KO1	2314	2627.98947368421	2629.73113124762	6.12189499225747	0.990298507980718	103.076928580926
KO2	2283	2602.31606217617	2619.98110563798	6.16183896031565	0.991840152221122	122.551305747216
KO3	1928	2285.04838709677	2278.31074197181	5.81595809551076	0.989481784548721	95.073161852605
KO4	1976	2303.95454545455	2347.34275846155	5.81784731524186	0.989359440763426	93.9800228321469
KO5	1798	2203.33333333333	2270.75841072748	5.54264341338152	0.985429078510326	68.6298392801506
KO6	2152	2470.12096774194	2491.14177534209	6.03809504806506	0.991810247779841	122.103816222736
OE1	2514	2716.92067988669	2700.57391088265	6.55560137460834	0.994974397807565	198.981129366994
OE2	2452	2690.33333333333	2695.16046178476	6.33931472909518	0.992615592024779	135.420470179275
OE3	2356	2602.73943661972	2640.35510927116	6.07925289573215	0.990507354227524	105.344708310885
OE4	2374	2723.56555269923	2722.67997757541	6.19570934754707	0.992738469331165	137.712012192105
OE5	2406	2686.39024390244	2707.24139122072	6.28396170386528	0.993568741083413	155.490552156266
OE6	2506	2717.3064516129	2712.82098129634	6.53235238225537	0.995130670808208	205.367096906413
WT1	2267	2591.375	2621.54170437919	5.91869068641438	0.988981624103449	90.7574772714963
WT2	2080	2463.16445623342	2500.00000525546	5.7066286074774	0.986337109987966	73.1909573391268
WT3	2415	2757.93368700265	2745.60750457143	6.28910525315499	0.993154668355156	146.084960069565
WT4	2300	2654.89027431421	2676.71074026685	6.09037303413416	0.991114769936442	112.546326076735
WT5	2148	2529.96850393701	2554.83905467872	5.82229711919277	0.989253133765369	93.0503812150887
WT6	2354	2639.57177615572	2663.95391347268	6.18372856185445	0.992534360517984	133.946998433149
