#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_657	1073	1926	810	1356	1064	1069	1259	1610	1337	944	1245	1013	2303	2512	1698	1974	1441	1544
ASV_2	1965	1233	2368	2241	2901	1835	641	497	1225	1271	948	638	1286	1499	843	1122	1496	1177
ASV_3	568	460	899	902	1226	855	607	457	1058	1036	837	674	1041	1796	1019	1200	1205	768
ASV_12	240	250	1823	677	1459	491	324	1918	1487	991	557	337	1075	1199	776	408	1037	1424
ASV_4	1433	401	535	759	1287	506	515	590	439	621	661	428	1123	1448	547	577	1112	922
ASV_6	890	680	829	900	1503	1026	254	265	372	384	400	359	561	543	466	546	509	507
ASV_8	508	504	608	424	190	327	335	535	1578	780	507	516	634	763	553	1053	457	514
ASV_18	433	1026	312	438	310	479	414	404	310	511	672	412	785	611	806	406	680	440
ASV_9	344	801	354	444	270	552	293	442	637	392	553	398	588	325	439	430	754	512
ASV_10	369	364	693	760	1024	662	202	178	282	282	405	279	342	593	248	262	524	281
ASV_11	315	344	321	352	560	375	472	375	244	418	345	186	421	498	505	412	325	383
ASV_13	169	181	379	361	535	385	172	513	478	297	495	188	382	289	422	283	579	518
ASV_15	322	421	441	337	368	378	370	306	280	252	404	367	294	272	311	366	361	367
ASV_14	299	315	350	365	450	354	244	180	302	299	348	250	351	549	414	468	316	325
ASV_16	231	248	521	270	142	215	160	239	598	283	227	179	426	288	243	314	819	351
ASV_17	442	301	348	431	442	592	129	112	198	228	237	187	340	315	279	312	271	271
ASV_28	263	318	58	441	133	185	160	280	155	259	250	182	400	454	244	324	455	246
ASV_20	189	435	86	260	156	160	72	119	49	182	115	107	251	295	107	136	1562	115
ASV_33	207	180	143	146	87	187	267	178	189	180	236	262	222	210	336	253	259	313
ASV_25	116	134	1140	59	32	69	256	147	76	180	169	120	141	29	292	244	208	373
ASV_21	145	369	198	119	101	140	164	195	156	154	192	158	214	317	199	291	374	219
ASV_22	196	204	311	241	227	217	258	155	147	170	184	217	155	176	232	160	163	204
ASV_31	178	170	181	277	57	254	177	199	236	191	219	136	246	185	221	188	271	156
ASV_24	177	159	497	494	340	258	104	64	151	97	131	158	108	232	116	218	121	113
ASV_23	122	440	509	90	191	293	74	81	71	132	170	69	159	231	125	493	150	117
ASV_26	168	181	121	394	62	31	219	274	312	91	186	126	373	77	169	90	10	620
ASV_29	115	114	349	192	388	245	107	180	92	123	172	67	178	230	114	186	334	200
ASV_27	191	249	203	119	154	203	257	160	146	141	190	210	169	180	232	185	118	225
ASV_30	173	119	171	202	203	284	133	110	215	288	140	100	189	200	201	175	151	168
ASV_32	181	153	146	143	118	152	216	145	149	162	181	194	193	226	245	157	140	229
ASV_34	94	226	96	202	20	70	164	124	139	182	172	99	294	362	234	228	257	136
ASV_36	194	66	104	247	199	363	63	37	283	182	97	92	249	330	120	153	161	108
ASV_37	130	101	134	53	142	116	186	131	118	132	177	184	151	227	299	203	234	244
ASV_47	176	163	191	198	220	253	126	104	139	134	138	118	131	136	136	224	154	172
ASV_39	211	144	212	231	381	225	80	116	108	125	109	94	114	173	114	171	137	139
ASV_43	145	123	41	56	45	101	533	195	304	288	137	550	49	18	75	48	28	72
ASV_38	113	57	83	214	146	210	45	34	214	137	100	138	219	618	70	124	152	91
ASV_41	237	148	163	329	299	379	58	44	95	64	106	96	114	145	78	128	145	118
ASV_55	70	65	116	125	198	96	145	96	151	183	139	112	149	275	253	245	184	140
ASV_42	98	279	265	126	182	119	89	118	101	107	157	100	149	202	150	177	57	151
ASV_71	91	79	293	151	354	143	70	156	33	136	159	96	119	94	92	159	257	131
ASV_46	131	122	84	170	69	116	190	109	162	142	186	104	130	204	173	184	137	177
ASV_166	122	122	196	119	195	135	107	96	148	104	124	112	142	205	154	173	155	159
ASV_63	185	154	202	172	247	194	92	69	76	83	134	98	127	160	95	110	108	137
ASV_44	160	101	228	199	373	154	77	37	98	84	87	54	141	208	95	52	171	96
ASV_40	3	43	6	68	141	3	42	268	7	122	160	104	919	61	18	45	256	142
ASV_50	128	77	131	328	244	316	31	30	116	76	66	48	200	192	78	125	109	111
ASV_378	60	236	147	70	65	101	105	126	185	101	139	97	127	205	166	182	108	181
ASV_45	101	250	236	106	200	76	101	88	99	46	104	97	184	135	122	267	81	95
ASV_48	104	61	199	143	172	110	143	157	137	113	175	204	56	79	98	128	173	117
ASV_49	97	189	194	51	47	101	130	134	76	56	91	167	182	79	133	293	132	171
ASV_51	160	112	652	8	43	80	34	32	368	299	27	18	53	52	73	19	58	31
ASV_53	94	181	157	122	64	92	105	160	121	85	118	79	99	100	134	150	101	144
ASV_57	70	53	102	36	352	80	190	124	68	98	75	37	169	88	134	115	74	211
ASV_54	119	279	107	110	152	161	160	160	50	91	81	102	94	26	69	53	139	85
ASV_56	135	119	146	172	198	139	80	86	67	98	105	70	98	91	93	86	102	101
ASV_59	98	132	134	134	119	121	82	140	102	67	145	66	91	124	107	98	113	91
ASV_2105	84	103	110	124	104	110	105	72	79	79	245	81	87	109	110	87	81	118
ASV_62	92	79	161	158	231	143	57	60	63	72	80	90	55	140	55	98	143	99
ASV_60	119	103	134	140	221	134	56	45	68	68	55	60	87	99	80	83	96	125
ASV_61	75	80	63	75	189	80	119	87	69	110	64	46	116	140	121	94	74	131
ASV_67	31	33	39	34	59	32	128	126	80	431	96	362	27	16	22	34	98	46
ASV_64	58	94	134	167	130	128	52	33	68	65	72	42	70	127	71	96	148	51
ASV_69	18	14	4	1198	3	27	26	25	12	33	35	14	73	11	5	35	8	50
ASV_77	100	67	66	67	32	66	121	75	83	84	93	105	79	101	143	110	80	119
ASV_66	70	111	39	50	42	49	161	110	85	90	94	117	94	72	114	78	63	90
ASV_68	74	90	116	56	79	95	122	67	69	68	86	55	56	83	173	46	66	103
ASV_72	92	51	52	78	30	92	52	44	63	59	88	79	35	128	99	307	91	63
ASV_73	142	76	115	236	114	198	29	15	51	39	54	53	57	70	48	62	64	63
ASV_70	94	43	59	97	76	363	44	36	70	67	49	106	54	49	91	60	59	65
ASV_2157	28	9	33	52	203	21	46	329	14	68	171	50	7	24	110	19	166	97
ASV_79	102	117	102	95	135	161	46	38	51	63	63	66	55	59	62	93	72	64
ASV_74	76	88	89	81	117	79	88	69	56	62	108	66	71	78	81	72	86	73
ASV_81	70	26	97	101	80	71	28	36	133	80	53	66	73	123	92	97	80	95
ASV_427	56	80	99	61	41	53	29	75	76	53	53	41	124	104	91	60	152	125
ASV_76	52	46	107	64	74	63	44	28	63	38	60	93	35	186	42	276	34	49
ASV_75	65	69	33	42	112	61	74	56	56	58	89	77	64	44	82	167	108	77
ASV_80	93	30	40	59	125	38	42	99	45	97	212	54	53	23	107	58	80	53
ASV_86	63	91	14	42	27	41	57	127	35	29	50	60	96	136	112	63	170	67
ASV_78	93	74	57	83	52	68	33	70	12	35	127	65	7	0	103	94	145	138
ASV_84	40	107	41	2	9	342	90	17	29	143	27	24	212	0	37	61	25	49
ASV_83	110	33	45	90	116	163	18	19	84	35	27	54	74	156	34	60	71	44
ASV_87	33	69	115	92	117	80	34	64	53	30	144	49	63	49	65	56	64	54
ASV_85	54	105	51	94	80	205	37	24	94	30	55	45	42	31	48	37	136	44
ASV_93	7	10	76	68	63	33	33	79	27	23	79	51	57	43	34	50	229	224
ASV_88	95	150	6	20	2	464	49	42	34	75	29	67	53	12	13	44	0	15
ASV_89	55	68	38	37	32	52	87	61	55	78	76	64	43	92	69	101	72	89
ASV_91	182	73	69	117	0	47	81	93	138	133	78	26	11	15	1	68	20	2
ASV_102	43	72	49	69	128	52	67	51	49	46	58	56	58	53	92	88	54	67
ASV_92	23	109	6	159	11	69	85	29	56	48	73	38	44	126	64	97	50	46
ASV_114	62	55	89	91	103	48	39	38	43	44	53	41	66	66	69	70	61	82
ASV_94	41	19	23	30	375	23	71	97	32	24	31	18	51	32	96	42	49	49
ASV_100	80	18	38	59	295	25	29	55	16	114	72	40	33	7	50	61	38	71
ASV_101	82	98	12	28	32	57	103	55	62	47	74	108	60	37	72	40	55	71
ASV_104	63	74	83	76	112	73	26	30	48	49	53	70	54	67	55	47	74	34
ASV_97	66	23	94	33	189	68	55	21	44	34	47	28	58	118	26	42	65	70
ASV_96	58	48	135	105	130	78	37	32	45	42	57	35	30	52	33	51	51	54
ASV_110	12	36	63	106	141	22	69	40	28	67	46	25	57	132	69	62	58	35
ASV_98	61	46	61	82	90	126	43	26	51	30	51	40	51	40	28	29	133	45
ASV_106	52	31	21	30	19	16	22	46	243	142	41	52	83	30	56	79	23	36
ASV_109	48	56	14	21	2	2	57	102	41	44	31	74	173	23	92	104	0	130
ASV_99	45	27	37	80	42	87	25	20	94	78	45	27	118	99	33	58	43	44
ASV_284	46	78	55	25	35	133	21	80	28	73	62	90	18	15	42	120	29	36
ASV_113	30	96	56	67	50	50	57	57	57	56	42	55	46	50	69	42	44	60
ASV_2325	48	66	63	47	15	48	63	84	64	48	49	51	64	48	71	37	44	65
ASV_105	38	18	40	62	320	56	6	127	1	41	29	21	4	10	30	25	51	95
ASV_193	39	82	31	62	19	32	61	70	49	58	54	37	30	81	58	89	31	91
ASV_103	51	58	13	86	64	150	24	31	43	36	53	40	75	52	53	48	56	36
ASV_108	54	27	57	48	84	50	26	40	54	95	85	70	31	47	40	51	54	50
ASV_621	41	24	54	24	34	53	27	126	165	84	58	21	45	49	53	59	11	33
ASV_107	65	57	61	70	57	82	50	32	42	34	55	56	35	35	64	56	47	45
ASV_658	41	27	15	25	10	12	98	73	90	75	66	43	54	64	86	63	32	67
ASV_111	40	54	36	17	38	29	56	40	41	66	51	59	37	84	76	72	63	80
ASV_874	41	56	69	74	59	67	35	29	48	42	48	46	41	44	35	76	78	48
ASV_150	52	49	49	57	45	62	38	36	39	44	47	50	53	52	74	65	54	63
ASV_122	43	79	38	44	19	49	63	68	68	49	40	60	56	39	52	51	42	58
ASV_112	28	16	14	16	10	11	73	43	104	102	62	33	68	98	71	86	42	36
ASV_116	7	33	8	8	534	12	17	19	10	19	18	11	59	20	26	4	84	19
ASV_115	35	103	13	100	8	69	5	12	1	5	23	461	1	21	22	2	4	22
ASV_352	32	73	40	39	23	43	49	82	66	40	35	70	50	45	80	37	28	64
