SampleID	env1	env2	env3	env4	env5	env6	env7	env8	env9	env10
KO1	7.67	12.18	1.65	7.38	113.02	10.11	12.89	71.29	651.23	6.74
KO2	7.61	12.51	1.61	7.78	97.05	13.2	13.97	60.49	643.66	3.69
KO3	7.15	13.63	1.44	9.47	111.79	14.87	12.84	66.49	696.42	5.21
KO4	6.89	13.45	1.54	8.74	115.47	9.4	12.1	61.69	642.46	5.72
KO5	7.39	13.06	1.82	7.17	100.73	35.62	12.8	65.29	646.21	5.72
KO6	7.01	14.95	1.63	9.15	117.93	50.36	12.85	67.69	680.53	5.72
OE1	6.81	13.58	1.51	8.99	125.3	43.56	12.72	66.49	571.56	10.81
OE2	6.58	14.75	1.69	8.75	128.99	49.48	12.83	78.49	677.08	9.79
OE3	7.7	12.15	1.06	11.5	105.64	14.82	12.53	67.69	636.46	5.72
OE4	7.13	11.91	1.09	10.89	101.96	4.22	11.97	50.89	513.71	7.76
OE5	7.46	11.9	1.32	9	124.07	16.9	12.13	55.69	538.29	3.69
OE6	7.26	11.5	1.32	8.68	103.19	5.72	12.55	41.29	508.62	1.65
WT1	7.49	13	1.59	8.2	108.1	44.66	12.82	65.29	660.9	4.71
WT2	6.67	13.85	1.51	9.18	117.93	39.36	13.13	61.69	605.74	5.72
WT3	7.59	12.99	1.65	7.86	108.1	33.78	13.08	61.69	627.77	5.72
WT4	6.74	13.13	1.47	8.91	124.07	39.26	13.84	59.29	556.72	4.71
WT5	7.25	13.35	1.55	8.64	131.44	50.64	13.83	67.69	599.74	5.72
WT6	7.21	12.41	1.54	8.09	95.82	45.32	13.11	61.69	554.32	5.72
