处方编号,处方组成
P0286,三棱、莪术、赤芍、黄柏、八角茴香、延胡索、槟榔、紫苏、陈皮、青皮、羌活、大腹皮、荆芥、桔梗、半夏、黄连、芒硝、大黄、防风、柴胡、千里马、姜、葱白
P0287,三七、大黄、阿魏、孩儿茶、天竺黄、血竭、乳香、没药、雄黄、山羊血、冰片、麝香、牛黄、藤黄
P0288,秦艽、续断、杜仲、香附、当归、骨碎补、陈皮、甘草、五加皮、金毛狗脊、柴胡、葛根
P0289,当归、通草、桃仁、穿山甲、牛膝、大黄、中青皮、骨碎补、乳香、没药、白芷、紫苏子、红花、杜仲、降香、甘草、血竭、三七、土鳖虫、石南枝头
P0290,干姜、葛根、升麻、苍术、桔梗、大黄、枳壳、芍药、陈皮、甘草、半夏、白芷、茯苓、当归、生姜
P0291,赤小豆、黄芪、附子、白蔹、桂枝、芍药、黄芩
P0292,当归、白芷、漏芦
P0293,威灵仙、海风藤、桂枝、石菖蒲、升麻、细辛、吉根、羌活、防风、槟榔、全皮、草节、乳香、没药、赤芍、生地黄
P0294,刘寄奴、骨碎补、延胡索
P0295,当归、川乌、水蛭、附子、没药、草乌
P0296,当归、熟地黄、白芍、川芎、乳香、没药
P0297,草乌、苍术、穿山甲、补骨脂、白芷、葱白、干姜
P0298,木香、生地黄、芍药、红花、当归、甘草、白芷、木鳖子、橘红、木通、桔梗、白术
P0299,大麻
P0300,当归、桔梗、牛膝、骨碎补、川乌、川芎、百草霜、草乌、木鳖子、赤芍、乌豆、金毛狗脊
P0301,曼陀罗花、草乌、白芷、当归、川芎
P0302,木鳖子、山芝麻、乳香、箬叶、穿山甲
P0303,土鳖虫、半夏、巴豆、朱砂、乳香、没药
P0304,古铜钱、朱砂、自然铜、乳香、没药
P0305,自然铜、川乌、骨碎补、白芍、没药、乳香、当归、生地黄、川芎
P0306,白术、当归、甘草、白芷、没药、肉桂、乳香
P0307,没药、当归、血竭、蒲黄、牡丹皮、骨碎补、橘仁
P0308,没药、乳香、延胡索、当归、甜瓜子、朱砂
P0309,没药、泽泻、当归、肉桂、槟榔、甘草、白芷、花椒、附子、川芎
P0310,没药、血竭、铅丹、白矾
P0311,没药、虎骨、当归、延胡索、补骨脂、白芷、生地黄、大黄、蒲黄、独科栗子
P0312,没药、当归、地龙、肉桂、自然铜、川乌、干姜
P0313,防风、当归、川乌、萆薢、自然铜、骨碎补、乳香、没药
P0314,没药、乳香、川芎、花椒、芍药、当归、自然铜
P0315,没药、乳香、川芎、花椒、芍药、当归、桃仁、血竭、自然铜
P0316,没药、泽兰、白芷、骨碎补、草乌、补骨脂、龟甲、虎骨、续断、白头翁、乌金石、自然铜
P0317,当归、没药、自然铜
P0318,牡丹皮、牛虻虫
P0319,虻虫、牡丹皮、生地黄
P0320,久碎瓦片
P0321,降香、乳香、没药、苏木、松节、自然铜、川乌、血竭、地龙、龙骨、土狗
P0322,乳香、没药、芒硝、天竺黄、土鳖虫、牛膝、无名异、骨碎补、自然铜、血竭
P0323,鳘鱼、当归、川芎、大黄
P0324,牡丹皮、当归、骨碎补、红花、续断、乳香、没药、桃仁、川芎、赤芍、生地黄
P0325,牡蛎、铅丹、当归、芒硝、乳香
P0326,牡蛎、车前子、桂枝、黄芩、熟地黄、龙骨
P0327,木香、香附、苍术、厚朴、陈皮、甘草、枳壳
P0328,木贼、麻黄、甘草
P0329,川芎、熟地黄、蛇衔草、当归、肉苁蓉、白芍、干姜、续断、桂枝、附子、细辛
P0330,土鳖虫、骨碎补、乳香、没药、当归、大黄、自然铜、血竭、芒硝、朱砂
P0331,麝香、水蛭
P0332,绿豆粉、乳香
P0333,牛黄、琥珀、珍珠、牡蛎、龙脑、朱砂、麝香、金箔、银箔、桂枝、当归、蒲黄
P0334,牛膝、黄芪、续断、当归、乳香、没药、琥珀
P0335,乳香、没药、沉香、木香、人参、白豆蔻、赤芍、防风、虎骨、当归、全蝎、甜瓜子、自然铜、白芷、两头尖、五灵脂、草乌
P0336,羌活、防风、中桂、苏木、连翘、当归、柴胡、水蛭、麝香
P0337,柴胡、黄芩、五灵脂、枳实、当归、赤芍、川芎、生地黄、大黄、芒硝、桃仁、红花、苏木
P0338,蒲黄、当归、肉桂、人参、槟榔
P0339,蒲黄
P0340,蒲黄、当归、桂枝、续断、白芷、甘草、藕节、生地黄
P0341,蒲黄、当归、肉桂、续断、白芷、甘草、生地黄
P0342,土鳖虫、血竭、芒硝、莪术、五加皮、菟丝子、木香、五灵脂、陈皮、大黄、土狗、朱砂、猴骨、巴豆、三棱、青皮、肉桂、赤芍、乌药、枳壳、当归、蒲黄、麝香
P0343,朱砂、麝香、冰片、乳香、红花、没药、血竭、粉条儿茶
P0344,三七、豆砂、冰片、乳香、没药、儿茶、红花、猴结
P0345,当归、儿茶、朱砂、乳香、没药、红花、雄黄、冰片、麝香、血竭
P0346,地龙、五灵脂、荆芥、川乌、天南星、草乌
P0347,白术、当归、乳香、没药、甘草、白芷、羌活、人参
P0348,血竭、没药、自然铜、赤芍、当归、白芷、蒲黄、大黄、肉桂、细辛、骨碎补、干荷叶
P0349,当归、参三七、乳香、没药、杜红花、黄麻、血竭、土鳖虫、朱砂、雄黄、大黄、冰片、自然铜
P0350,血竭、没药、当归、白芷、赤芍、桂枝
P0351,羌活、独活、川芎、当归、赤芍、防风、荆芥、牡丹皮、续断、红花、桃仁、陈皮
P0352,羌活、桃仁、红花、牛膝、延胡索、大黄
P0353,羌活、竹沥
P0354,水蛭、麝香、古铜钱、自然铜
P0355,茄子
P0356,马钱子、穿山甲、白僵蚕
P0357,紫背浮萍、草乌、玉竹、海风藤、麻黄、麝香
P0358,牡丹皮、当归、川芎、赤芍、生地黄、黄芩、黄连、连翘、栀子、桃仁、甘草
P0359,闹洋花
P0360,骨碎补、川乌、川芎、草乌、当归、牛膝、木鳖子、何首乌、乌金石
P0361,天南星、僵蚕、防风、白芷
P0362,续断、当归、羌活、独活、五加皮、川芎、牛膝、肉桂、草乌、细辛、乌药、红花、川乌、甘草
P0363,红花、土鳖虫、乳香、桃仁、沉香、姜黄、漆渣、自然铜、桂枝、肉桂、莪术、骨碎补、醉仙桃、三七、茜草、当归、乌药、三棱、血竭、木香、八棱麻、枳壳、川乌、草乌
P0364,人参、丁香、五加皮、甘草、茯苓、当归、血竭、骨碎补、五味子、没药
P0365,人中白
P0366,延胡索、当归、桂枝、杜仲
P0367,甘草、皂角
P0368,苍术、川乌、草乌、两头尖、白术、川芎、白芷、防风、细辛、蝎尾、雄黄
P0369,苍术、白芷、细辛、川芎、两头尖、川乌、天麻、全蝎、白术、防风
P0370,白术、当归、甘草、白芷、没药、乳香、肉桂
P0371,乳香、没药、龟甲、紫荆皮、当归、虎骨、骨碎补、穿山甲
P0372,乳香、没药、川芎、白芷、芍药、甘草、牡丹皮、生地黄
P0373,乳香、当归、白术、白芷、没药、甘草、羌活、人参
P0374,乳香、没药、黄芪、粟壳、人参、甘草、川芎、当归、白芍、陈皮、熟地黄
P0375,黄芪、当归、川芎、陈皮、麻黄、甘草、芍药、人参、米壳、乳香、没药
P0376,乳香、没药、当归、缩砂仁、枳壳、甘草
P0377,自然铜、乳香、没药、茴香、当归
P0378,肉桂、干姜、牛膝、羌活、白芷、川芎、细辛、姜黄、骨碎补、当归、芍药、草乌、川乌、苍术、桔梗、赤小豆、乳香、没药、何首乌、木鳖子
P0379,虎骨、龟甲、芪香、牛膝、萆薢、续断、乳香
P0380,乳香、白芷、肉桂、没药、安息香、地龙、补骨脂、当归
P0381,虎骨、龟甲、血竭、赤芍、乳香、没药、当归、防风、白附、苍耳、自然铜、骨碎补、肉桂、干姜、牛膝、天麻、槟榔、五加皮、羌活
P0382,乳香、没药、桑白皮、雄黑豆、独科栗子、补骨脂、当归、水蛭
P0383,糯米、川乌、五灵脂、乳香、白芷、藿香、天南星、没药、荆芥、赤小豆、骨碎补、白附子、松香、香墨、草乌
P0384,乳香、肉桂、安息香、没药、地龙、补骨脂、当归、白芷、五灵脂
P0385,苍术、乌头、乳香、天仙子、自然铜、牵牛子、肉桂
P0386,骨碎补、葫芦巴、补骨脂、川乌、肉苁蓉、牛膝、金毛狗脊、牡蛎、甜瓜子、牵牛子、赤芍、自然铜、川楝子、小茴香、牡丹皮、五灵脂、白芍、苍术、肉桂、细墨、木鳖子、没药、乳香
P0387,乳香、川乌、没药、五灵脂、白胶香、地龙、白姜、半夏、五加皮、赤小豆
P0388,龙骨、蜈蚣、赤小豆、虎骨、僵蚕、草乌、白胶香、天麻、川牛膝、当归、全蝎、乳香、木鳖子
P0389,连翘、土鳖虫
P0390,天竹黄、雄黄、刘寄奴、红大戟、血竭、当归、朱砂、儿茶、乳香、琥珀、轻粉、水银、麝香
P0391,藤黄、天竹黄、大戟、当归、牛黄、刘寄奴、麝香、琥珀、雄黄、血竭、儿茶、乳香、冰片、水银
P0392,当归、川芎、赤芍、生地黄、白芍、牛膝、续断、白芷、杜仲、骨碎补、五加皮、羌活、独活、天南星、防风、肉桂、乳香、没药、木香、丁皮、八角茴香
P0393,葛根、半夏、川芎、防风、羌活、升麻、桔梗、白芷、甘草、细辛、紫苏、香附、红花
P0394,当归、赤芍、乳香、没药、元寸、续断、木瓜、血竭、三七、西红花
P0395,水蛭、当归、牡丹皮、红花、甘草、生地黄
P0396,三七、当归、白芍、大黄、牡丹皮、枳壳、桃仁、生地黄、大蓟、小蓟、红花
P0397,枳壳、桔梗、防风、乌药、当归、苦杏仁、半夏、木通、甘草、红花
P0398,铅丹、白胶香、没药、乳香、当归、白芷、苦杏仁、大黄、草乌、川乌、赤芍、槟榔、生地黄、川芎、沥青、乱发
P0399,大梅片、麝香、乳香、没药、结子红花、血竭、朱砂、雄黄、儿茶、当归
P0400,没药、木香、丁香、枳壳、延胡索、青皮、血竭、血余炭、儿茶、当归
P0401,马钱子、枳壳
P0402,乳香、没药、延胡索、细辛、香附、山柰、白芷
P0403,牛膝、三七、当归、落得打、杜仲、骨碎补、血竭、山羊血、自然铜、儿茶、甜瓜子、厚朴、乳香、木瓜、肉桂、续断、红花、朱砂、原寸香
P0404,当归、三七、五灵脂、党参、朱砂、乳香、草乌、僵蚕、地龙、穿山甲、白胶香
P0405,赤芍、当归、续断、白芷、生地黄、黄芩、甘草、牛膝、蒲黄
P0406,当归、草乌、没药、乳香、血竭、自然铜
P0407,麝香、水蛭
P0408,乳香、没药、当归、草乌、晏木、威灵仙、五灵脂
P0409,乳香、没药、血余炭、大黄、肉桂、当归、玄参、续断、莪术、生地黄、赤芍、白芷、射干、巴豆、明矾、黄芩、柳枝、香油、铅丹、麝香
P0410,威灵仙
P0411,瓜蒌、赤芍、甘草、黄芪、苦杏仁、白芷、当归、桃仁、人参、川芎、苍术、桑白皮、沉香、零陵香、藿香
P0412,神曲
P0413,水蛭、菟丝子、发灰、好绵灰、没药、乳香、血竭、麝香
P0414,红花、没药、当归、儿茶、雄黄、白芷、肉桂、乳香、朱砂、大黄、血竭、冰片、麝香
P0415,牛黄、冰片、麝香、白芷、穿山甲、蛤粉、乳香、胡椒、自然铜、大黄、没药、当归、桃仁、苏木、五灵脂、红花、赤芍、木香、五加皮、血竭、青皮、无名异、甜瓜皮、大戟、千金子、土鳖虫、土豆根、山慈姑、朱砂
P0416,菟丝子、补骨脂、金铃子、续断、葫芦巴、远志、五味子、鹿茸、角版、甘松、杜仲、山柰、益智仁、柏子仁、防风、苦杏仁、木通、滑石、三棱、莪术、韭菜子、地骨皮、五加皮、何首乌、牡丹皮、青藤、石楠藤、紫金皮、木贼、海桐皮、红豆蔻、蒺藜、乳香、没药、龙骨、虎骨、血竭、朱砂、麝香、自然铜、黄芪、人参、白术、粟壳、川芎、赤芍、白芍、红内消、熟地黄、茯苓、茯苓、苍术、陈皮、乌药、香附、当归、枳壳、枳实、白芷、厚朴、麻黄、吴茱萸、八角茴香、小茴香、荆芥、羌活、独活、牛膝、木瓜、半夏、天南星、僵蚕、全蝎、天麻、细辛、藿香、干姜、良姜、川乌、巴戟天、青盐、肉桂、附子、连翘、桔梗、青皮、天雄、草果、丁香、砂仁、肉苁蓉、肉豆蔻、白豆蔻、木香、甘草
P0417,牛黄、冰片、麝香、阿魏、明腰黄、大黄、粉条儿茶、天竺黄、三七、血竭、乳香、没药、山羊血、藤黄
P0418,马钱子、麻黄、乳香、没药
P0419,肉桂、红花、川乌、草乌
P0420,糯米、飞罗面、马勃
P0421,山羊血、金花石、琥珀、人参、古铜钱、兔骨、没药、麝香
P0422,牡丹皮、萆薢、白术、肉桂
P0423,韭菜、童便
P0424,生地黄、川芎、赤芍、藕节、当归、芸苔子、芒硝、荆芥、马齿苋
P0425,生地黄、黄芩、阿胶、侧柏、甘草
P0426,虎骨、金毛狗脊、五加皮、淫羊藿、牛膝、白茄根、油松节、独活
P0427,丁香、檀香、木香、甘草、缩砂仁、白豆蔻、沉香、藿香
P0428,当归、生地黄、熟地黄、白术、枳壳、荆芥、白芍、防风、陈皮、杜仲、牡丹皮、川芎、干姜、牛膝、独活、茄皮、续断、黄芪、艾叶、香附、羌活、红花、甘草、茯苓
P0429,乳香、乌梅、白莴苣子、白米
P0430,葶苈子、防己、木香、茯苓、木通、人参
P0431,五倍子、山慈姑、川墨、续随子、五灵脂、板蓝根、红大戟
P0432,茄子
P0433,血竭、乳香、没药、地龙、自然铜、无名异、木鳖子
P0434,冰片、麝香、朱砂、乳香、红花、血竭、雄黄、儿茶、当归、没药
P0435,藤黄、桑树炭
P0436,麝香、穿山甲、木香、血竭、雄黄、山芝麻、木鳖子、自然铜、僵蚕、蜈蚣
P0437,草乌、天南星、川乌、五灵脂、木鳖子、羊踯躅、蔓荆子、地龙、白胶香、没药、乳香、麻黄、地榆、天麻、京墨
P0438,石南藤、乳香、没药、川乌、五灵脂、自然铜、木瓜
P0439,乳香、没药、香附、当归、血竭、自然铜、红花、延胡索、骨碎补
P0440,当归、没药、川芎、甘草、红花、血竭、乳香、赤芍、大黄
P0441,羌活、防风、荆芥、独活、当归、续断、青皮、牛膝、五加皮、杜仲、红花、枳壳
P0442,延胡索、杜仲、肉桂、羌活、芍药
P0443,乳香、没药、贝母、牛膝、血竭、独活、羌活、杜仲、木瓜、桂枝、甘草、红花、麻黄、马钱子、防风
P0444,当归、川芎、白芍、熟地黄、羌活、独活、桔梗、枳壳、柴胡、茯苓、白芷、甘草、紫苏、陈皮、香附
P0445,当归、生地黄、川芎、赤芍、荆芥、防风、甘草、红花、紫苏子
P0446,熟地黄、续断、杜仲、当归、附子、秦艽
P0447,干荷叶
P0448,大黄、生地黄、熟地黄、川芎
P0449,紫苏梗、厚朴、枳壳、砂仁、当归、红花、木香、赤芍、桃仁、苏木、香附
P0450,木香、甘草、沉香、桔梗、血竭、枳壳、槟榔、紫苏子、莱菔子
P0451,当归、川芎、芍药、蒲黄、泽泻、枳壳、人参、大黄、沉香、茯苓、甘草、接骨木
P0452,山薄荷、宝塔草、矮金屯叶、皱面藤叶
P0453,骨碎补、生姜、乳香、当归
P0454,当归、川芎、白芍、生地黄、乳香、没药
P0455,乳香、没药、苏木、降香、松节、川乌、自然铜、地龙、水蛭、血竭、龙骨、土狗
P0456,当归、黄芩、羌活、独活、天麻、麻黄、皂角、樟木子、莪术、川芎、白芷、何首乌
P0457,苏木
P0458,土鳖虫、自然铜、乳香、没药、朱砂、箬竭巴霜、麝香
P0459,石灰、清麻油、大黄
P0460,桃仁、大黄、芒硝、甘草、桂枝、牡丹皮、枳实
P0461,桃仁、大黄、桂枝、芒硝、甘草、当归、苏木、红花
P0462,桃仁、芒硝、甘草、大黄
P0463,桃仁、当归、牵牛子、琥珀、腻粉
P0464,桃仁
P0465,土鳖虫、乳香、没药、血竭、芒硝、骨碎补、当归
P0466,天灵盖
P0467,天麻、木香、人参、茯苓、羌活、白芷、天料木、川芎、当归、麻黄、乌梢蛇、白附子、龙脑、鹿角、甘菊花、生地黄、细辛、牛黄、麝香
P0468,川芎、当归、芍药、黄芪、青皮、乌药、陈皮、熟地黄、乳香、茴香
P0469,木香、乌药、厚朴、白芷、青皮、苦杏仁、苍术、陈皮、前胡、桔梗、甘草
P0470,当归、桃仁、大黄、牛膝、川芎、赤芍、红花、生地黄、羌活、桂枝
P0471,当归、生地黄、肉桂、乌药、红花、陈皮、白芍
P0472,陈皮、半夏、茯苓、甘草、枳壳、大腹皮、红花、川芎、当归、白芍、防风、槟榔、黄芪、桔梗、青皮、乌药、苏木、枳实、黄芩、紫苏、木香
P0473,大黄、生地黄、桃仁、枳壳、赤芍、当归、陈皮、木通、芒硝、甘草
P0474,大黄、芒硝、枳壳、厚朴、当归、陈皮、木通、红花、苏木、甘草
P0475,黄连、苍术、黄柏、肉桂、川芎、当归、白芍、防己、白芷、桃仁、威灵仙、羌活、龙胆草、红花、防风、龟甲、杜仲
P0476,陈皮、当归、甘遂
P0477,木香、当归、金毛狗脊、防风、白芨、白蔹、白芷、白术、乳香、松香、枫香、苦杏仁
P0478,麻黄、木贼、陈皮、甘草
P0479,大黄、当归
P0480,当归、枳壳、木通、泽兰、大黄、桃仁、苏木、红花
P0481,当归、大黄、红花、苏木
P0482,枳壳、大黄、芒硝、陈皮、厚朴、当归、木通、红花、苏木、甘草
P0483,闹洋花、乳香、没药、血竭
P0484,五加皮、自然铜、青皮、紫荆皮、杜仲、红花、穿山甲、蒺藜、当归、乳香、没药、土鳖虫
P0485,乳香、没药、川乌、补骨脂、蚕砂、川芎、荆芥、海桐皮、自然铜、草乌、赤小豆
P0486,菟丝子、续断、杜仲、甘松、苦杏仁、木通、五加皮、牡丹皮、虎骨、没药、当归、川芎、陈皮、厚朴、枳壳、白芷、荆芥、羌活、半夏、天南星、天麻、干姜、藿香、桔梗、连翘、巴戟天、葫芦巴、青皮、益智仁、八角茴香、滑石、草乌、清风藤、白豆蔻、米壳、远志、白芍、柏子仁、乌药、莪术、麻黄、石南藤、独活、黄芪、僵蚕、龟甲、赤芍、防风、香附、地骨皮、吴茱萸、海桐皮、牛膝、苍术、全蝎、熟地黄、肉苁蓉、枳实、砂仁、木瓜、红豆蔻、肉桂、茯苓、川楝子、川乌、韭菜子、丁香、五味子、补骨脂、木贼、山柰、细辛、小茴香、青盐、白附子、木香、肉果、鹿茸、乳香、良姜、草果、甘草、三棱、龙骨、自然铜、血竭、白术、人参
P0487,黄瓜蒌、忍冬草、乳香、苏木、没药、甘草
P0488,天雄、附子、草乌、骨碎补、白胶香、川乌、防风、天南星、锡蔺脂、萆薢、白附子、自然铜、葫芦巴、补骨脂、僵蚕、五灵脂、赤小豆、糯米、乳香、没药
P0489,铅丹、没药、乳香、血余炭、紫矿、槐角、木鳖子、蛤蚧、白蔹、白芨、当归、肉桂、麝香、白芷、苦杏仁、柳枝、脂麻油、血竭
P0490,莴苣子
P0491,当归、自然铜、乌金石、大黄
P0492,苍术、草乌、生姜、葱白
P0493,乌头、狗胆
P0494,赤小豆、白蔹、赤芍、何首乌、细辛、草乌、白芨、肉桂、天南星、当归、川芎、百草霜、骨碎补、乌药
P0495,麦冬、五味子、人参、肉桂、甘草、地骨皮、小麦、粳米
P0496,桂枝、甘草、五味子、人参、麦冬、小麦、地骨皮、薤白、生姜、粳米
P0497,当归、天南星、红花、白芷、防风
P0498,草乌、山芝麻、雄黄、血竭、穿山甲
P0499,猴骨、儿胎、鹿胎、血竭、琥珀、人参、自然铜
P0500,当归、红花、白芷、防风、天南星
P0501,当归、川芎、生地黄、白芍、苍术、厚朴、茯苓、陈皮、半夏、桔梗、羌活、独活、前胡、柴胡、干姜、枳壳、肉桂、甘草、生姜
P0502,五加皮、川牛膝、黄芪、玉竹、防风、佛手、桑枝、当归、陈皮、木瓜、苏木、松节、川芎、栀子、杜仲、秦艽
P0503,五加皮、肉桂、绵皮、良姜、砂仁
P0504,五加皮、骨碎补、续断、威灵仙
P0505,五灵脂、荆芥、防风、羌活、独活、甘草、穿山甲、骨碎补、草乌、麝香
P0506,没药、乳香、花椒、芍药、川芎、当归、自然铜
P0507,自然铜、花椒、当归、没药、乳香
P0508,血竭、雄黄、红花、儿茶、朱砂、乳香、当归、没药、麝香、冰片
P0509,麝香、乌头、五灵脂、防风、细墨、甘草、乳香
P0510,豉、苏枋木
P0511,豉
P0512,人参、防风、川芎、厚朴、天南星、半夏、桔梗、肉桂、当归、黄芩、白芷、羌活、独活、柴胡、甘草
P0513,赤芍、川芎、当归、升麻、羌活、陈皮、半夏、防风、天南星、甘草、干姜
P0514,消风散、住痛散
P0515,骨碎补、当归、川乌、白杨皮、肉桂、莪术、丁香、干姜、川芎、细辛、附子、乳香、没药、芍药
P0516,人参、黄芩、天南星、半夏、生姜
P0517,紫苏、乌药、白芍、陈皮、甘草
P0518,阿胶、艾叶
P0519,甘松、益智仁、香附、丁香、甘草、莪术、砂仁
P0520,乌药、香附、乳香、沉香
P0521,麻黄、川芎、乳香、没药、穿山甲、马前煠
P0522,肉桂、麻黄、桑白皮、苦杏仁、桔梗、细茶、甘草
P0523,川乌、草乌、荆芥、苍术、自然铜、白芷、地龙、没药、乳香、莴苣子、黄瓜种、木鳖子、稍瓜种
P0524,续断、生地黄、当归、川芎、附子、肉桂、泽兰、花椒、甘草
P0525,续断、防风、黄芪、乳香、没药、自然铜、牛膝
P0526,当归、熟地黄、菟丝子、骨碎补、续断、何首乌、茯苓、白术、牡丹皮、血竭、牛膝、红花、乳香、没药、虎骨、儿茶、鹿角、自然铜
P0527,古铜钱、没药
P0528,腊月猪脂、蜡、铅丹、自然铜、密陀僧、白矾、血竭、没药、乳香、朱砂
P0529,天南星、川乌、五灵脂、地龙、乳香、没药、僵蚕、羌活、天麻、全蝎、白附子、朱砂、轻粉、雄黄、樟脑、麝香
P0530,生地黄、苎根
P0531,草乌、乳香、没药、五灵脂、麝香
P0532,杜仲、当归、延胡索
P0533,生地黄、当归、川芎、赤芍、羌活、桂枝、乌药、青皮、秦艽、续断、杜仲、补骨脂、甘草、木瓜、三七、枳壳、小茴香、香附、五加皮、威灵仙
P0534,紫荆皮、牡丹皮、五加皮、郁金、乌药、肉桂、川芎、胡索、木香、羊踯躅、乳香、羌活
P0535,当归、生地黄、乌药、三七、肉桂、乳香、没药、牛膝、牡丹皮、红花、胡索、防风、独活、杜仲、五加皮、落得草、川芎、虎骨、干姜、姜黄、紫荆皮、海桐皮
P0536,夜合树、芥菜子
P0537,细辛、黄柏
P0538,古铜钱、土鳖虫、瓜蒌仁
P0539,五灵脂、川乌、没药、草乌、地龙、乳香、麝香、朱砂、白胶香
P0540,古铜钱、甜瓜子、珍珠
P0541,益母草
P0542,天南星、白附子、防风
P0543,自然铜、鹿茸、苍术、川乌、天南星、虎骨、胡桃、甘草、甜瓜子、没药、乳香、龙骨、花椒、葫芦巴、补骨脂、香附、白芷、五灵脂、浮萍草、血竭、雄黄、茴香、川楝子
P0544,香附、紫苏子、苏木、莱菔子、桃仁、当归、降香、红花、枳实、青皮、沉香、木香、肉桂、乳香、没药、藿香、陈皮、槟榔、莪术、白豆蔻
P0545,人中白
P0546,天南星、防风
P0547,天虫、天南星、防风、白芷
P0548,天南星、防风、白芷、天麻、羌活、白附子
P0549,天南星、防风、没药
P0550,苍术、川芎、神曲、香附、栀子、陈皮、半夏、茯苓、连翘、莱菔子、枳实、白术、黄连、山楂、木香、当归
P0551,当归、白芍、川芎、柴胡、香附、苍术、栀子、神曲、橘红、半夏、茯苓、黄连、桑白皮、地骨皮、川贝、甘草
P0552,芸苔子、大黄、没药、蒲黄、水蛭、腻粉、生地黄、生姜
P0553,泽兰、当归、红花、牡丹皮、青木香、桃仁、赤芍
P0554,泽兰、牡丹皮、牛膝、桃仁、红花、当归、三七、赤芍
P0555,泽兰、赤芍、当归、白芷、蒲黄、川芎、细辛、延胡索、牛膝、天雄、桃仁、桂枝、大黄、生地黄、续断、皂荚
P0556,大黄、桃仁、红花、当归、刘寄奴、川芎、赤芍
P0557,紫金皮、肉桂、八角茴香、甘草、川乌、草乌
P0558,苏木、当归、白莴苣子、无名异、没药、乳香
P0559,当归、川芎、白芍、苍术、厚朴、茯苓、半夏、白芷、枳壳、桔梗、干姜、桂枝、麻黄、甘草、羌活、蜜香
P0560,丁香、木香、血竭、儿茶、大黄、红花、当归、莲子、茯苓、白芍、牡丹皮、甘草
P0561,熟地黄、当归、川芎、赤芍、知母、黄柏、木通、甘草
P0562,川贝、浙贝母、半夏、竹茹、冬花、桑白皮
P0563,白芷、粟壳、甘草、乳香、没药
P0564,黄麻、血余炭、乳香
P0565,当归、牛膝、川芎、淮生苄、赤芍、白芷、羌活、独活、杜仲、续断、肉桂、八角茴香、乳香、没药、木香、丁皮、沉香、血竭
P0566,牛黄、藤黄、大黄、参山漆、天竺黄、明腰黄、粉条儿茶、冰片、阿魏、没药、血竭、麝香、乳香
P0567,当归、大黄、生地黄、赤芍、桃仁、红花、牡丹皮、龟甲
P0568,杜仲、八角茴香、小茴香
P0569,川芎、羌活、独活、防风、延胡索、当归、红花、香附、陈皮、牡丹皮、生地黄、牛膝、乌药、青皮、枳壳、麦芽、白术、桂枝、桃仁、神曲、杜仲、柴胡、木瓜、黄芩、荆芥、五加皮、续断、苏木、甘草、木通
P0570,白芍、当归、川芎、续断、红花、生地黄、牛膝、牡丹皮、杜仲
P0571,熟地黄、杜仲、山芋、枸杞、补骨脂、红花、羌活、独活、肉苁蓉、菟丝子、当归
P0572,古铜钱、巴豆、大黄、羊胫骨
P0573,紫葛、石膏、人参、丹参、细辛、紫参、苦参、玄参、齐盐、代赭石、肉苁蓉、巴豆、乌头、干姜、桂枝、独活
P0574,川乌、草乌、五灵脂、木鳖子、骨碎补、威灵仙、金毛狗脊、自然铜、防风、地龙、乌药、青皮、陈皮、茴香、牵牛子、乳香、没药、红娘子、麝香、禹余粮
P0575,紫金皮、刘寄奴、当归、白芷、赤芍、白芍、牵牛子、生地黄、川芎、川牛膝、乳香、没药、补骨脂、木通、木香、自然铜、藿香、木贼、肉桂、羌活、独活、半夏、骨碎补、草乌、川乌
P0576,紫荆藤、降香、续断、骨碎补、无名异、琥珀、蒲黄、牛膝、当归、桃仁、大黄、芒硝
P0577,大黄、干漆、枳壳、红花、五灵脂、当归、桃仁、白芍、生地黄、土鳖虫、香附、牡丹皮、牛膝、川芎、古铜钱、血竭、自然铜
P0578,犀黄、雄黄、大黄、天竺黄、藤黄、冰片、儿茶、参三七、血竭、乳香、没药、麝香、阿魏
P0579,自然铜、乳香、没药、当归、羌活
P0580,黑豆、川乌、乳香、没药、草乌
P0581,乌梅
P0582,米壳、当归、乳香、没药、血竭、甘草、川芎、古铜钱
P0583,前胡、白术、白芷、川芎、花椒、吴茱萸、附子、当归、细辛、桂枝
P0584,古铜钱、没药、乳香、珍珠
P0585,乳香、没药、孩儿茶、蚕茧
P0586,当归、熟地黄、木鳖子、川芎、草乌、芍药、细辛、自然铜
P0587,黑豆、当归、熟地黄
P0588,苍术、红曲、香附、白芷、草乌
P0589,木香、古铜钱、自然铜、麝香
P0590,米壳、麻黄、乳香、当归、甘草、芍药
P0591,海螵蛸、木鳖子、白芨、白敛
P0592,草乌、苍术、青皮、白芷
P0593,当归、草乌、白芷
P0594,何首乌、草乌、乳香、没药
P0595,七气罂口、古铜钱
P0596,乳香、没药、自然铜、滑石、龙骨、赤石脂、麝香
P0597,当归、川芎、白芍、人参、肉桂、青皮、陈皮、麻黄、苍术、丁香、青木香、乳香、没药、沉香、血竭、儿茶、甘草
P0598,血余炭
P0599,纯黄丝、虎骨、古铜钱、鳖甲
P0600,何首乌、附子、乳香、没药、木香、当归、甘草、五灵脂、自然铜、川乌
P0601,粪屎内瓦子、甜瓜子
P0602,天花粉、瓜蒌仁
P0603,蟹
P0604,土鳖虫、巴豆、半夏、乳香、马包
P0605,古铜钱、土鳖虫
