处方编号,处方组成
P0119,芒硝、土鳖虫、自然铜、血竭、木香、当归、桃仁、莪术、五加皮、猴骨、延胡索、三棱、苏木、五灵脂、赤芍、韭菜子、蒲黄、补骨脂、陈皮、川贝、枳壳、朱砂、葛根、桑寄生、肉桂、乌药、羌活、麝香、杜仲、秦艽、前胡、土狗、青皮
P0120,羌活、独活、秦艽、僵蚕、全蝎、苍术、白芷、穿山甲、蜈蚣、川乌、草乌、当归、桂枝、麻黄
P0121,蜂壳粉、百草霜
P0122,凤仙花根
P0123,茯苓、当归、麦冬、人参、黄芩、草龙胆、桃仁
P0124,附子、牵牛子
P0125,附子、龟甲、虎骨、栗楔、千金藤、补骨脂、白芷、骨碎补、自然铜、续断、赤芍、当归、肉桂、牛膝、乌药、没药、乳香
P0126,黄杨木、川芎、青木香、丹参、细辛、射干、瓜蒌、茵陈浸膏
P0127,柴胡、天花粉、当归、红花、甘草、穿山甲、大黄、桃仁
P0128,陈皮、牵牛子、甘草、延胡索、茴香、穿山甲、木香、当归、乳香、没药
P0129,甘草、茯苓、肉桂、苦杏仁
P0130,甘草、茯苓、苦杏仁、人参
P0131,甘松、黄荆、芥菜子、赤蓼花、欓子、僵蚕、螟蛉壳
P0132,藕节
P0133,川乌、草乌、细辛、白芷、当归、萆薢、红花
P0134,骨碎补、自然铜、虎骨、龟甲、没药
P0135,黄瓜蒌、忍冬藤、乳香、苏木、没药、甘草
P0136,大黄、甘草、芒硝、桃仁、当归
P0137,当归、密蒙花、黄连、熟地黄、楮实子、覆盆子、枸杞、玄参、连翘、防风、石斛草、陈皮、白芍
P0138,桂枝、附子、僵蚕、蒲黄、苍术、古铜钱、当归
P0139,肉桂、当归、蒲黄、大黄
P0140,桂枝
P0141,海金沙、大黄、乳香、没药、血竭
P0142,瓜蒌、忍冬、乳香、苏木、没药、甘草
P0143,青皮、羌活、当归、红花、苏木、生地黄、杜仲、木香、陈皮、牡丹皮、木通、川芎、甘草
P0144,泽兰、百部、刘寄奴、猴姜、苏木、陈皮、乳香、甘草、没药、金银花
P0145,五加皮、茜草、刘寄奴、红花、青木香、枳壳、莪术、乌药、京三棱、桃仁、赤芍、当归
P0146,羊踯躅、大黄、赤芍、当归、红花、生地黄、牡丹皮、土狗、土虱
P0147,当归、延胡索、紫荆皮、八角茴香、川乌、草乌、甘草、自然铜、红花、蒲黄、丹参、五灵脂、甘松、山柰、砂仁
P0148,大黄、玄明粉、桃仁、当归、红花、鳖甲、枳壳、延胡索、桂枝、木通
P0149,穿山甲、当归、红花、苏木、生地黄、威灵仙、五加皮、川芎、乳香、没药、花粉、甘草、桃仁、血竭、大黄
P0150,人参、黄芪、当归、白芍、白术、防风、茯苓、桂枝、陈皮、甘草
P0151,赤芍、当归、川芎、苏木、陈皮、乳香、桃仁、续断、乌药、没药、木通、甘草
P0152,当归、桃仁、香附、莪术、三棱、赤芍、沉香、槟榔、降香、乳香、没药、甘草、麝香、木香、土鳖虫、乌药、枳壳、延胡索、苏木、姜黄、鳖甲、牡丹皮
P0153,狗骨、天灵盖、牛皮、天南星
P0154,苍术、草乌、生姜、自然铜、乳香、没药、五灵脂
P0155,水蛭、天仙子、没药、乳香、羊胫骨、大叶莴苣子、萆薢、防风、赤芍、草乌、自然铜、梧桐泪
P0156,黄牛胫骨、定器
P0157,百草霜、蚌粉
P0158,熟地黄、赤小豆、干姜、藁本、麻黄、川芎、羌活、甘松、当归、川乌、甘草、藿香、香墨、草乌、白芷
P0159,白蔹、白芨、天南星、芍药、当归、骨碎补、川乌、牛膝、百草霜、赤小豆
P0160,干过腊鱼霜、山椒
P0161,苏木、红花、桃仁、穿山甲、延胡索、牡丹皮、红曲、香附、降香、麦芽、通草、山楂、蒲黄、赤芍
P0162,牛膝、川乌、天南星、细辛、何首乌、桔梗、山桂、当归、自然铜、白蔹、赤芍、骨碎补、没药、羌活、赤小豆
P0163,虎骨、木瓜、川芎、川牛膝、当归、天麻、五加皮、红花、续断、白茄根、玉竹、秦艽、防风、桑枝
P0164,黄荆、续断、独活、秦艽、海桐皮、鸡骨、虎骨、龙骨、犬骨
P0165,虎骨、龟甲、当归、阳起石、姜黄、骨碎补、自然铜、赤芍、甜瓜子、没药
