"","one","Means","SD"
"num.edges",1334,1334,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",348,348,0
"connectance",0.0220941402497598,0.0220941402497598,0
"average.degree",7.66666666666667,7.66666666666667,0
"average.path.length",4.26939315752438,3.09273713861864,0.00605357913531208
"diameter",13,5.44,0.498887651569859
"edge.connectivity",0,1.03,0.702880077993682
"clustering.coefficient",0.0267418032786885,0.0217409941606097,0.00230376327910391
"no.clusters",2,1.25,0.479372485441102
"centralization.degree",0.113352545629203,0.0256003842459174,0.0035796744946397
"centralization.betweenness",0.0743746866396673,0.0183187429613438,0.003118872825966
"centralization.closeness",1.5088047910164,NA,NA
