"","one"
"num.edges",1334
"num.pos.edges",0
"num.neg.edges",0
"num.vertices",348
"connectance",0.0220941402497598
"average.degree",7.66666666666667
"average.path.length",4.26939315752438
"diameter",13
"edge.connectivity",0
"clustering.coefficient",0.0267418032786885
"no.clusters",2
"centralization.degree",0.113352545629203
"centralization.betweenness",0.0743746866396673
"centralization.closeness",1.5088047910164
