Sample_ID	observed_species	shannon	simpson	invsimpson	Pielou_evenness
Healthy01	209	3.46501809496165	0.927845207248404	13.859093233663	0.64859627487503
Healthy02	149	2.860321388002	0.886743554761203	8.82951957296149	0.571613125545232
Healthy03	85	2.77778146093334	0.886833599550901	8.83654508786636	0.625253097882768
Healthy04	104	3.23033341333193	0.926598771759982	13.6237502284029	0.695534351755175
Healthy05	177	3.21456641337208	0.920371361297866	12.5582958129008	0.621034278267226
Healthy06	112	3.28241577434069	0.934132883697391	15.1820825949897	0.695648311862318
Healthy07	162	3.38921819802377	0.912627953466925	11.4453081927233	0.666172780759534
Healthy08	224	3.38132282902424	0.928674480229172	14.0202273073235	0.624823352566669
Healthy09	119	3.04514690783138	0.913993868845727	11.6270780533804	0.637176861451803
Healthy10	157	3.41304585711536	0.929791985096561	14.2433880430227	0.675015809853463
Patients01	133	3.16204021095754	0.92522979442296	13.3743112284163	0.64658782595085
Patients02	104	3.02290690124257	0.921475380336171	12.7348595164305	0.650872626117976
Patients03	202	3.51125959074182	0.934442665868507	15.2538234394068	0.661469954211398
Patients04	139	2.99320675245495	0.915985350241614	11.9026860538711	0.606590853050855
Patients05	139	3.22223206027728	0.920213016654793	12.5333727141103	0.653004171051103
Patients06	213	3.74726579395583	0.951997070147951	20.8320617737734	0.698948253169854
Patients07	200	3.47279172219306	0.937058969298725	15.8878872630179	0.655451812705522
Patients08	125	2.82989970636411	0.862394154822823	7.26713315638906	0.586105182954669
Patients09	99	2.11602955844272	0.697948300496824	3.31069151951414	0.460494965845286
Patients10	41	2.28370008091641	0.789288625186789	4.74582827285176	0.614960485456024
