"KO1"	"KO2"	"KO3"	"KO4"	"KO5"	"KO6"	"OE1"	"OE2"	"OE3"	"OE4"	"OE5"	"OE6"	"WT1"	"WT2"	"WT3"	"WT4"	"WT5"	"WT6"
"KO1"	0	0.167680236153441	0.200573002730694	0.155699589232005	0.204893905749999	0.151992152716263	0.199068524951716	0.228359862912637	0.189896695496776	0.16871768283221	0.153741407844677	0.166258892416727	0.168875958733335	0.173317462159227	0.18052591061615	0.17255837043716	0.178165308060798	0.164620803651021
"KO2"	0.167680236153441	0	0.229845791692951	0.214007633367663	0.288297243014039	0.198850333403297	0.192254452470058	0.197218203916955	0.204638459301279	0.20265827719972	0.17160734117259	0.163183664489072	0.188226467558953	0.218066335452962	0.179158195861275	0.169213276254703	0.203293946385581	0.182445007749548
"KO3"	0.200573002730694	0.229845791692951	0	0.213143678691283	0.212677370710944	0.20296231057439	0.278275912428203	0.247132292763551	0.227556767691968	0.217976193301956	0.214574527449321	0.250236764479844	0.236933780706099	0.223085687384403	0.224393250853278	0.219525810013159	0.224252962112501	0.196615181851128
"KO4"	0.155699589232005	0.214007633367663	0.213143678691283	0	0.21221703132409	0.169027800762347	0.248799603933627	0.256669677092961	0.21822187850389	0.20637598245722	0.190323169850501	0.228180318308311	0.19172132130999	0.196905689130921	0.215382767857181	0.213118806858185	0.194255185381856	0.196503433999013
"KO5"	0.204893905749999	0.288297243014039	0.212677370710944	0.21221703132409	0	0.205911003661377	0.322377303157524	0.291495867228921	0.278481703603901	0.256106730855095	0.247965716605086	0.304237411952255	0.246707704056373	0.207352881059989	0.264768215979331	0.269456491742448	0.226740780798158	0.242783215431655
"KO6"	0.151992152716263	0.198850333403297	0.20296231057439	0.169027800762347	0.205911003661377	0	0.240807122446219	0.248930354497135	0.221592638304711	0.185091874307964	0.174371966749642	0.204139390069466	0.201841921895444	0.215814511231045	0.202941797082828	0.195724216017473	0.193566866182534	0.191062061562723
"OE1"	0.199068524951716	0.192254452470058	0.278275912428203	0.248799603933627	0.322377303157524	0.240807122446219	0	0.179334753981225	0.196270256835921	0.187575806618035	0.169090326178397	0.130860579235766	0.221567901014334	0.242850116792117	0.154253981697056	0.201387776149735	0.239529623599447	0.166879160598491
"OE2"	0.228359862912637	0.197218203916955	0.247132292763551	0.256669677092961	0.291495867228921	0.248930354497135	0.179334753981225	0	0.179945214025529	0.191011160580396	0.168625897994339	0.179019715818893	0.187357644447702	0.225626855843322	0.162167437113239	0.205603505051791	0.222143662109981	0.154041798040095
"OE3"	0.189896695496776	0.204638459301279	0.227556767691968	0.21822187850389	0.278481703603901	0.221592638304711	0.196270256835921	0.179945214025529	0	0.150267988999756	0.168086357245104	0.177867755691394	0.172904774031327	0.195681261175048	0.167530475152071	0.187401609115505	0.197616376234897	0.151751996186474
"OE4"	0.16871768283221	0.20265827719972	0.217976193301956	0.20637598245722	0.256106730855095	0.185091874307964	0.187575806618035	0.191011160580396	0.150267988999756	0	0.152536226804359	0.155859735979373	0.159459112148143	0.175522011550371	0.163110791379544	0.168929431881784	0.178915229005742	0.159045887680131
"OE5"	0.153741407844677	0.17160734117259	0.214574527449321	0.190323169850501	0.247965716605086	0.174371966749642	0.169090326178397	0.168625897994339	0.168086357245104	0.152536226804359	0	0.142537898583905	0.159701631467874	0.181232161305363	0.126252836941272	0.147465755255299	0.161776410372771	0.122457875311198
"OE6"	0.166258892416727	0.163183664489072	0.250236764479844	0.228180318308311	0.304237411952255	0.204139390069466	0.130860579235766	0.179019715818893	0.177867755691394	0.155859735979373	0.142537898583905	0	0.197602747871205	0.231921392988193	0.147465567415855	0.180781777727735	0.210964591314702	0.152270473705329
"WT1"	0.168875958733335	0.188226467558953	0.236933780706099	0.19172132130999	0.246707704056373	0.201841921895444	0.221567901014334	0.187357644447702	0.172904774031327	0.159459112148143	0.159701631467874	0.197602747871205	0	0.141945886470667	0.16034387448629	0.164283366921847	0.160739727177699	0.147040501190051
"WT2"	0.173317462159227	0.218066335452962	0.223085687384403	0.196905689130921	0.207352881059989	0.215814511231045	0.242850116792117	0.225626855843322	0.195681261175048	0.175522011550371	0.181232161305363	0.231921392988193	0.141945886470667	0	0.176977876994971	0.165378340438183	0.171771639811285	0.172993878798243
"WT3"	0.18052591061615	0.179158195861275	0.224393250853278	0.215382767857181	0.264768215979331	0.202941797082828	0.154253981697056	0.162167437113239	0.167530475152071	0.163110791379544	0.126252836941272	0.147465567415855	0.16034387448629	0.176977876994971	0	0.144274727286736	0.190295705691804	0.122481534868059
"WT4"	0.17255837043716	0.169213276254703	0.219525810013159	0.213118806858185	0.269456491742448	0.195724216017473	0.201387776149735	0.205603505051791	0.187401609115505	0.168929431881784	0.147465755255299	0.180781777727735	0.164283366921847	0.165378340438183	0.144274727286736	0	0.191556574089579	0.158393499497087
"WT5"	0.178165308060798	0.203293946385581	0.224252962112501	0.194255185381856	0.226740780798158	0.193566866182534	0.239529623599447	0.222143662109981	0.197616376234897	0.178915229005742	0.161776410372771	0.210964591314702	0.160739727177699	0.171771639811285	0.190295705691804	0.191556574089579	0	0.168817719834109
"WT6"	0.164620803651021	0.182445007749548	0.196615181851128	0.196503433999013	0.242783215431655	0.191062061562723	0.166879160598491	0.154041798040095	0.151751996186474	0.159045887680131	0.122457875311198	0.152270473705329	0.147040501190051	0.172993878798243	0.122481534868059	0.158393499497087	0.168817719834109	0
