"S1"	"S2"	"S3"	"S4"	"S5"	"S6"	"S7"	"S9"	"S10"	"S11"	"S12"	"S13"	"S15"	"S16"	"S17"	"S18"	"S19"	"S20"	"S22"	"S23"	"S24"	"S25"	"S26"	"S27"	"S28"	"S30"	"S34"	"S35"	"S36"	"S37"	"S61"	"S62"	"S63"	"S65"	"S85"	"S86"	"S87"	"S88"	"S89"	"S112"	"S113"	"S114"	"S161"	"S162"	"S164"	"S165"	"S166"	"S167"	"S168"	"S169"	"S170"	"S171"	"S172"	"S173"	"S174"	"S175"	"S176"	"S177"	"S179"	"S182"	"S187"	"S188"	"S191"	"S194"	"S196"	"S197"	"S198"	"S201"	"S202"	"S203"	"S204"	"S205"	"S206"	"S207"	"S208"	"S209"	"S210"	"S213"	"S214"	"S215"	"S216"	"S217"	"S218"	"S219"	"S220"	"S221"	"S222"	"S223"	"S224"	"S225"
"S1"	0	0.539861583757122	0.565507359645695	0.598578125804956	0.654346718540132	0.661805396633865	0.626304996271439	0.477545881936385	0.676672189761926	0.67164750041839	0.686586123949296	0.662389448392209	0.838296771969142	0.846339137853164	0.84441096043306	0.808962925570699	0.815831751131883	0.8102640943997	0.684130342784596	0.689152211673448	0.7165728778632	0.75462521457181	0.809154767008541	0.77484228999668	0.839283977040568	0.814923479502022	0.745345938784218	0.778797837955292	0.890242637909581	0.786781894170149	0.867942345924453	0.855611081461356	0.831207018055454	0.843910577243911	0.873061875090567	0.832972334350694	0.878960447297577	0.872669061759171	0.880848854565514	0.862324237705103	0.887114845938375	0.88638063022966	0.89371525019857	0.879846631052904	0.905897945659377	0.87453365360045	0.888738060567169	0.848939743858912	0.858686570489612	0.833161298476965	0.912785752944512	0.899471549711196	0.902923575002453	0.906622588337308	0.913983610890827	0.92316456031582	0.893982380170225	0.910310233902186	0.819366697301362	0.798293612717513	0.823867832847425	0.862947032075704	0.856958207669108	0.92588890832313	0.900920129007778	0.74182231445795	0.740481338723324	0.635001132779143	0.72338509050356	0.808205635195255	0.823180823234211	0.854284437199274	0.842381399458773	0.817293716790965	0.854589963280294	0.805621155892352	0.69631042266677	0.78156263725538	0.777535234660466	0.777242460741313	0.827683182492202	0.743504863216232	0.706047065832589	0.801229765340695	0.774315836077368	0.744650811810813	0.778152892753087	0.8169222283508	0.760422728648246	0.743950799838688
"S2"	0.539861583757122	0	0.456358724467897	0.511787034262311	0.583551031438609	0.621984621315101	0.607649431277473	0.401717282314297	0.67078231466776	0.708007154637738	0.743282488684231	0.699831449534008	0.864533467708071	0.864543772519233	0.867222030229724	0.810305434206438	0.828668683812405	0.823007238129922	0.62951198382905	0.636338412448843	0.686944949197656	0.695780972278524	0.750695028124394	0.726145478012354	0.846323431590551	0.810011522212265	0.676349091862829	0.759930597544625	0.893612744359013	0.768847680903312	0.875066325792292	0.870417491282631	0.8622707856418	0.861842320395017	0.884864408370085	0.853237753882915	0.888292266773724	0.885142029948504	0.888596176947881	0.873575084012388	0.897398100853588	0.894410370783384	0.909563960491448	0.892037106997439	0.917089588119023	0.891911983348201	0.901339275018568	0.855515435081117	0.879013143719026	0.848602468527304	0.926592209479549	0.915574963609898	0.918607420107634	0.920421759429261	0.927839803339138	0.932965481842679	0.910636653463433	0.921063739974673	0.841363893452557	0.838875901767086	0.888441676792224	0.906793614431956	0.909536472183117	0.934825303687899	0.914542521318276	0.765600268598014	0.763216815170208	0.765541013258707	0.839038662486938	0.889074476604507	0.869920380519078	0.887657623232709	0.885724970616519	0.860433886689357	0.892068339168663	0.864721418689473	0.789621744915415	0.802672732442423	0.835685297915514	0.830934217799889	0.874851249504165	0.738257596421363	0.751284487271458	0.827063092020357	0.812264125692567	0.816939696948207	0.841504002878474	0.86718800352332	0.795070279079242	0.830375078209899
"S3"	0.565507359645695	0.456358724467897	0	0.39348466868277	0.61079946199521	0.652906582221217	0.585013073842386	0.506319156746552	0.722376557039161	0.694383411150783	0.714650205761317	0.686031109260871	0.867683270537277	0.859178788436752	0.878415899459301	0.832695890948318	0.831166543353416	0.814946856362243	0.628425103440294	0.60379159847245	0.611005089058524	0.740048190851704	0.822595782843556	0.756201852920216	0.855850733925987	0.793665950505292	0.699924604171902	0.74508665726843	0.88368048846466	0.786523674625658	0.869576268109364	0.869158223188304	0.863700267116547	0.87777566097246	0.877730170341729	0.846539439292492	0.876373732310184	0.879793039903608	0.882903841565259	0.868387749936725	0.902388509938993	0.901773596190564	0.906122005146979	0.895863602668643	0.910617850916358	0.891961414790997	0.894960097778417	0.857587089155678	0.874175895204033	0.860347405958817	0.918856792582944	0.912313299506896	0.914223631247106	0.910514356537905	0.919541602005491	0.927248043443539	0.907433686278791	0.915356711003628	0.838503964150293	0.83698089861573	0.90204123764548	0.904738083327378	0.90612595654131	0.934631432545202	0.913061182938003	0.790474133275732	0.795303025226976	0.812049594915178	0.86542485779127	0.898871877518131	0.871340306101846	0.889397647430331	0.883563682755688	0.864434574649812	0.884650544336408	0.860106835952621	0.824601307865285	0.81635611498073	0.83706319828845	0.845387170968566	0.880598144993375	0.798743669653292	0.79270235818993	0.838650261548663	0.814931740614334	0.834683954619125	0.857203653386585	0.883099368601729	0.813681427627231	0.861149680644265
"S4"	0.598578125804956	0.511787034262311	0.39348466868277	0	0.572121604139715	0.601564027370479	0.481239804241436	0.549449125081011	0.680961994985912	0.63064434297311	0.641104418482435	0.607818317200298	0.869669634489222	0.862568860539287	0.879262561754428	0.841406913280776	0.839070090215128	0.826600985221675	0.589519401108635	0.547186292625567	0.586228457540349	0.71579737039523	0.846684854497355	0.782370251471375	0.857920425216569	0.81017558953502	0.731816914066132	0.770392995316636	0.880671885688227	0.802652132008375	0.870398169990707	0.867265193370166	0.861538994080792	0.87864423843282	0.878122426571507	0.848833110061341	0.878574137277209	0.880230326295585	0.88788458707493	0.868934311124981	0.899950956351153	0.901885761136923	0.904231784771284	0.899069141150986	0.90857476830592	0.888657338493599	0.897292514599186	0.867734695457008	0.873879208255794	0.867363458206708	0.916349523343005	0.90915807620589	0.913293581199579	0.908286665043422	0.918804755944931	0.925356147717907	0.907593123209169	0.916216216216216	0.846479171072108	0.848587398760409	0.902112891701541	0.906906378637019	0.905041408699847	0.932418314780792	0.915401591653849	0.811370241723967	0.815162121112065	0.837363416742392	0.87830995751615	0.899672413222594	0.876507936507936	0.886849559582476	0.88309953239813	0.866765408826203	0.88442231563482	0.862281603288798	0.839850738639268	0.828481894150418	0.843996787578637	0.855581109605873	0.885073737524207	0.821966320556988	0.816606725645132	0.848167349454374	0.827616534740545	0.842256844442902	0.863413374644978	0.885491334724617	0.824282503176206	0.864126984126984
"S5"	0.654346718540132	0.583551031438609	0.61079946199521	0.572121604139715	0	0.400024897298643	0.492944872893459	0.590543845347619	0.571703113304877	0.593220338983051	0.601058528370622	0.544394618834081	0.864377726989404	0.859163745618428	0.872205866317741	0.839859602939563	0.836829415310428	0.825337546681988	0.703948371360333	0.717157509157509	0.723863901966677	0.765950485331007	0.832473835886546	0.778951669390614	0.853861540937622	0.811967525308209	0.783286467007016	0.812692374200242	0.883549585968573	0.813463380649656	0.868946749953615	0.86218487394958	0.85593551685765	0.872977439563396	0.87744746895893	0.848621890851311	0.87875040676863	0.877752536725731	0.885714285714286	0.865073478917731	0.898207972692917	0.897240407723544	0.904279626999321	0.892269352577748	0.911775093593275	0.886462602459016	0.895937452092595	0.862062115091716	0.875589201542637	0.854482044024362	0.914495614744814	0.908184119818198	0.913051414663827	0.911040617888422	0.916466185511895	0.925739754029691	0.901982651796778	0.910701876302988	0.839457239778611	0.84683127303565	0.887847891981262	0.895494616112009	0.899500581514675	0.929138516143093	0.911865989610693	0.820593111070179	0.822259423887317	0.82380403807676	0.859112740794298	0.890228738324513	0.853179972936401	0.879592446317746	0.875883017801639	0.856928992866997	0.882479298756193	0.86902157944566	0.822057673734075	0.831438935912938	0.808199976638243	0.847040248192571	0.880943226963988	0.810111404216355	0.815984736061056	0.845725198008953	0.827672911428268	0.832846077338075	0.854911724762336	0.873820912273201	0.821034315543258	0.844836272040302
"S6"	0.661805396633865	0.621984621315101	0.652906582221217	0.601564027370479	0.400024897298643	0	0.454518110038852	0.605897114178168	0.473802422769616	0.541612986343726	0.559825790124183	0.498518210774131	0.877895319090092	0.873605342454597	0.884233346472211	0.850445809391718	0.853723893340339	0.839476004534576	0.709332549781886	0.720738272237888	0.737038525578458	0.775221623065494	0.851081920560829	0.81322639147871	0.865930794989458	0.832146139705882	0.79337091101797	0.827455621301775	0.896003824629489	0.830680835918035	0.886844155495258	0.881010338960869	0.873236481879687	0.882824165978603	0.893980046367449	0.865783946185956	0.896279657447705	0.893614775725594	0.897431150196714	0.880358440300315	0.906252888009907	0.903862434857863	0.914196023718172	0.901214089893335	0.924335070333444	0.897167538832129	0.90672	0.878701513381024	0.894980084526741	0.866963602825393	0.927397719651241	0.91977275140703	0.922129519268971	0.9226251955027	0.928934593399018	0.935379830674423	0.913144087178797	0.922709045002228	0.854849498327759	0.855559306774702	0.890735655441538	0.90288839333121	0.910255282980158	0.938655280510215	0.921585655538811	0.845537787981526	0.8458425033518	0.84040909425355	0.870720689734241	0.897684082501394	0.865582813180433	0.895076536440484	0.890532277012983	0.873896077223249	0.894453004622496	0.882306566054736	0.825019123028261	0.848017911234031	0.802959441846201	0.85829307568438	0.890517217497299	0.826851085628719	0.832396805948709	0.85940045617465	0.846506853450879	0.846679277007146	0.861492952844963	0.882953578519429	0.83085473937209	0.836091689530047
"S7"	0.626304996271439	0.607649431277473	0.585013073842386	0.481239804241436	0.492944872893459	0.454518110038852	0	0.575811555138873	0.494497894758253	0.451552518199376	0.47452041488882	0.432762520193861	0.876340429983784	0.872104033836248	0.888033344301854	0.854573540770164	0.852020662412641	0.838679791546034	0.659895620139173	0.650095997636981	0.671350112874423	0.754530176823031	0.864085070701681	0.816497028887451	0.869837817828471	0.824820471325984	0.79658406446822	0.81672194100192	0.894750690698592	0.825623921121156	0.881876013471373	0.87963691376702	0.875496528093635	0.883055169216504	0.889811638683276	0.860426423465615	0.888378200919238	0.889632004886242	0.89625541978715	0.87690604676906	0.907207648933562	0.906121088378682	0.910075974592104	0.89856739516888	0.912993866780773	0.893482333182611	0.900448291853455	0.870974208205265	0.882887430590611	0.863304409781419	0.920663423552842	0.913634546181527	0.915950920245399	0.914102742586663	0.921167981657563	0.927225998444422	0.906154326772883	0.914415994387934	0.856571119524067	0.853104741847379	0.89167706455936	0.901823885830283	0.906504626432813	0.933059122735408	0.915166490175315	0.832961862308073	0.833372120083779	0.832835456928611	0.86608071562305	0.894727638366705	0.863298053943325	0.891430293694116	0.886456030240354	0.873302364115158	0.889623334382541	0.87213859886038	0.827702702702703	0.839256324291375	0.807382115735563	0.850353046244872	0.884816753926702	0.825785653194149	0.830690088424247	0.854134436270641	0.835949511924769	0.841137682700781	0.859383018760335	0.878394746050117	0.823382297984879	0.838644331904947
"S9"	0.477545881936385	0.401717282314297	0.506319156746552	0.549449125081011	0.590543845347619	0.605897114178168	0.575811555138873	0	0.628993834080718	0.654689754689755	0.673106225511537	0.641466237942122	0.849000194978227	0.850430479460701	0.851504391702485	0.791397445529677	0.810701604016163	0.802237136465324	0.701742071341969	0.699329822881762	0.751515796191894	0.75767923534762	0.762909981953344	0.722703308762137	0.832447016501134	0.796839248656415	0.703007858368711	0.763631391851244	0.885621852905111	0.757742732281968	0.86427624834346	0.856985967053081	0.843731664384901	0.848256914546094	0.875361403338274	0.837695946113271	0.877764751856194	0.874354561101549	0.880556763810352	0.860009078529278	0.884831114940306	0.884734366897341	0.902949476786294	0.885873919916842	0.912647001584698	0.883457196492401	0.892922771293767	0.846527722746124	0.865784233994223	0.833813315263425	0.915702650827411	0.905039814036303	0.909093152375077	0.914231933873476	0.92007024452545	0.926872199701302	0.903693501940654	0.913654453135721	0.827145260796411	0.819752570861826	0.859617600531219	0.88461348236807	0.884897937054406	0.926987479257807	0.904248467355263	0.746252703273758	0.746247133637503	0.715160849931739	0.788965309070525	0.854957855857562	0.840225715437324	0.869052029852326	0.858815024883921	0.825607593116341	0.868777041459006	0.829598286579951	0.735437320349622	0.779845341843623	0.796224253562138	0.790977237407441	0.843517637070008	0.716650474553471	0.726031771373833	0.801303096115966	0.781065418477655	0.777391389528334	0.805809437428777	0.837437330848751	0.760161078853718	0.772142073736607
"S10"	0.676672189761926	0.67078231466776	0.722376557039161	0.680961994985912	0.571703113304877	0.473802422769616	0.494497894758253	0.628993834080718	0	0.434086276467407	0.532485549132948	0.486037952086042	0.893385494806009	0.893590716841991	0.896413811491801	0.864006160233017	0.876365326516384	0.86328452096481	0.760871596494179	0.771117279091926	0.796789261257993	0.810574406870328	0.862833908844941	0.839147406902534	0.882524372896645	0.863896198167135	0.83714702059785	0.865607875917154	0.916612755705267	0.859429653100695	0.902819900625928	0.899437575042656	0.891903295219611	0.893248326811802	0.908554881759238	0.883401949700292	0.915112626161353	0.908582089552239	0.910133770341857	0.898927963922624	0.915734326426915	0.913618814181125	0.930552869636219	0.915823445657333	0.937268938234394	0.91578715434615	0.92315258296271	0.901747266373577	0.912422610717081	0.883362495811772	0.939314569830418	0.93263166865519	0.935223188652362	0.93590545707334	0.941017672012885	0.945765331636132	0.926776215191782	0.935900123448163	0.886095165804829	0.87967508703026	0.89684754163706	0.913754900289756	0.918454836702238	0.949213347164592	0.933042813771453	0.861450553213346	0.863685731264985	0.84158913754086	0.881011365570453	0.908031353880248	0.887996705785464	0.9126546834071	0.909713882020487	0.893322272915803	0.909893992932862	0.90018756698821	0.838442721074273	0.868016005758686	0.830774634791413	0.873204123054881	0.904463793673537	0.830862017260338	0.847118679998587	0.881681707740368	0.87034677990092	0.865122961210175	0.876719801200073	0.893826586008996	0.852956716114611	0.836716694797987
"S11"	0.67164750041839	0.708007154637738	0.694383411150783	0.63064434297311	0.593220338983051	0.541612986343726	0.451552518199376	0.654689754689755	0.434086276467407	0	0.347559656838007	0.360656286623137	0.883334679264583	0.879138477628526	0.892359550561798	0.863576757856658	0.859607227022781	0.846839037513077	0.744072836355025	0.727738785474519	0.751136602084353	0.824074246631506	0.875926754752963	0.830076878665411	0.877924913379847	0.841405375139978	0.836820320916256	0.845500725689405	0.896585831713223	0.844745271046111	0.883032630797534	0.880869701235727	0.878535147676679	0.891679655900401	0.88970107934928	0.862866979057091	0.8912	0.89330385344283	0.900351636461996	0.884393723252496	0.911915258132587	0.912135229040991	0.914021462408559	0.905292329216778	0.917801105382247	0.898785018576162	0.905374280230326	0.882275453253371	0.890052159555706	0.875542994713979	0.921811535337124	0.915489372534046	0.91838806917341	0.915216840886895	0.922514261715606	0.927964614196447	0.906160064672595	0.91482224247949	0.863489681050657	0.86022386022386	0.890787571398099	0.89907089219804	0.90315291079307	0.936029124951242	0.916319771504968	0.847720939171658	0.852752996305308	0.845898096583825	0.870113189371438	0.893938481911756	0.866477574898068	0.890881289963859	0.893385762510665	0.883162142333089	0.891449760069798	0.878398688345402	0.831572951033681	0.850717100078802	0.803946608288486	0.860127784493179	0.89074588873631	0.835108055892528	0.849189741593265	0.86347587289133	0.843910423331597	0.84571392659628	0.86760422489629	0.882333370300543	0.83840721618895	0.82974828375286
