bray_curtis	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.280	0.315	0.273	0.330	0.250	0.314	0.345	0.315	0.283	0.272	0.289	0.296	0.306	0.297	0.304	0.310	0.278
KO2	0.280	0	0.361	0.341	0.435	0.309	0.317	0.316	0.328	0.323	0.278	0.306	0.287	0.330	0.281	0.289	0.326	0.294
KO3	0.315	0.361	0	0.317	0.330	0.316	0.414	0.392	0.353	0.356	0.345	0.395	0.369	0.356	0.369	0.349	0.346	0.326
KO4	0.273	0.341	0.317	0	0.325	0.265	0.385	0.391	0.347	0.333	0.314	0.369	0.324	0.322	0.342	0.340	0.321	0.324
KO5	0.330	0.435	0.330	0.325	0	0.326	0.468	0.443	0.419	0.383	0.377	0.458	0.382	0.354	0.405	0.404	0.349	0.371
KO6	0.250	0.309	0.316	0.265	0.326	0	0.372	0.390	0.344	0.320	0.305	0.341	0.335	0.337	0.338	0.329	0.324	0.328
OE1	0.314	0.317	0.414	0.385	0.468	0.372	0	0.287	0.314	0.295	0.263	0.231	0.333	0.362	0.256	0.318	0.363	0.276
OE2	0.345	0.316	0.392	0.391	0.443	0.390	0.287	0	0.297	0.288	0.269	0.295	0.296	0.364	0.276	0.325	0.334	0.262
OE3	0.315	0.328	0.353	0.347	0.419	0.344	0.314	0.297	0	0.244	0.279	0.302	0.274	0.312	0.282	0.296	0.307	0.265
OE4	0.283	0.323	0.356	0.333	0.383	0.320	0.295	0.288	0.244	0	0.249	0.278	0.265	0.283	0.257	0.272	0.287	0.256
OE5	0.272	0.278	0.345	0.314	0.377	0.305	0.263	0.269	0.279	0.249	0	0.252	0.261	0.290	0.224	0.254	0.257	0.223
OE6	0.289	0.306	0.395	0.369	0.458	0.341	0.231	0.295	0.302	0.278	0.252	0	0.323	0.365	0.274	0.307	0.347	0.280
WT1	0.296	0.287	0.369	0.324	0.382	0.335	0.333	0.296	0.274	0.265	0.261	0.323	0	0.244	0.260	0.277	0.262	0.245
WT2	0.306	0.330	0.356	0.322	0.354	0.337	0.362	0.364	0.312	0.283	0.290	0.365	0.244	0	0.286	0.264	0.273	0.287
WT3	0.297	0.281	0.369	0.342	0.405	0.338	0.256	0.276	0.282	0.257	0.224	0.274	0.260	0.286	0	0.250	0.296	0.224
WT4	0.304	0.289	0.349	0.340	0.404	0.329	0.318	0.325	0.296	0.272	0.254	0.307	0.277	0.264	0.250	0	0.301	0.265
WT5	0.310	0.326	0.346	0.321	0.349	0.324	0.363	0.334	0.307	0.287	0.257	0.347	0.262	0.273	0.296	0.301	0	0.260
WT6	0.278	0.294	0.326	0.324	0.371	0.328	0.276	0.262	0.265	0.256	0.223	0.280	0.245	0.287	0.224	0.265	0.260	0
