euclidean	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	24.7	29.0	27.9	29.7	26.2	24.4	24.5	25.2	24.7	24.8	23.8	26.1	27.5	24.3	25.8	26.7	24.1
KO2	24.7	0	28.4	27.9	29.7	25.8	25.1	23.9	25.2	25.6	24.3	23.9	25.9	27.6	24.7	26.2	26.9	24.8
KO3	29.0	28.4	0	28.3	28.3	28.1	29.9	29.5	29.4	29.3	28.8	28.9	29.1	28.9	29.0	29.0	29.1	28.1
KO4	27.9	27.9	28.3	0	28.5	27.2	28.7	28.3	28.3	28.0	28.2	28.2	28.1	28.0	28.3	28.4	28.0	27.7
KO5	29.7	29.7	28.3	28.5	0	28.2	31.1	30.5	30.4	30.1	29.2	30.6	30.1	29.0	29.4	29.6	29.3	28.7
KO6	26.2	25.8	28.1	27.2	28.2	0	27.0	26.6	27.4	26.8	26.2	26.8	27.1	28.3	26.3	26.9	27.9	26.3
OE1	24.4	25.1	29.9	28.7	31.1	27.0	0	22.0	23.2	23.6	22.4	21.0	25.1	27.0	23.0	24.5	26.5	24.0
OE2	24.5	23.9	29.5	28.3	30.5	26.6	22.0	0	23.9	24.0	23.0	22.1	25.2	27.0	23.1	24.5	26.4	24.1
OE3	25.2	25.2	29.4	28.3	30.4	27.4	23.2	23.9	0	24.4	24.0	22.7	25.2	26.9	24.2	25.5	26.7	24.5
OE4	24.7	25.6	29.3	28.0	30.1	26.8	23.6	24.0	24.4	0	24.4	23.0	25.0	26.5	24.4	24.6	26.6	24.9
OE5	24.8	24.3	28.8	28.2	29.2	26.2	22.4	23.0	24.0	24.4	0	22.2	24.6	27.2	23.1	24.2	25.4	24.0
OE6	23.8	23.9	28.9	28.2	30.6	26.8	21.0	22.1	22.7	23.0	22.2	0	24.5	26.8	23.2	24.0	26.3	23.4
WT1	26.1	25.9	29.1	28.1	30.1	27.1	25.1	25.2	25.2	25.0	24.6	24.5	0	26.6	24.9	25.7	26.4	25.8
WT2	27.5	27.6	28.9	28.0	29.0	28.3	27.0	27.0	26.9	26.5	27.2	26.8	26.6	0	26.8	26.9	27.5	26.9
WT3	24.3	24.7	29.0	28.3	29.4	26.3	23.0	23.1	24.2	24.4	23.1	23.2	24.9	26.8	0	24.4	25.7	23.9
WT4	25.8	26.2	29.0	28.4	29.6	26.9	24.5	24.5	25.5	24.6	24.2	24.0	25.7	26.9	24.4	0	26.2	24.7
WT5	26.7	26.9	29.1	28.0	29.3	27.9	26.5	26.4	26.7	26.6	25.4	26.3	26.4	27.5	25.7	26.2	0	25.8
WT6	24.1	24.8	28.1	27.7	28.7	26.3	24.0	24.1	24.5	24.9	24.0	23.4	25.8	26.9	23.9	24.7	25.8	0
