jaccard_binary	KO1	OE1	OE6	OE2	OE5	OE3	WT3	OE4	WT6	WT4	KO2	WT1	WT5	KO6	WT2	KO4	KO3	KO5
KO1	0	0.238	0.226	0.241	0.249	0.258	0.240	0.249	0.239	0.271	0.252	0.279	0.297	0.288	0.316	0.331	0.356	0.379
OE1	0.238	0	0.175	0.192	0.201	0.216	0.210	0.222	0.229	0.239	0.251	0.251	0.284	0.294	0.295	0.333	0.362	0.395
OE6	0.226	0.175	0	0.193	0.198	0.207	0.213	0.212	0.219	0.230	0.231	0.241	0.281	0.290	0.291	0.323	0.342	0.384
OE2	0.241	0.192	0.193	0	0.213	0.230	0.214	0.231	0.233	0.242	0.233	0.256	0.285	0.289	0.298	0.328	0.357	0.386
OE5	0.249	0.201	0.198	0.213	0	0.234	0.216	0.239	0.234	0.239	0.242	0.248	0.269	0.284	0.306	0.331	0.347	0.363
OE3	0.258	0.216	0.207	0.230	0.234	0	0.236	0.241	0.246	0.264	0.261	0.261	0.296	0.310	0.302	0.336	0.363	0.393
WT3	0.240	0.210	0.213	0.214	0.216	0.236	0	0.240	0.232	0.243	0.249	0.252	0.274	0.286	0.297	0.332	0.351	0.366
OE4	0.249	0.222	0.212	0.231	0.239	0.241	0.240	0	0.251	0.247	0.267	0.257	0.293	0.297	0.294	0.329	0.360	0.384
WT6	0.239	0.229	0.219	0.233	0.234	0.246	0.232	0.251	0	0.250	0.253	0.272	0.279	0.290	0.302	0.325	0.337	0.357
WT4	0.271	0.239	0.230	0.242	0.239	0.264	0.243	0.247	0.250	0	0.281	0.272	0.290	0.303	0.304	0.341	0.356	0.378
KO2	0.252	0.251	0.231	0.233	0.242	0.261	0.249	0.267	0.253	0.281	0	0.278	0.303	0.284	0.320	0.332	0.347	0.382
WT1	0.279	0.251	0.241	0.256	0.248	0.261	0.252	0.257	0.272	0.272	0.278	0	0.296	0.309	0.302	0.337	0.362	0.393
WT5	0.297	0.284	0.281	0.285	0.269	0.296	0.274	0.293	0.279	0.290	0.303	0.296	0	0.333	0.329	0.344	0.373	0.386
KO6	0.288	0.294	0.290	0.289	0.284	0.310	0.286	0.297	0.290	0.303	0.284	0.309	0.333	0	0.344	0.329	0.351	0.362
WT2	0.316	0.295	0.291	0.298	0.306	0.302	0.297	0.294	0.302	0.304	0.320	0.302	0.329	0.344	0	0.348	0.371	0.384
KO4	0.331	0.333	0.323	0.328	0.331	0.336	0.332	0.329	0.325	0.341	0.332	0.337	0.344	0.329	0.348	0	0.367	0.381
KO3	0.356	0.362	0.342	0.357	0.347	0.363	0.351	0.360	0.337	0.356	0.347	0.362	0.373	0.351	0.371	0.367	0	0.381
KO5	0.379	0.395	0.384	0.386	0.363	0.393	0.366	0.384	0.357	0.378	0.382	0.393	0.386	0.362	0.384	0.381	0.381	0
