bray_curtis	KO1	KO6	KO4	OE1	OE6	OE3	OE4	OE5	WT6	WT3	WT1	WT2	WT4	WT5	OE2	KO2	KO3	KO5
KO1	0	0.250	0.273	0.314	0.289	0.315	0.283	0.272	0.278	0.297	0.296	0.306	0.304	0.310	0.345	0.280	0.315	0.330
KO6	0.250	0	0.265	0.372	0.341	0.344	0.320	0.305	0.328	0.338	0.335	0.337	0.329	0.324	0.390	0.309	0.316	0.326
KO4	0.273	0.265	0	0.385	0.369	0.347	0.333	0.314	0.324	0.342	0.324	0.322	0.340	0.321	0.391	0.341	0.317	0.325
OE1	0.314	0.372	0.385	0	0.231	0.314	0.295	0.263	0.276	0.256	0.333	0.362	0.318	0.363	0.287	0.317	0.414	0.468
OE6	0.289	0.341	0.369	0.231	0	0.302	0.278	0.252	0.280	0.274	0.323	0.365	0.307	0.347	0.295	0.306	0.395	0.458
OE3	0.315	0.344	0.347	0.314	0.302	0	0.244	0.279	0.265	0.282	0.274	0.312	0.296	0.307	0.297	0.328	0.353	0.419
OE4	0.283	0.320	0.333	0.295	0.278	0.244	0	0.249	0.256	0.257	0.265	0.283	0.272	0.287	0.288	0.323	0.356	0.383
OE5	0.272	0.305	0.314	0.263	0.252	0.279	0.249	0	0.223	0.224	0.261	0.290	0.254	0.257	0.269	0.278	0.345	0.377
WT6	0.278	0.328	0.324	0.276	0.280	0.265	0.256	0.223	0	0.224	0.245	0.287	0.265	0.260	0.262	0.294	0.326	0.371
WT3	0.297	0.338	0.342	0.256	0.274	0.282	0.257	0.224	0.224	0	0.260	0.286	0.250	0.296	0.276	0.281	0.369	0.405
WT1	0.296	0.335	0.324	0.333	0.323	0.274	0.265	0.261	0.245	0.260	0	0.244	0.277	0.262	0.296	0.287	0.369	0.382
WT2	0.306	0.337	0.322	0.362	0.365	0.312	0.283	0.290	0.287	0.286	0.244	0	0.264	0.273	0.364	0.330	0.356	0.354
WT4	0.304	0.329	0.340	0.318	0.307	0.296	0.272	0.254	0.265	0.250	0.277	0.264	0	0.301	0.325	0.289	0.349	0.404
WT5	0.310	0.324	0.321	0.363	0.347	0.307	0.287	0.257	0.260	0.296	0.262	0.273	0.301	0	0.334	0.326	0.346	0.349
OE2	0.345	0.390	0.391	0.287	0.295	0.297	0.288	0.269	0.262	0.276	0.296	0.364	0.325	0.334	0	0.316	0.392	0.443
KO2	0.280	0.309	0.341	0.317	0.306	0.328	0.323	0.278	0.294	0.281	0.287	0.330	0.289	0.326	0.316	0	0.361	0.435
KO3	0.315	0.316	0.317	0.414	0.395	0.353	0.356	0.345	0.326	0.369	0.369	0.356	0.349	0.346	0.392	0.361	0	0.330
KO5	0.330	0.326	0.325	0.468	0.458	0.419	0.383	0.377	0.371	0.405	0.382	0.354	0.404	0.349	0.443	0.435	0.330	0
