jaccard	KO1	KO6	KO4	OE1	OE6	OE3	OE4	OE5	WT6	WT3	WT1	WT2	WT4	WT5	OE2	KO2	KO3	KO5
KO1	0	0.400	0.428	0.478	0.448	0.480	0.441	0.427	0.435	0.458	0.457	0.469	0.466	0.474	0.513	0.438	0.480	0.496
KO6	0.400	0	0.419	0.542	0.508	0.512	0.485	0.468	0.494	0.505	0.501	0.504	0.495	0.489	0.561	0.472	0.480	0.492
KO4	0.428	0.419	0	0.556	0.539	0.515	0.499	0.478	0.489	0.510	0.489	0.487	0.508	0.485	0.562	0.508	0.481	0.490
OE1	0.478	0.542	0.556	0	0.375	0.478	0.456	0.417	0.433	0.408	0.500	0.532	0.483	0.532	0.446	0.482	0.586	0.638
OE6	0.448	0.508	0.539	0.375	0	0.464	0.436	0.403	0.437	0.430	0.488	0.535	0.470	0.515	0.456	0.468	0.566	0.629
OE3	0.480	0.512	0.515	0.478	0.464	0	0.392	0.436	0.419	0.439	0.430	0.476	0.457	0.470	0.458	0.494	0.521	0.591
OE4	0.441	0.485	0.499	0.456	0.436	0.392	0	0.398	0.408	0.409	0.418	0.441	0.427	0.446	0.447	0.488	0.525	0.554
OE5	0.427	0.468	0.478	0.417	0.403	0.436	0.398	0	0.365	0.366	0.415	0.450	0.406	0.409	0.424	0.435	0.513	0.548
WT6	0.435	0.494	0.489	0.433	0.437	0.419	0.408	0.365	0	0.366	0.393	0.446	0.420	0.413	0.416	0.454	0.491	0.541
WT3	0.458	0.505	0.510	0.408	0.430	0.439	0.409	0.366	0.366	0	0.412	0.445	0.400	0.457	0.433	0.439	0.539	0.576
WT1	0.457	0.501	0.489	0.500	0.488	0.430	0.418	0.415	0.393	0.412	0	0.392	0.434	0.415	0.457	0.445	0.539	0.553
WT2	0.469	0.504	0.487	0.532	0.535	0.476	0.441	0.450	0.446	0.445	0.392	0	0.418	0.429	0.534	0.496	0.525	0.523
WT4	0.466	0.495	0.508	0.483	0.470	0.457	0.427	0.406	0.420	0.400	0.434	0.418	0	0.463	0.491	0.448	0.517	0.575
WT5	0.474	0.489	0.485	0.532	0.515	0.470	0.446	0.409	0.413	0.457	0.415	0.429	0.463	0	0.501	0.491	0.514	0.517
OE2	0.513	0.561	0.562	0.446	0.456	0.458	0.447	0.424	0.416	0.433	0.457	0.534	0.491	0.501	0	0.480	0.563	0.614
KO2	0.438	0.472	0.508	0.482	0.468	0.494	0.488	0.435	0.454	0.439	0.445	0.496	0.448	0.491	0.480	0	0.530	0.607
KO3	0.480	0.480	0.481	0.586	0.566	0.521	0.525	0.513	0.491	0.539	0.539	0.525	0.517	0.514	0.563	0.530	0	0.497
KO5	0.496	0.492	0.490	0.638	0.629	0.591	0.554	0.548	0.541	0.576	0.553	0.523	0.575	0.517	0.614	0.607	0.497	0
