jaccard_binary	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.252	0.356	0.331	0.379	0.288	0.238	0.241	0.258	0.249	0.249	0.226	0.279	0.316	0.240	0.271	0.297	0.239
KO2	0.252	0	0.347	0.332	0.382	0.284	0.251	0.233	0.261	0.267	0.242	0.231	0.278	0.320	0.249	0.281	0.303	0.253
KO3	0.356	0.347	0	0.367	0.381	0.351	0.362	0.357	0.363	0.360	0.347	0.342	0.362	0.371	0.351	0.356	0.373	0.337
KO4	0.331	0.332	0.367	0	0.381	0.329	0.333	0.328	0.336	0.329	0.331	0.323	0.337	0.348	0.332	0.341	0.344	0.325
KO5	0.379	0.382	0.381	0.381	0	0.362	0.395	0.386	0.393	0.384	0.363	0.384	0.393	0.384	0.366	0.378	0.386	0.357
KO6	0.288	0.284	0.351	0.329	0.362	0	0.294	0.289	0.310	0.297	0.284	0.290	0.309	0.344	0.286	0.303	0.333	0.290
OE1	0.238	0.251	0.362	0.333	0.395	0.294	0	0.192	0.216	0.222	0.201	0.175	0.251	0.295	0.210	0.239	0.284	0.229
OE2	0.241	0.233	0.357	0.328	0.386	0.289	0.192	0	0.230	0.231	0.213	0.193	0.256	0.298	0.214	0.242	0.285	0.233
OE3	0.258	0.261	0.363	0.336	0.393	0.310	0.216	0.230	0	0.241	0.234	0.207	0.261	0.302	0.236	0.264	0.296	0.246
OE4	0.249	0.267	0.360	0.329	0.384	0.297	0.222	0.231	0.241	0	0.239	0.212	0.257	0.294	0.240	0.247	0.293	0.251
OE5	0.249	0.242	0.347	0.331	0.363	0.284	0.201	0.213	0.234	0.239	0	0.198	0.248	0.306	0.216	0.239	0.269	0.234
OE6	0.226	0.231	0.342	0.323	0.384	0.290	0.175	0.193	0.207	0.212	0.198	0	0.241	0.291	0.213	0.230	0.281	0.219
WT1	0.279	0.278	0.362	0.337	0.393	0.309	0.251	0.256	0.261	0.257	0.248	0.241	0	0.302	0.252	0.272	0.296	0.272
WT2	0.316	0.320	0.371	0.348	0.384	0.344	0.295	0.298	0.302	0.294	0.306	0.291	0.302	0	0.297	0.304	0.329	0.302
WT3	0.240	0.249	0.351	0.332	0.366	0.286	0.210	0.214	0.236	0.240	0.216	0.213	0.252	0.297	0	0.243	0.274	0.232
WT4	0.271	0.281	0.356	0.341	0.378	0.303	0.239	0.242	0.264	0.247	0.239	0.230	0.272	0.304	0.243	0	0.290	0.250
WT5	0.297	0.303	0.373	0.344	0.386	0.333	0.284	0.285	0.296	0.293	0.269	0.281	0.296	0.329	0.274	0.290	0	0.279
WT6	0.239	0.253	0.337	0.325	0.357	0.290	0.229	0.233	0.246	0.251	0.234	0.219	0.272	0.302	0.232	0.250	0.279	0
